table_id,row_id,occupation_and_disability_status_full_path,occupation_and_disability_status_level_1,occupation_and_disability_status_level_2,occupation_and_disability_status_level_3,occupation_and_disability_status_level_4,occupation_and_disability_status_level_5,occupation_and_disability_status_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
3383,r001,All federal scientists and engineers,All federal scientists and engineers,,,,,1,,,,,,,,,,,,
3383,r002,All federal scientists and engineers -> All occupations,All federal scientists and engineers,All occupations,,,,2,226520,238685,253657,259821,260429,259383,257129,259690,267499,268115,269330,273010
3383,r003,All federal scientists and engineers -> All occupations -> Scientists,All federal scientists and engineers,All occupations,Scientists,,,3,137760,144674,154415,159126,160600,160871,159701,160695,166640,167016,167213,169279
3383,r004,All federal scientists and engineers -> All occupations -> Scientists -> Computer and mathematical scientists,All federal scientists and engineers,All occupations,Scientists,Computer and mathematical scientists,,4,47349,50540,54911,57701,59289,59899,59954,61973,64272,65229,66652,68644
3383,r005,All federal scientists and engineers -> All occupations -> Scientists -> Life scientists ,All federal scientists and engineers,All occupations,Scientists,Life scientists ,,4,38682,39953,41840,42039,41218,40217,39388,39383,39676,39364,38418,37995
3383,r006,All federal scientists and engineers -> All occupations -> Scientists -> Physical scientists ,All federal scientists and engineers,All occupations,Scientists,Physical scientists ,,4,23838,24503,25268,25169,24808,24247,23615,23608,23879,23774,23549,23512
3383,r007,All federal scientists and engineers -> All occupations -> Scientists -> Social scientists ,All federal scientists and engineers,All occupations,Scientists,Social scientists ,,4,27891,29678,32396,34217,35285,36508,36744,35731,38813,38649,38594,39128
3383,r008,All federal scientists and engineers -> All occupations -> Engineers,All federal scientists and engineers,All occupations,Engineers,,,3,88760,94011,99242,100695,99829,98512,97428,98995,100859,101099,102117,103731
3383,r009,All federal scientists and engineers -> All occupations -> Engineers -> Aerospace engineers ,All federal scientists and engineers,All occupations,Engineers,Aerospace engineers ,,4,8831,9040,9277,9281,9159,9079,9048,9229,9336,9388,9546,9463
3383,r010,All federal scientists and engineers -> All occupations -> Engineers -> Chemical engineers ,All federal scientists and engineers,All occupations,Engineers,Chemical engineers ,,4,1112,1151,1168,1146,1121,1079,1112,1148,1135,1149,1133,1119
3383,r011,All federal scientists and engineers -> All occupations -> Engineers -> Civil engineers ,All federal scientists and engineers,All occupations,Engineers,Civil engineers ,,4,9923,11030,11728,11928,11576,11117,10603,10440,10519,10408,10460,10711
3383,r012,"All federal scientists and engineers -> All occupations -> Engineers -> Electrical, electronics, and computer engineers",All federal scientists and engineers,All occupations,Engineers,"Electrical, electronics, and computer engineers",,4,26783,27618,28787,28808,28605,28145,27799,28155,28470,28458,28378,28322
3383,r013,All federal scientists and engineers -> All occupations -> Engineers -> Industrial engineers ,All federal scientists and engineers,All occupations,Engineers,Industrial engineers ,,4,1598,1732,1961,1978,1925,1913,1880,1905,1914,1835,1801,1764
3383,r014,All federal scientists and engineers -> All occupations -> Engineers -> Mechanical engineers ,All federal scientists and engineers,All occupations,Engineers,Mechanical engineers ,,4,10032,10957,11742,11807,11748,11570,11506,12033,12572,12841,13400,13864
3383,r015,All federal scientists and engineers -> All occupations -> Engineers -> Other engineers ,All federal scientists and engineers,All occupations,Engineers,Other engineers ,,4,30481,32483,34579,35747,35695,35609,35480,36085,36913,37020,37399,38488
3383,r016,All federal scientists and engineers -> Without disability,All federal scientists and engineers,Without disability,,,,2,,,,,,,,,,,,
3383,r017,All federal scientists and engineers -> Without disability -> All occupations,All federal scientists and engineers,Without disability,All occupations,,,3,209332,220363,233996,239056,238432,236227,233486,234618,240604,239457,237454,238043
3383,r018,All federal scientists and engineers -> Without disability -> All occupations -> Scientists,All federal scientists and engineers,Without disability,All occupations,Scientists,,4,126290,132408,141170,144955,145355,144767,143142,143080,147561,146641,144831,144685
3383,r019,All federal scientists and engineers -> Without disability -> All occupations -> Scientists -> Computer and mathematical scientists,All federal scientists and engineers,Without disability,All occupations,Scientists,Computer and mathematical scientists,5,42695,45424,49343,51612,52633,52600,52332,53518,54901,55081,55135,55827
3383,r020,All federal scientists and engineers -> Without disability -> All occupations -> Scientists -> Life scientists ,All federal scientists and engineers,Without disability,All occupations,Scientists,Life scientists ,5,36168,37349,38999,39060,38089,37162,36322,36234,36422,35974,34929,34357
