table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
2566,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    3,525,771 ', '&nbsp;']","['    478,702 ', '&nbsp;']","['    1,265,002 ', '&nbsp;']","['    1,782,067 ', '&nbsp;']"
2566,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    471,715 ', '&nbsp;']","['    47,212 ', '&nbsp;']","['    177,447 ', '&nbsp;']","['    247,056 ', '&nbsp;']"
2566,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['    7,401 ', '&nbsp;']","['    1,794 ', 'r']","['    5,262 ', '&nbsp;']","['    345 ', 'r']"
2566,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    560 ', 'r']","['    0 ', '&nbsp;']","['    280 ', 'r']","['    280 ', 'r']"
2566,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2566,r006,All selected industries -> Manufacturing industries -> Paper ,All selected industries,Manufacturing industries,Paper ,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2566,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2566,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2566,r009,All selected industries -> Manufacturing industries -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Pharmaceuticals and medicines,,3,3254,"['    64,315 ', '&nbsp;']","['    1,858 ', '&nbsp;']","['    17,859 ', '&nbsp;']","['    44,598 ', 'r']"
2566,r010,"All selected industries -> Manufacturing industries -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,"Chemicals, excluding pharmaceuticals",,3,325 (excluding 3254),"['    75,413 ', '&nbsp;']","['    6,274 ', '&nbsp;']","['    44,547 ', '&nbsp;']","['    24,592 ', '&nbsp;']"
2566,r011,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    1,022 ', '&nbsp;']","['    396 ', 'r']","['    147 ', '&nbsp;']","['    479 ', '&nbsp;']"
2566,r012,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2566,r013,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    1,080 ', 'r']","['    0 ', '&nbsp;']","['    216 ', 'r']","['    864 ', 'r']"
2566,r014,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    4,264 ', '&nbsp;']","['    423 ', 'r']","['    1,553 ', 'r']","['    2,289 ', 'r']"
2566,r015,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    21,631 ', '&nbsp;']","['    3,673 ', '&nbsp;']","['    6,027 ', '&nbsp;']","['    11,932 ', '&nbsp;']"
2566,r016,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    199,930 ', '&nbsp;']","['    23,862 ', '&nbsp;']","['    72,049 ', '&nbsp;']","['    104,019 ', '&nbsp;']"
2566,r017,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    29,384 ', '&nbsp;']","['    3,064 ', '&nbsp;']","['    10,063 ', '&nbsp;']","['    16,257 ', '&nbsp;']"
2566,r018,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    12,226 ', '&nbsp;']","['    1,776 ', 'r']","['    3,581 ', '&nbsp;']","['    6,870 ', '&nbsp;']"
2566,r019,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
2566,r020,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    54,487 ', '&nbsp;']","['    4,093 ', 'r']","['    15,862 ', '&nbsp;']","['    34,532 ', '&nbsp;']"
2566,r021,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    3,054,056 ', '&nbsp;']","['    431,490 ', '&nbsp;']","['    1,087,555 ', '&nbsp;']","['    1,535,011 ', '&nbsp;']"
2566,r022,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    35,943 ', '&nbsp;']","['    5,697 ', '&nbsp;']","['    13,127 ', 'r']","['    17,120 ', 'r']"
