table_id,row_id,degree_field_research_activity_and_type_of_position_full_path,degree_field_research_activity_and_type_of_position_level_1,degree_field_research_activity_and_type_of_position_level_2,degree_field_research_activity_and_type_of_position_level_3,degree_field_research_activity_and_type_of_position_hierarchy_depth,field_2021
9229,r001,All fields,All fields,,,1,39.7
9229,r002,All fields -> Research as primary or secondary activity,All fields,Research as primary or secondary activity,,2,49.4
9229,r003,All fields -> Full-time faculty,All fields,Full-time faculty,,2,39.8
9229,r004,All fields -> Other full-time positions,All fields,Other full-time positions,,2,36.7
9229,r005,All fields -> Postdoctorates,All fields,Postdoctorates,,2,67.3
9229,r006,All fields -> Physical sciences,All fields,Physical sciences,,2,48.7
9229,r007,All fields -> Physical sciences -> Research as primary or secondary activity,All fields,Physical sciences,Research as primary or secondary activity,3,60.7
9229,r008,All fields -> Physical sciences -> Full-time faculty,All fields,Physical sciences,Full-time faculty,3,49.7
9229,r009,All fields -> Physical sciences -> Other full-time positions,All fields,Physical sciences,Other full-time positions,3,44.8
9229,r010,All fields -> Physical sciences -> Postdoctorates,All fields,Physical sciences,Postdoctorates,3,66.3
9229,r011,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,22.9
9229,r012,All fields -> Mathematics and statistics -> Research as primary or secondary activity,All fields,Mathematics and statistics,Research as primary or secondary activity,3,30.8
9229,r013,All fields -> Mathematics and statistics -> Full-time faculty,All fields,Mathematics and statistics,Full-time faculty,3,23.0
9229,r014,All fields -> Mathematics and statistics -> Other full-time positions,All fields,Mathematics and statistics,Other full-time positions,3,18.8
9229,r015,All fields -> Mathematics and statistics -> Postdoctorates,All fields,Mathematics and statistics,Postdoctorates,3,50.1
9229,r016,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,43.1
9229,r017,All fields -> Computer and information sciences -> Research as primary or secondary activity,All fields,Computer and information sciences,Research as primary or secondary activity,3,55.4
9229,r018,All fields -> Computer and information sciences -> Full-time faculty,All fields,Computer and information sciences,Full-time faculty,3,44.1
9229,r019,All fields -> Computer and information sciences -> Other full-time positions,All fields,Computer and information sciences,Other full-time positions,3,34.0
9229,r020,All fields -> Computer and information sciences -> Postdoctorates,All fields,Computer and information sciences,Postdoctorates,3,78.7
9229,r021,All fields -> Life sciences,All fields,Life sciences,,2,50.1
9229,r022,All fields -> Life sciences -> Research as primary or secondary activity,All fields,Life sciences,Research as primary or secondary activity,3,61.6
9229,r023,All fields -> Life sciences -> Full-time faculty,All fields,Life sciences,Full-time faculty,3,51.3
9229,r024,All fields -> Life sciences -> Other full-time positions,All fields,Life sciences,Other full-time positions,3,43.2
9229,r025,All fields -> Life sciences -> Postdoctorates,All fields,Life sciences,Postdoctorates,3,72.3
9229,r026,All fields -> Psychology,All fields,Psychology,,2,28.4
9229,r027,All fields -> Psychology -> Research as primary or secondary activity,All fields,Psychology,Research as primary or secondary activity,3,39.6
9229,r028,All fields -> Psychology -> Full-time faculty,All fields,Psychology,Full-time faculty,3,30.7
9229,r029,All fields -> Psychology -> Other full-time positions,All fields,Psychology,Other full-time positions,3,19.1
9229,r030,All fields -> Psychology -> Postdoctorates,All fields,Psychology,Postdoctorates,3,73.0
9229,r031,All fields -> Social sciences,All fields,Social sciences,,2,17.4
9229,r032,All fields -> Social sciences -> Research as primary or secondary activity,All fields,Social sciences,Research as primary or secondary activity,3,20.5
9229,r033,All fields -> Social sciences -> Full-time faculty,All fields,Social sciences,Full-time faculty,3,17.7
9229,r034,All fields -> Social sciences -> Other full-time positions,All fields,Social sciences,Other full-time positions,3,17.3
9229,r035,All fields -> Social sciences -> Postdoctorates,All fields,Social sciences,Postdoctorates,3,28.2
9229,r036,All fields -> Engineering,All fields,Engineering,,2,49.1
9229,r037,All fields -> Engineering -> Research as primary or secondary activity,All fields,Engineering,Research as primary or secondary activity,3,56.4
9229,r038,All fields -> Engineering -> Full-time faculty,All fields,Engineering,Full-time faculty,3,48.6
9229,r039,All fields -> Engineering -> Other full-time positions,All fields,Engineering,Other full-time positions,3,50.6
9229,r040,All fields -> Engineering -> Postdoctorates,All fields,Engineering,Postdoctorates,3,63.1
