table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
3181,r001,United States,United States,,1,83496348,44455265,4495452,21109703,5053576,5683937,2698415
3181,r002,United States -> Alabama,United States,Alabama,2,1123491,633801,60902,308252,71364,34790,14382
3181,r003,United States -> Alaska,United States,Alaska,2,169296,108869,4946,43575,5112,2392,4402
3181,r004,United States -> Arizona,United States,Arizona,2,1434177,631218,70113,467635,40518,96806,127887
3181,r005,United States -> Arkansas,United States,Arkansas,2,364781,131698,68779,131301,14552,9450,9001
3181,r006,United States -> California,United States,California,2,10490076,5339095,428106,2253750,704160,1096389,668576
3181,r007,United States -> Colorado,United States,Colorado,2,1622011,1165031,54990,163362,86322,93666,58640
3181,r008,United States -> Connecticut,United States,Connecticut,2,1387319,748541,16862,415568,86945,104752,14651
3181,r009,United States -> Delaware,United States,Delaware,2,229287,145199,12877,55805,5969,4556,4881
3181,r010,United States -> District of Columbia,United States,District of Columbia,2,664872,326300,5215,188038,23370,88244,33705
3181,r011,United States -> Florida,United States,Florida,2,2685834,1236623,236711,912108,105448,129929,65015
3181,r012,United States -> Georgia,United States,Georgia,2,2667874,1491639,167321,725561,145235,121978,16140
3181,r013,United States -> Hawaii,United States,Hawaii,2,301419,186601,20297,77733,1967,13150,1671
3181,r014,United States -> Idaho,United States,Idaho,2,167903,83569,40991,35397,2894,2021,3031
3181,r015,United States -> Illinois,United States,Illinois,2,2709733,1605566,39065,696353,179372,151852,37525
3181,r016,United States -> Indiana,United States,Indiana,2,1661312,699333,47300,635438,100742,123421,55078
3181,r017,United States -> Iowa,United States,Iowa,2,880424,405544,49963,343948,46167,31260,3542
3181,r018,United States -> Kansas,United States,Kansas,2,703716,281630,76052,198586,112205,32631,2612
3181,r019,United States -> Kentucky,United States,Kentucky,2,610983,294795,49921,182081,19130,22179,42877
3181,r020,United States -> Louisiana,United States,Louisiana,2,778357,302498,98916,232925,69914,50200,23904
3181,r021,United States -> Maine,United States,Maine,2,151249,63641,23170,52320,4383,5191,2544
3181,r022,United States -> Maryland,United States,Maryland,2,4629161,3598661,80460,555299,139039,246371,9331
3181,r023,United States -> Massachusetts,United States,Massachusetts,2,4305676,2384590,41650,972123,325565,426532,155216
3181,r024,United States -> Michigan,United States,Michigan,2,2891267,1435005,66308,1091245,134698,119889,44122
3181,r025,United States -> Minnesota,United States,Minnesota,2,1060927,507133,87261,344331,52478,43316,26408
3181,r026,United States -> Mississippi,United States,Mississippi,2,535774,252706,97748,156102,12594,13423,3201
3181,r027,United States -> Missouri,United States,Missouri,2,1325463,752741,11232,329918,112776,103989,14807
3181,r028,United States -> Montana,United States,Montana,2,273459,150698,24757,82468,2835,6502,6199
3181,r029,United States -> Nebraska,United States,Nebraska,2,572488,250321,75990,167091,29952,22195,26939
3181,r030,United States -> Nevada,United States,Nevada,2,282480,108046,15020,142013,4335,5636,7430
3181,r031,United States -> New Hampshire,United States,New Hampshire,2,492183,245860,5901,193098,14862,25658,6804
3181,r032,United States -> New Jersey,United States,New Jersey,2,1331199,651428,95140,294689,66647,122072,101223
3181,r033,United States -> New Mexico,United States,New Mexico,2,365769,240826,26332,71433,4060,16014,7104
3181,r034,United States -> New York,United States,New York,2,7075577,3660588,435048,1655848,487620,529480,306993
3181,r035,United States -> North Carolina,United States,North Carolina,2,3388360,1944527,161707,669694,359524,203755,49153
3181,r036,United States -> North Dakota,United States,North Dakota,2,263217,85022,59701,97900,12557,2053,5984
3181,r037,United States -> Ohio,United States,Ohio,2,2499431,1478481,104399,474594,229406,157209,55342
3181,r038,United States -> Oklahoma,United States,Oklahoma,2,533785,219744,60153,199689,38415,10980,4804
3181,r039,United States -> Oregon,United States,Oregon,2,863844,588171,56392,101669,44981,57617,15014
3181,r040,United States -> Pennsylvania,United States,Pennsylvania,2,4646721,2569664,102071,1234511,297480,295295,147700
3181,r041,United States -> Rhode Island,United States,Rhode Island,2,390575,262170,16666,80659,8429,16395,6256
