table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_doe,field_dot,field_ed,field_hhs,field_nasa,field_nsf,field_ssa,field_usda
4356,r001,All HBCUs,All HBCUs,,1,341369,35,19465,5016,5600,6242,95028,3783,100689,23,105488
4356,r002,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,22704,0,2255,0,2800,0,1792,0,8790,0,7067
4356,r003,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,16849,0,1200,2000,0,211,112,285,4219,0,8823
4356,r004,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,16670,0,709,0,0,235,1399,0,4884,0,9443
4356,r005,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,16016,0,788,0,0,500,10139,0,4567,23,0
4356,r006,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,15851,35,615,0,2800,0,8461,713,3227,0,0
4356,r007,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,15092,0,0,0,0,0,14092,0,1000,0,0
4356,r008,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,14976,0,684,0,0,580,5137,0,3215,0,5361
4356,r009,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,14256,0,0,0,0,250,14006,0,0,0,0
4356,r010,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,13506,0,555,0,0,518,8786,0,3291,0,357
4356,r011,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,10492,0,1009,0,0,0,0,0,3927,0,5557
4356,r012,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,10359,0,1101,0,0,500,2211,0,6547,0,0
4356,r013,"All HBCUs -> Xavier U., Louisiana",All HBCUs,"Xavier U., Louisiana",2,10206,0,400,0,0,0,8526,0,1280,0,0
4356,r014,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,10189,0,1137,0,0,82,2881,0,1930,0,4159
4356,r015,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,9976,0,193,0,0,0,1865,0,1752,0,6167
4356,r016,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,8383,0,25,620,0,0,1890,2786,3062,0,0
4356,r017,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,8024,0,0,0,0,0,0,0,308,0,7717
4356,r018,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,7411,0,0,1107,0,243,1053,0,1693,0,3317
4356,r019,All HBCUs -> U. of the District of Columbia,All HBCUs,U. of the District of Columbia,2,7315,0,392,0,0,0,525,0,5444,0,955
4356,r020,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,6994,0,699,0,0,250,0,0,2346,0,3700
4356,r021,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,6873,0,0,0,0,0,1379,0,0,0,5493
4356,r022,All HBCUs -> All other HBCUs,All HBCUs,All other HBCUs,2,99226,0,7707,1290,0,2873,10775,0,39209,0,37373
