table_id,row_id,directorate,fields
12412,r001,Biological Sciences (BIO),Agricultural sciences and natural resources
12412,r002,,Biochemistry
12412,r003,,"Bioinformatics, biostatistics, and computational biology"
12412,r004,,Cell molecular biology
12412,r005,,Microbiology
12412,r006,,Neurosciences and neurobiology
12412,r007,,Other biological sciences
12412,r008,Computer and Information Science and Engineering (CISE),Computer and information sciences
12412,r009,,Computer engineering
12412,r010,,Computer science
12412,r011,,Information science and systems
12412,r012,STEM Education (EDU),Education administration
12412,r013,,Education research
12412,r014,,Science and math education
12412,r015,,Non-science and math education
12412,r016,,Teacher education
12412,r017,,Other education
12412,r018,Engineering (ENG),Bioengineering and biomedical engineering
12412,r019,,Chemical engineering
12412,r020,,Civil engineering
12412,r021,,Electrical engineering
12412,r022,,Materials science engineering
12412,r023,,Mechanical engineering
12412,r024,,Other engineering
12412,r025,Geosciences (GEO),Atmospheric sciences
12412,r026,,Earth sciences
12412,r027,,Environmental science
12412,r028,,Ocean sciences
12412,r029,Mathematical and Physical Sciences (MPS),Chemistry
12412,r030,,Materials sciences
12412,r031,,Mathematics and statistics
12412,r032,,Physics and astronomy
12412,r033,"Social, Behavioral and Economic Sciences (SBE)",Economics
12412,r034,,Political science
12412,r035,,Psychology
12412,r036,,Sociology
12412,r037,,Other social sciences
