table_id,row_id,time_period,_b_total_in_survey_b_level_1,_b_total_in_survey_b_level_2,_b_total_in_survey_b_level_3,_b_total_in_survey_b_hierarchy_depth,value
8268,r001,"Fall 2021, all surveyed fields",Total in survey,Master's students,Full time,3,286954
8268,r002,"Fall 2021, all surveyed fields",Total in survey,Master's students,Part time,3,179659
8268,r003,"Fall 2021, all surveyed fields",Total in survey,Doctoral students,Full time,3,256869
8268,r004,"Fall 2021, all surveyed fields",Total in survey,Doctoral students,Part time,3,36674
8268,r005,"Fall 2021, all surveyed fields",Number imputed,Master's students,Full time,3,3539
8268,r006,"Fall 2021, all surveyed fields",Number imputed,Master's students,Part time,3,1895
8268,r007,"Fall 2021, all surveyed fields",Number imputed,Doctoral students,Full time,3,3932
8268,r008,"Fall 2021, all surveyed fields",Number imputed,Doctoral students,Part time,3,564
8268,r009,"Fall 2021, all surveyed fields",Imputation rate (%),Master's students,Full time,3,1.2
8268,r010,"Fall 2021, all surveyed fields",Imputation rate (%),Master's students,Part time,3,1.1
8268,r011,"Fall 2021, all surveyed fields",Imputation rate (%),Doctoral students,Full time,3,1.5
8268,r012,"Fall 2021, all surveyed fields",Imputation rate (%),Doctoral students,Part time,3,1.5
8268,r013,"Fall 2021, all surveyed fields -> Science",Total in survey,Master's students,Full time,3,184719
8268,r014,"Fall 2021, all surveyed fields -> Science",Total in survey,Master's students,Part time,3,121077
8268,r015,"Fall 2021, all surveyed fields -> Science",Total in survey,Doctoral students,Full time,3,181488
8268,r016,"Fall 2021, all surveyed fields -> Science",Total in survey,Doctoral students,Part time,3,22500
8268,r017,"Fall 2021, all surveyed fields -> Science",Number imputed,Master's students,Full time,3,2289
8268,r018,"Fall 2021, all surveyed fields -> Science",Number imputed,Master's students,Part time,3,1465
8268,r019,"Fall 2021, all surveyed fields -> Science",Number imputed,Doctoral students,Full time,3,3341
8268,r020,"Fall 2021, all surveyed fields -> Science",Number imputed,Doctoral students,Part time,3,321
8268,r021,"Fall 2021, all surveyed fields -> Science",Imputation rate (%),Master's students,Full time,3,1.2
8268,r022,"Fall 2021, all surveyed fields -> Science",Imputation rate (%),Master's students,Part time,3,1.2
8268,r023,"Fall 2021, all surveyed fields -> Science",Imputation rate (%),Doctoral students,Full time,3,1.8
8268,r024,"Fall 2021, all surveyed fields -> Science",Imputation rate (%),Doctoral students,Part time,3,1.4
8268,r025,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Master's students,Full time,3,4034
8268,r026,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Master's students,Part time,3,2767
8268,r027,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Doctoral students,Full time,3,3720
8268,r028,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Total in survey,Doctoral students,Part time,3,723
8268,r029,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Master's students,Full time,3,43
8268,r030,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Master's students,Part time,3,20
8268,r031,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Doctoral students,Full time,3,36
8268,r032,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Number imputed,Doctoral students,Part time,3,11
8268,r033,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Master's students,Full time,3,1.1
8268,r034,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Master's students,Part time,3,0.7
8268,r035,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Doctoral students,Full time,3,1.0
8268,r036,"Fall 2021, all surveyed fields -> Science -> Agricultural and veterinary sciences",Imputation rate (%),Doctoral students,Part time,3,1.5
