table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_nebraska,field_nevada,field_new_hampshire,field_new_jersey,field_new_mexico,field_new_york,field_north_carolina,field_north_dakota,field_ohio,field_oklahoma,field_oregon,field_pennsylvania,field_rhode_island,field_south_carolina,field_south_dakota,field_tennessee,field_texas,field_utah,field_vermont,field_virginia,field_washington,field_west_virginia,field_wisconsin,field_wyoming,field_undistributedc
735,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['48,789', '&nbsp;']","['296,677', '&nbsp;']","['539', '&nbsp;']","['329', '&nbsp;']","['817', '&nbsp;']","['11,627', '&nbsp;']","['254', '&nbsp;']","['11,897', '&nbsp;']","['6,428', '&nbsp;']","['191', '&nbsp;']","['6,149', '&nbsp;']","['605', '&nbsp;']","['6,103', '&nbsp;']","['9,022', '&nbsp;']","['679', '&nbsp;']","['1,129', '&nbsp;']","['115', '&nbsp;']","['1,345', '&nbsp;']","['14,790', '&nbsp;']","['2,685', '&nbsp;']","['204', '&nbsp;']","['2,719', '&nbsp;']","['16,313', '&nbsp;']","['158', '&nbsp;']","['4,052', '&nbsp;']","['137', '&nbsp;']","['8,188', '&nbsp;']"
735,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['24,944', '&nbsp;']","['195,792', '&nbsp;']","['214', '&nbsp;']","['217', '&nbsp;']","['501', '&nbsp;']","['8,536', '&nbsp;']","['154', '&nbsp;']","['6,464', '&nbsp;']","['4,206', '&nbsp;']","['61', '&nbsp;']","['5,333', '&nbsp;']","['366', '&nbsp;']","['5,133', '&nbsp;']","['7,521', '&nbsp;']","['611', '&nbsp;']","['767', '&nbsp;']","['83', '&nbsp;']","['1,002', '&nbsp;']","['8,773', '&nbsp;']","['1,047', '&nbsp;']","['120', '&nbsp;']","['1,388', '&nbsp;']","['4,681', '&nbsp;']","['135', '&nbsp;']","['3,000', '&nbsp;']","['111', '&nbsp;']","['4,425', '&nbsp;']"
735,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,307', '&nbsp;']","['4,644', '&nbsp;']","['79', '&nbsp;']","['1', 'e']","['13', '&nbsp;']","['296', '&nbsp;']","['2', 'i']","['33', '&nbsp;']","['11', '&nbsp;']","['2', '&nbsp;']","['86', '&nbsp;']","['10', '&nbsp;']","['10', 'e']","['100', '&nbsp;']","['1', 'e']","['2', 'e']","['4', '&nbsp;']","['29', '&nbsp;']","['25', 'e']","['8', '&nbsp;']","['1', 'e']","['104', 'i']","['19', 'e']","['*', 'e']","['67', '&nbsp;']","['*', 'e']","['665', '&nbsp;']"
735,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['126', '&nbsp;']","['885', '&nbsp;']","['*', 'e']","['*', 'e']","['*', 'e']","['1', 'e']","['*', 'e']","['D', '&nbsp;']","['32', '&nbsp;']","['*', 'e']","['*', 'e']","['*', 'e']","['2', 'e']","['1', 'i']","['*', 'e']","['*', 'e']","['*', 'e']","['4', '&nbsp;']","['D', '&nbsp;']","['*', 'e']","['*', 'e']","['D', '&nbsp;']","['31', '&nbsp;']","['*', 'e']","['1', '&nbsp;']","['*', 'e']","['D', '&nbsp;']"
735,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['880', '&nbsp;']","['715', '&nbsp;']","['*', 'e']","['1', '&nbsp;']","['14', '&nbsp;']","['7', 'i']","['*', 'e']","['40', 'i']","['67', 'i']","['*', 'e']","['77', '&nbsp;']","['*', 'e']","['45', '&nbsp;']","['7', 'i']","['4', '&nbsp;']","['67', '&nbsp;']","['*', 'e']","['4', 'i']","['10', '&nbsp;']","['1', 'e']","['1', 'i']","['2', 'e']","['12', '&nbsp;']","['*', 'e']","['19', '&nbsp;']","['*', 'e']","['34', '&nbsp;']"
735,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['402', '&nbsp;']","['188', '&nbsp;']","['*', 'e']","['*', 'e']","['*', 'e']","['3', '&nbsp;']","['*', 'e']","['1', 'e']","['3', '&nbsp;']","['10', '&nbsp;']","['1', 'e']","['1', '&nbsp;']","['16', '&nbsp;']","['2', 'e']","['2', '&nbsp;']","['13', '&nbsp;']","['*', 'e']","['4', '&nbsp;']","['1', 'e']","['1', 'i']","['*', 'i']","['6', '&nbsp;']","['18', '&nbsp;']","['*', 'e']","['6', '&nbsp;']","['*', 'e']","['12', '&nbsp;']"
735,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['229', '&nbsp;']","['763', '&nbsp;']","['1', 'i']","['*', 'e']","['1', '&nbsp;']","['14', 'i']","['*', 'i']","['13', 'i']","['36', '&nbsp;']","['*', 'e']","['23', '&nbsp;']","['*', 'i']","['*', 'e']","['31', '&nbsp;']","['*', 'e']","['38', '&nbsp;']","['*', 'e']","['15', '&nbsp;']","['6', '&nbsp;']","['1', 'i']","['*', 'e']","['21', 'i']","['1', 'e']","['*', '&nbsp;']","['323', '&nbsp;']","['*', 'e']","['41', '&nbsp;']"
735,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['639', '&nbsp;']","['189', 'i']","['*', 'i']","['*', 'e']","['*', 'e']","['2', 'i']","['1', '&nbsp;']","['10', '&nbsp;']","['1', 'i']","['*', 'e']","['16', '&nbsp;']","['*', 'e']","['2', '&nbsp;']","['3', 'i']","['*', 'e']","['*', 'e']","['*', 'i']","['14', '&nbsp;']","['2', 'e']","['1', 'i']","['*', 'e']","['5', '&nbsp;']","['1', 'i']","['*', 'e']","['21', '&nbsp;']","['*', 'e']","['9', '&nbsp;']"
735,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['118', '&nbsp;']","['200', '&nbsp;']","['*', 'e']","['*', 'e']","['*', 'e']","['48', '&nbsp;']","['*', 'e']","['1', 'i']","['2', '&nbsp;']","['*', 'e']","['7', 'i']","['D', '&nbsp;']","['*', 'e']","['14', '&nbsp;']","['*', 'i']","['*', 'e']","['*', 'e']","['*', 'e']","['4', '&nbsp;']","['*', 'e']","['0', '&nbsp;']","['4', 'i']","['*', 'e']","['*', 'e']","['3', '&nbsp;']","['*', 'e']","['D', '&nbsp;']"
735,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,689', '&nbsp;']","['58,769', '&nbsp;']","['37', '&nbsp;']","['19', 'i']","['16', '&nbsp;']","['6,277', '&nbsp;']","['38', '&nbsp;']","['2,365', '&nbsp;']","['1,573', '&nbsp;']","['4', '&nbsp;']","['2,340', '&nbsp;']","['55', '&nbsp;']","['97', '&nbsp;']","['4,880', '&nbsp;']","['71', 'i']","['116', '&nbsp;']","['18', '&nbsp;']","['301', '&nbsp;']","['1,376', '&nbsp;']","['147', '&nbsp;']","['39', '&nbsp;']","['335', '&nbsp;']","['621', '&nbsp;']","['103', '&nbsp;']","['281', '&nbsp;']","['2', '&nbsp;']","['1,093', '&nbsp;']"
735,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['307', '&nbsp;']","['2,574', '&nbsp;']","['1', 'e']","['*', 'e']","['2', '&nbsp;']","['215', 'i']","['8', '&nbsp;']","['126', '&nbsp;']","['134', 'i']","['*', 'e']","['269', '&nbsp;']","['20', '&nbsp;']","['8', '&nbsp;']","['199', '&nbsp;']","['1', '&nbsp;']","['9', '&nbsp;']","['12', '&nbsp;']","['226', '&nbsp;']","['270', '&nbsp;']","['7', '&nbsp;']","['*', 'e']","['128', '&nbsp;']","['13', 'i']","['*', 'e']","['12', '&nbsp;']","['*', '&nbsp;']","['154', '&nbsp;']"
735,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['463', '&nbsp;']","['1,172', '&nbsp;']","['1', '&nbsp;']","['1', 'e']","['2', 'e']","['3', 'e']","['0', '&nbsp;']","['45', 'i']","['13', 'e']","['0', '&nbsp;']","['323', '&nbsp;']","['6', '&nbsp;']","['7', 'i']","['32', '&nbsp;']","['1', 'e']","['23', '&nbsp;']","['0', '&nbsp;']","['24', '&nbsp;']","['85', '&nbsp;']","['1', 'e']","['*', 'e']","['18', '&nbsp;']","['2', '&nbsp;']","['1', 'e']","['54', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']"
735,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['126', '&nbsp;']","['2,157', '&nbsp;']","['6', '&nbsp;']","['D', '&nbsp;']","['*', 'e']","['70', '&nbsp;']","['*', 'i']","['2', 'e']","['39', 'i']","['2', '&nbsp;']","['34', '&nbsp;']","['2', 'e']","['10', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['1', 'i']","['5', 'i']","['3', 'i']","['D', '&nbsp;']","['*', 'e']","['*', 'e']","['6', '&nbsp;']","['4', 'i']","['9', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['D', '&nbsp;']"
735,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['728', '&nbsp;']","['50,242', '&nbsp;']","['29', 'i']","['10', 'i']","['10', '&nbsp;']","['5,647', '&nbsp;']","['29', '&nbsp;']","['1,961', '&nbsp;']","['1,320', '&nbsp;']","['2', '&nbsp;']","['1,495', '&nbsp;']","['25', '&nbsp;']","['63', '&nbsp;']","['4,324', '&nbsp;']","['66', 'i']","['20', '&nbsp;']","['1', 'e']","['41', '&nbsp;']","['727', '&nbsp;']","['137', '&nbsp;']","['30', '&nbsp;']","['178', '&nbsp;']","['600', '&nbsp;']","['D', '&nbsp;']","['121', '&nbsp;']","['*', 'e']","['D', '&nbsp;']"
735,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['449', '&nbsp;']","['1,283', '&nbsp;']","['*', 'e']","['*', 'e']","['1', '&nbsp;']","['292', 'i']","['*', 'e']","['226', 'i']","['21', '&nbsp;']","['*', 'e']","['70', '&nbsp;']","['*', 'e']","['1', 'e']","['5', 'e']","['1', 'e']","['3', '&nbsp;']","['*', 'i']","['4', 'e']","['42', '&nbsp;']","['2', '&nbsp;']","['9', '&nbsp;']","['4', '&nbsp;']","['2', 'e']","['1', 'e']","['6', 'i']","['*', '&nbsp;']","['6', '&nbsp;']"
735,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['618', '&nbsp;']","['1,339', '&nbsp;']","['*', 'e']","['D', '&nbsp;']","['1', 'i']","['49', '&nbsp;']","['*', 'e']","['6', 'i']","['45', '&nbsp;']","['*', 'e']","['148', '&nbsp;']","['2', 'e']","['8', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['60', '&nbsp;']","['*', 'e']","['4', 'e']","['D', '&nbsp;']","['1', 'e']","['*', 'e']","['2', 'e']","['1', 'e']","['D', '&nbsp;']","['D', '&nbsp;']","['*', 'e']","['D', '&nbsp;']"
