table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_hierarchy_depth,field_totala_male,field_totala_female,field_life_sciencesb_male,field_life_sciencesb_female,field_physical_sciences_and_earth_sciences_male,field_physical_sciences_and_earth_sciences_female,field_mathematics_and_computer_sciences_male,field_mathematics_and_computer_sciences_female,field_psychology_and_social_sciences_male,field_psychology_and_social_sciences_female,field_engineering_male,field_engineering_female,field_education_male,field_education_female,field_humanities_and_arts_male,field_humanities_and_arts_female,field_otherc_male,field_otherc_female
4643,r001,United States<sup>d</sup>,United States<sup>d</sup>,,1,29886,25392,5553,7007,4177,2068,3297,1095,3588,5358,7882,2593,1456,3259,2516,2423,1417,1589
4643,r002,United States<sup>d</sup> -> Alabama,United States<sup>d</sup>,Alabama,2,368,324,75,111,46,17,34,10,32,52,112,23,28,82,11,11,30,18
4643,r003,United States<sup>d</sup> -> Alaska,United States<sup>d</sup>,Alaska,2,25,29,9,11,8,6,,,,,,,,,,,,
4643,r004,United States<sup>d</sup> -> Arizona,United States<sup>d</sup>,Arizona,2,576,476,81,103,93,33,59,26,73,117,159,49,29,68,52,53,30,27
4643,r005,United States<sup>d</sup> -> Arkansas,United States<sup>d</sup>,Arkansas,2,159,111,41,38,18,6,16,5,16,18,34,10,9,19,13,10,12,5
4643,r006,United States<sup>d</sup> -> California,United States<sup>d</sup>,California,2,3396,2591,528,661,591,264,452,111,445,675,911,323,92,188,301,263,76,106
4643,r007,United States<sup>d</sup> -> Colorado,United States<sup>d</sup>,Colorado,2,630,449,96,106,140,54,49,16,53,71,195,54,40,86,38,40,19,22
4643,r008,United States<sup>d</sup> -> Connecticut,United States<sup>d</sup>,Connecticut,2,362,402,92,145,54,35,34,12,62,77,47,31,,,55,69,,
4643,r009,United States<sup>d</sup> -> Delaware,United States<sup>d</sup>,Delaware,2,117,101,16,27,21,16,,,19,20,38,19,,,5,10,0,0
4643,r010,United States<sup>d</sup> -> District of Columbia,United States<sup>d</sup>,District of Columbia,2,285,294,42,69,16,13,24,13,74,93,40,12,18,30,56,32,15,32
4643,r011,United States<sup>d</sup> -> Florida,United States<sup>d</sup>,Florida,2,1246,1140,202,301,179,98,154,56,139,251,351,104,91,180,74,76,56,74
4643,r012,United States<sup>d</sup> -> Georgia,United States<sup>d</sup>,Georgia,2,821,663,160,220,92,49,100,25,82,114,259,78,34,66,56,60,38,51
4643,r013,United States<sup>d</sup> -> Hawaii,United States<sup>d</sup>,Hawaii,2,83,112,17,27,15,16,,,20,26,,,6,22,8,12,,
4643,r014,United States<sup>d</sup> -> Idaho,United States<sup>d</sup>,Idaho,2,71,43,12,13,17,6,,,,,22,5,,,,,,
4643,r015,United States<sup>d</sup> -> Illinois,United States<sup>d</sup>,Illinois,2,1382,1052,210,239,195,86,162,58,174,240,370,117,47,99,147,133,77,80
4643,r016,United States<sup>d</sup> -> Indiana,United States<sup>d</sup>,Indiana,2,970,643,141,143,125,60,116,31,79,114,306,91,56,90,97,74,50,40
4643,r017,United States<sup>d</sup> -> Iowa,United States<sup>d</sup>,Iowa,2,417,310,86,95,51,24,39,23,43,46,129,42,18,44,25,23,26,13
4643,r018,United States<sup>d</sup> -> Kansas,United States<sup>d</sup>,Kansas,2,306,242,77,66,35,19,21,10,45,41,70,24,18,39,21,19,19,24
4643,r019,United States<sup>d</sup> -> Kentucky,United States<sup>d</sup>,Kentucky,2,270,234,65,84,18,8,26,12,34,42,43,17,14,26,52,30,18,15
4643,r020,United States<sup>d</sup> -> Louisiana,United States<sup>d</sup>,Louisiana,2,364,274,84,66,50,28,35,8,42,61,74,23,12,38,41,32,26,18
4643,r021,United States<sup>d</sup> -> Maine,United States<sup>d</sup>,Maine,2,31,37,9,13,,,,,,,,,,,,,,
4643,r022,United States<sup>d</sup> -> Maryland,United States<sup>d</sup>,Maryland,2,684,585,164,249,101,37,89,42,67,98,182,39,23,59,38,35,20,26
4643,r023,United States<sup>d</sup> -> Massachusetts,United States<sup>d</sup>,Massachusetts,2,1571,1244,325,351,256,122,166,57,216,270,389,156,39,98,122,131,58,59
4643,r024,United States<sup>d</sup> -> Michigan,United States<sup>d</sup>,Michigan,2,1093,874,180,206,156,82,135,41,113,192,334,109,78,125,56,73,41,46
4643,r025,United States<sup>d</sup> -> Minnesota,United States<sup>d</sup>,Minnesota,2,626,919,146,240,42,21,30,7,152,315,96,37,46,136,21,38,93,125
4643,r026,United States<sup>d</sup> -> Mississippi,United States<sup>d</sup>,Mississippi,2,225,220,56,45,24,23,10,6,22,37,41,10,33,71,18,11,21,17
4643,r027,United States<sup>d</sup> -> Missouri,United States<sup>d</sup>,Missouri,2,552,408,118,122,68,39,46,9,61,88,148,34,20,42,70,47,21,27
4643,r028,United States<sup>d</sup> -> Montana,United States<sup>d</sup>,Montana,2,60,60,26,23,11,8,,,8,12,,,,,,,,
4643,r029,United States<sup>d</sup> -> Nebraska,United States<sup>d</sup>,Nebraska,2,183,178,63,62,16,12,,,23,44,43,14,10,21,7,12,,
4643,r030,United States<sup>d</sup> -> Nevada,United States<sup>d</sup>,Nevada,2,133,118,23,20,19,11,,,25,31,32,13,8,31,9,7,,
4643,r031,United States<sup>d</sup> -> New Hampshire,United States<sup>d</sup>,New Hampshire,2,101,97,31,50,14,12,,,11,10,19,14,,,,,,
4643,r032,United States<sup>d</sup> -> New Jersey,United States<sup>d</sup>,New Jersey,2,535,456,84,95,78,39,71,24,66,98,121,55,22,52,70,64,23,29
4643,r033,United States<sup>d</sup> -> New Mexico,United States<sup>d</sup>,New Mexico,2,135,165,14,28,29,11,,,17,39,34,15,18,37,5,20,,
