table_id,row_id,nativity_level_of_highest_degree_and_occupation_full_path,nativity_level_of_highest_degree_and_occupation_level_1,nativity_level_of_highest_degree_and_occupation_level_2,nativity_level_of_highest_degree_and_occupation_level_3,nativity_level_of_highest_degree_and_occupation_level_4,nativity_level_of_highest_degree_and_occupation_level_5,nativity_level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_business_or_industry,field_4_year_educational_institutiona,field_2_year_college_or_precollege_educational_institution,field_governmentb
5320,r001,"All college graduates, all degrees, all occupations","All college graduates, all degrees, all occupations",,,,,1,50524000,35125000,3225000,7110000,5064000
5320,r002,"All college graduates, all degrees, all occupations -> S&E occupations","All college graduates, all degrees, all occupations",S&E occupations,,,,2,7466000,5444000,1013000,211000,798000
5320,r003,"All college graduates, all degrees, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,,3,698000,302000,253000,23000,120000
5320,r004,"All college graduates, all degrees, all occupations -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",S&E occupations,Computer and mathematical scientists,,,3,3774000,3147000,256000,102000,269000
5320,r005,"All college graduates, all degrees, all occupations -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",S&E occupations,Physical and related scientists,,,3,409000,189000,127000,9000,85000
5320,r006,"All college graduates, all degrees, all occupations -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",S&E occupations,Social and related scientists,,,3,663000,230000,270000,67000,97000
5320,r007,"All college graduates, all degrees, all occupations -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",S&E occupations,Engineers,,,3,1921000,1576000,108000,11000,226000
5320,r008,"All college graduates, all degrees, all occupations -> S&E-related occupations","All college graduates, all degrees, all occupations",S&E-related occupations,,,,2,8893000,6470000,648000,1144000,632000
5320,r009,"All college graduates, all degrees, all occupations -> Non-S&E occupations","All college graduates, all degrees, all occupations",Non-S&E occupations,,,,2,34165000,23210000,1564000,5755000,3635000
5320,r010,"All college graduates, all degrees, all occupations -> Bachelor's","All college graduates, all degrees, all occupations",Bachelor's,,,,2,31373000,23604000,1249000,3367000,3154000
5320,r011,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,,,3,4176000,3343000,311000,74000,448000
5320,r012,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",,4,277000,133000,82000,4000,59000
5320,r013,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Computer and mathematical scientists,,4,2403000,2066000,107000,58000,172000
5320,r014,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Physical and related scientists,,4,189000,101000,39000,2000,47000
5320,r015,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Social and related scientists,,4,147000,50000,56000,8000,33000
5320,r016,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Engineers,,4,1158000,994000,27000,1000,137000
5320,r017,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E-related occupations","All college graduates, all degrees, all occupations",Bachelor's,S&E-related occupations,,,3,4794000,3738000,230000,485000,342000
5320,r018,"All college graduates, all degrees, all occupations -> Bachelor's -> Non-S&E occupations","All college graduates, all degrees, all occupations",Bachelor's,Non-S&E occupations,,,3,22403000,16523000,708000,2808000,2364000
5320,r019,"All college graduates, all degrees, all occupations -> Master's","All college graduates, all degrees, all occupations",Master's,,,,2,14158000,8353000,976000,3487000,1342000
5320,r020,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations","All college graduates, all degrees, all occupations",Master's,S&E occupations,,,3,2286000,1660000,279000,97000,251000
5320,r021,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,"Biological, agricultural, and other life scientists",,4,152000,65000,44000,7000,36000
5320,r022,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,Computer and mathematical scientists,,4,1168000,959000,89000,41000,79000
5320,r023,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,Physical and related scientists,,4,97000,47000,27000,2000,21000
5320,r024,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,Social and related scientists,,4,249000,86000,83000,38000,42000
5320,r025,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",Master's,S&E occupations,Engineers,,4,619000,503000,35000,8000,73000
5320,r026,"All college graduates, all degrees, all occupations -> Master's -> S&E-related occupations","All college graduates, all degrees, all occupations",Master's,S&E-related occupations,,,3,2332000,1381000,159000,607000,186000
5320,r027,"All college graduates, all degrees, all occupations -> Master's -> Non-S&E occupations","All college graduates, all degrees, all occupations",Master's,Non-S&E occupations,,,3,9540000,5313000,538000,2784000,905000
5320,r028,"All college graduates, all degrees, all occupations -> Doctorate","All college graduates, all degrees, all occupations",Doctorate,,,,2,2090000,985000,759000,196000,150000
5320,r029,"All college graduates, all degrees, all occupations -> Doctorate -> S&E occupations","All college graduates, all degrees, all occupations",Doctorate,S&E occupations,,,3,938000,406000,411000,32000,88000
