table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
7395,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['31,678,671,919', '&nbsp;']","['2,302,385,968', '&nbsp;']","['3,685,401,449', '&nbsp;']","['4,085,059,772', '&nbsp;']","['21,605,824,730', '&nbsp;']"
7395,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['5,839,855,120', '&nbsp;']","['81,730,511', '&nbsp;']","['289,437,813', '&nbsp;']","['461,139,548', '&nbsp;']","['5,007,547,248', '&nbsp;']"
7395,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['726,283,334', '&nbsp;']","['6,028,438', '&nbsp;']","['23,832,276', '&nbsp;']","['66,329,813', '&nbsp;']","['630,092,807', '&nbsp;']"
7395,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['159,359,053', '&nbsp;']","['2,015,252', '&nbsp;']","['12,923,954', '&nbsp;']","['9,937,339', '&nbsp;']","['134,482,508', '&nbsp;']"
7395,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['50,932,362', '&nbsp;']","['3,297,016', '&nbsp;']","['14,418,331', '&nbsp;']","['6,433,052', '&nbsp;']","['26,783,964', '&nbsp;']"
7395,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['119,479,601', '&nbsp;']","['6,155,378', '&nbsp;']","['15,253,265', '&nbsp;']","['19,669,074', '&nbsp;']","['78,401,885', '&nbsp;']"
7395,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['263,663,700', '&nbsp;']","['376,518', '&nbsp;']","['4,423,652', '&nbsp;']","['14,369,480', '&nbsp;']","['244,494,050', '&nbsp;']"
7395,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['71,979,502', '&nbsp;']","['7,075,721', '&nbsp;']","['14,561,421', '&nbsp;']","['13,453,403', '&nbsp;']","['36,888,957', '&nbsp;']"
7395,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,046,490,518', '&nbsp;']","['821,657', '&nbsp;']","['2,132,566', '&nbsp;']","['2,502,405', '&nbsp;']","['1,041,033,891', '&nbsp;']"
7395,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['486,690,265', '&nbsp;']","['3,842,926', '&nbsp;']","['20,685,720', '&nbsp;']","['35,704,917', '&nbsp;']","['426,456,702', '&nbsp;']"
