table_id,row_id,time_period,_b_manufacturing_b_level_1,_b_manufacturing_b_level_2,_b_manufacturing_b_hierarchy_depth,value
1972,r001_1,High R&D intensity,Manufacturing,Industry code,2,303
1972,r001_2,High R&D intensity,Manufacturing,Name,2,Air and spacecraft and related machinery
1972,r001_3,High R&D intensity,Manufacturing,R&D intensity (%),2,31.69
1972,r001_4,High R&D intensity,Services,Industry code,2,72
1972,r001_5,High R&D intensity,Services,Name,2,Scientific research and development
1972,r001_6,High R&D intensity,Services,R&D intensity (%),2,30.39
1972,r002_1,,Manufacturing,Industry code,2,21
1972,r002_2,,Manufacturing,Name,2,Pharmaceuticals
1972,r002_3,,Manufacturing,R&D intensity (%),2,27.98
1972,r002_4,,Services,Industry code,2,582
1972,r002_5,,Services,Name,2,Software publishing
1972,r002_6,,Services,R&D intensity (%),2,28.94
1972,r003_1,,Manufacturing,Industry code,2,26
1972,r003_2,,Manufacturing,Name,2,"Computer, electronic, and optical products"
1972,r003_3,,Manufacturing,R&D intensity (%),2,24.05
1972,r004_1,Medium-high R&D intensity,Manufacturing,Industry code,2,252
1972,r004_2,Medium-high R&D intensity,Manufacturing,Name,2,Weapons and ammunition
1972,r004_3,Medium-high R&D intensity,Manufacturing,R&D intensity (%),2,18.87
1972,r004_4,Medium-high R&D intensity,Services,Industry code,2,62-63
1972,r004_5,Medium-high R&D intensity,Services,Name,2,IT and other information services
1972,r004_6,Medium-high R&D intensity,Services,R&D intensity (%),2,5.92
1972,r005_1,,Manufacturing,Industry code,2,29
1972,r005_2,,Manufacturing,Name,2,"Motor vehicles, trailers, and semi-trailers"
1972,r005_3,,Manufacturing,R&D intensity (%),2,15.36
1972,r006_1,,Manufacturing,Industry code,2,325
1972,r006_2,,Manufacturing,Name,2,Medical and dental instruments
1972,r006_3,,Manufacturing,R&D intensity (%),2,9.29
1972,r007_1,,Manufacturing,Industry code,2,28
1972,r007_2,,Manufacturing,Name,2,Machinery and equipment nec
1972,r007_3,,Manufacturing,R&D intensity (%),2,7.89
1972,r008_1,,Manufacturing,Industry code,2,20
1972,r008_2,,Manufacturing,Name,2,Chemicals and chemical products
1972,r008_3,,Manufacturing,R&D intensity (%),2,6.52
1972,r009_1,,Manufacturing,Industry code,2,27
1972,r009_2,,Manufacturing,Name,2,Electrical equipment
1972,r009_3,,Manufacturing,R&D intensity (%),2,6.22
1972,r010_1,,Manufacturing,Industry code,2,30X
1972,r010_2,,Manufacturing,Name,2,"Railroad, military vehicles and transport nec (ISIC 302, 304, and 309)"
1972,r010_3,,Manufacturing,R&D intensity (%),2,5.72
1972,r011_1,Medium R&D intensity,Manufacturing,Industry code,2,22
1972,r011_2,Medium R&D intensity,Manufacturing,Name,2,Rubber and plastic products
1972,r011_3,Medium R&D intensity,Manufacturing,R&D intensity (%),2,3.58
1972,r012_1,,Manufacturing,Industry code,2,301
1972,r012_2,,Manufacturing,Name,2,Building of ships and boats
1972,r012_3,,Manufacturing,R&D intensity (%),2,2.99
1972,r013_1,,Manufacturing,Industry code,2,32X
1972,r013_2,,Manufacturing,Name,2,Other manufacturing except medical and dental instruments
1972,r013_3,,Manufacturing,R&D intensity (%),2,2.85
1972,r014_1,,Manufacturing,Industry code,2,23
1972,r014_2,,Manufacturing,Name,2,Other non-metallic mineral products
1972,r014_3,,Manufacturing,R&D intensity (%),2,2.24
1972,r015_1,,Manufacturing,Industry code,2,24
1972,r015_2,,Manufacturing,Name,2,Basic metals
1972,r015_3,,Manufacturing,R&D intensity (%),2,2.07
1972,r016_1,,Manufacturing,Industry code,2,33
1972,r016_2,,Manufacturing,Name,2,Repair and installation of machinery and equipment
1972,r016_3,,Manufacturing,R&D intensity (%),2,1.93
1972,r017_1,Medium-low R&D intensity,Manufacturing,Industry code,2,13
1972,r017_2,Medium-low R&D intensity,Manufacturing,Name,2,Textiles
1972,r017_3,Medium-low R&D intensity,Manufacturing,R&D intensity (%),2,1.73
1972,r017_4,Medium-low R&D intensity,Services,Industry code,2,69-75X
1972,r017_5,Medium-low R&D intensity,Services,Name,2,"Professional, scientific and technical activities except scientific R&D services (ISIC 69-75 less 72)"
1972,r017_6,Medium-low R&D intensity,Services,R&D intensity (%),2,1.76
1972,r018_1,,Manufacturing,Industry code,2,15
1972,r018_2,,Manufacturing,Name,2,Leather and related products
1972,r018_3,,Manufacturing,R&D intensity (%),2,1.65
1972,r018_4,,Services,Industry code,2,61
1972,r018_5,,Services,Name,2,Telecommunications
1972,r018_6,,Services,R&D intensity (%),2,1.45
1972,r019_1,,Manufacturing,Industry code,2,17
1972,r019_2,,Manufacturing,Name,2,Paper and paper products
1972,r019_3,,Manufacturing,R&D intensity (%),2,1.58
1972,r019_4,,Services,Industry code,2,05-09
1972,r019_5,,Services,Name,2,Mining and quarrying
1972,r019_6,,Services,R&D intensity (%),2,0.8
1972,r020_1,,Manufacturing,Industry code,2,10-12
1972,r020_2,,Manufacturing,Name,2,"Food products, beverages and tobacco"
1972,r020_3,,Manufacturing,R&D intensity (%),2,1.44
1972,r020_4,,Services,Industry code,2,581
1972,r020_5,,Services,Name,2,Publishing of books and periodicals
1972,r020_6,,Services,R&D intensity (%),2,0.57
1972,r021_1,,Manufacturing,Industry code,2,14
1972,r021_2,,Manufacturing,Name,2,Wearing apparel
1972,r021_3,,Manufacturing,R&D intensity (%),2,1.4
1972,r022_1,,Manufacturing,Industry code,2,25X
1972,r022_2,,Manufacturing,Name,2,Fabricated metal products except weapons and ammunition (ISIC 25 less 252)
1972,r022_3,,Manufacturing,R&D intensity (%),2,1.19
1972,r023_1,,Manufacturing,Industry code,2,19
1972,r023_2,,Manufacturing,Name,2,Coke and refined petroleum products
1972,r023_3,,Manufacturing,R&D intensity (%),2,1.17
1972,r024_1,,Manufacturing,Industry code,2,31
1972,r024_2,,Manufacturing,Name,2,Furniture
1972,r024_3,,Manufacturing,R&D intensity (%),2,1.17
1972,r025_1,,Manufacturing,Industry code,2,16
1972,r025_2,,Manufacturing,Name,2,Wood and products of wood and cork
1972,r025_3,,Manufacturing,R&D intensity (%),2,0.7
1972,r026_1,,Manufacturing,Industry code,2,18
1972,r026_2,,Manufacturing,Name,2,Printing and reproductions of recorded media
1972,r026_3,,Manufacturing,R&D intensity (%),2,0.67
1972,r027_4,Low R&D intensity,Services,Industry code,2,64-66
1972,r027_5,Low R&D intensity,Services,Name,2,Financial and insurance activities
1972,r027_6,Low R&D intensity,Services,R&D intensity (%),2,0.38
1972,r028_4,,Services,Industry code,2,35-39
1972,r028_5,,Services,Name,2,"Electricity, gas, and water supply, waste management, and remediation"
1972,r028_6,,Services,R&D intensity (%),2,0.35
1972,r029_4,,Services,Industry code,2,59-60
1972,r029_5,,Services,Name,2,Audiovisual and broadcasting activities
1972,r029_6,,Services,R&D intensity (%),2,0.32
1972,r030_4,,Services,Industry code,2,45-47
1972,r030_5,,Services,Name,2,Wholesale and retail trade
1972,r030_6,,Services,R&D intensity (%),2,0.28
1972,r031_4,,Services,Industry code,2,01-03
1972,r031_5,,Services,Name,2,"Agriculture, forestry and fishing"
1972,r031_6,,Services,R&D intensity (%),2,0.27
1972,r032_4,,Services,Industry code,2,41-43
1972,r032_5,,Services,Name,2,Construction
1972,r032_6,,Services,R&D intensity (%),2,0.21
1972,r033_4,,Services,Industry code,2,77-82
1972,r033_5,,Services,Name,2,Administrative and support services
1972,r033_6,,Services,R&D intensity (%),2,0.18
1972,r034_4,,Services,Industry code,2,90-99
1972,r034_5,,Services,Name,2,"Arts, entertainment, repair of household goods, and other services"
1972,r034_6,,Services,R&D intensity (%),2,0.11
1972,r035_4,,Services,Industry code,2,49-53
1972,r035_5,,Services,Name,2,Transportation and storage
1972,r035_6,,Services,R&D intensity (%),2,0.08
1972,r036_4,,Services,Industry code,2,55-56
1972,r036_5,,Services,Name,2,Accommodation and food service activities
1972,r036_6,,Services,R&D intensity (%),2,0.02
1972,r037_4,,Services,Industry code,2,68
1972,r037_5,,Services,Name,2,Real estate activities
1972,r037_6,,Services,R&D intensity (%),2,0.01
