table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_postdoctoral_appointees_2017,field_postdoctoral_appointees_2018,field_postdoctoral_appointees_2019,field_postdoctoral_appointees_2020,field_postdoctoral_appointees_percent_change_2017_20,field_postdoctoral_appointees_percent_change_2019_20,field_nonfaculty_researchers_2017,field_nonfaculty_researchers_2018,field_nonfaculty_researchers_2019,field_nonfaculty_researchers_2020,field_nonfaculty_researchers_percent_change_2017_20,field_nonfaculty_researchers_percent_change_2019_20
5557,r001,All surveyed fields,All surveyed fields,,,,1,64733,64783,66247,65681,1.5,-0.9,28180,29284,30349,29661,5.3,-2.3
5557,r002,All surveyed fields -> Science and engineering,All surveyed fields,Science and engineering,,,2,46080,45478,46769,47203,2.4,0.9,20542,21848,22728,22133,7.7,-2.6
5557,r003,All surveyed fields -> Science and engineering -> Science,All surveyed fields,Science and engineering,Science,,3,38241,37564,38503,38741,1.3,0.6,17268,18278,18819,18212,5.5,-3.2
5557,r004,All surveyed fields -> Science and engineering -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science and engineering,Science,Agricultural and veterinary sciences,4,1024,1072,1079,1678,63.9,55.5,496,565,645,964,94.4,49.5
5557,r005,All surveyed fields -> Science and engineering -> Science -> Biological and biomedical sciences,All surveyed fields,Science and engineering,Science,Biological and biomedical sciences,4,21781,21533,21847,21902,0.6,0.3,8203,8250,8229,8112,-1.1,-1.4
5557,r006,All surveyed fields -> Science and engineering -> Science -> Computer and information sciences,All surveyed fields,Science and engineering,Science,Computer and information sciences,4,854,879,878,823,-3.6,-6.3,476,515,510,458,-3.8,-10.2
5557,r007,"All surveyed fields -> Science and engineering -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science and engineering,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,2089,1726,1778,1790,-14.3,0.7,1794,2106,2177,2150,19.8,-1.2
5557,r008,All surveyed fields -> Science and engineering -> Science -> Mathematics and statistics,All surveyed fields,Science and engineering,Science,Mathematics and statistics,4,991,982,1070,1076,8.6,0.6,240,266,305,201,-16.3,-34.1
5557,r009,All surveyed fields -> Science and engineering -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields,Science and engineering,Science,Multidisciplinary and interdisciplinary studies,4,1131,980,972,832,-26.4,-14.4,806,832,820,679,-15.8,-17.2
5557,r010,All surveyed fields -> Science and engineering -> Science -> Natural resources and conservation,All surveyed fields,Science and engineering,Science,Natural resources and conservation,4,731,764,806,845,15.6,4.8,364,580,582,573,57.4,-1.5
5557,r011,All surveyed fields -> Science and engineering -> Science -> Physical sciences,All surveyed fields,Science and engineering,Science,Physical sciences,4,7211,6976,7159,6937,-3.8,-3.1,2871,3056,3316,2890,0.7,-12.8
5557,r012,All surveyed fields -> Science and engineering -> Science -> Psychology,All surveyed fields,Science and engineering,Science,Psychology,4,1082,1145,1152,1312,21.3,13.9,494,507,576,749,51.6,30.0
5557,r013,All surveyed fields -> Science and engineering -> Science -> Social sciences,All surveyed fields,Science and engineering,Science,Social sciences,4,1347,1507,1762,1546,14.8,-12.3,1524,1601,1659,1436,-5.8,-13.4
5557,r014,All surveyed fields -> Science and engineering -> Engineering,All surveyed fields,Science and engineering,Engineering,,3,7839,7914,8266,8462,7.9,2.4,3274,3570,3909,3921,19.8,0.3
5557,r015,"All surveyed fields -> Science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,196,207,227,233,18.9,2.6,102,115,124,149,46.1,20.2
5557,r016,"All surveyed fields -> Science and engineering -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Science and engineering,Engineering,"Biological, biomedical, and biosystems engineering",4,1476,1529,1602,1696,14.9,5.9,451,491,545,525,16.4,-3.7
5557,r017,"All surveyed fields -> Science and engineering -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Science and engineering,Engineering,"Chemical, petroleum, and chemical-related engineering",4,1262,1205,1229,1157,-8.3,-5.9,340,337,410,330,-2.9,-19.5
5557,r018,"All surveyed fields -> Science and engineering -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Science and engineering,Engineering,"Civil, environmental, transportation and related engineering fields",4,804,739,865,1006,25.1,16.3,422,414,492,488,15.6,-0.8
5557,r019,"All surveyed fields -> Science and engineering -> Engineering -> Electrical, electronics, communications and computer engineering",All surveyed fields,Science and engineering,Engineering,"Electrical, electronics, communications and computer engineering",4,1170,1197,1305,1302,11.3,-0.2,557,588,637,706,26.8,10.8
5557,r020,"All surveyed fields -> Science and engineering -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields,Science and engineering,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,127,156,167,194,52.8,16.2,119,105,137,155,30.3,13.1
5557,r021,All surveyed fields -> Science and engineering -> Engineering -> Mechanical engineering,All surveyed fields,Science and engineering,Engineering,Mechanical engineering,4,1089,1069,1142,1149,5.5,0.6,458,489,531,469,2.4,-11.7
5557,r022,"All surveyed fields -> Science and engineering -> Engineering -> Metallurgical, mining, materials and related engineering fields",All surveyed fields,Science and engineering,Engineering,"Metallurgical, mining, materials and related engineering fields",4,565,575,665,630,11.5,-5.3,233,267,303,299,28.3,-1.3
5557,r023,All surveyed fields -> Science and engineering -> Engineering -> Other engineering,All surveyed fields,Science and engineering,Engineering,Other engineering,4,1150,1237,1064,1095,-4.8,2.9,592,764,730,800,35.1,9.6
5557,r024,All surveyed fields -> Science and engineering -> Health,All surveyed fields,Science and engineering,Health,,3,18653,19305,19478,18478,-0.9,-5.1,7638,7436,7621,7528,-1.4,-1.2
5557,r025,All surveyed fields -> Science and engineering -> Health -> Clinical medicine,All surveyed fields,Science and engineering,Health,Clinical medicine,4,16100,16563,16650,16287,1.2,-2.2,6448,6159,6273,6500,0.8,3.6
5557,r026,All surveyed fields -> Science and engineering -> Health -> Other health,All surveyed fields,Science and engineering,Health,Other health,4,2553,2742,2828,2191,-14.2,-22.5,1190,1277,1348,1028,-13.6,-23.7
