table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022_preliminary_
10323,r001,All fields,All fields,,,1,29753,31604,32298,34812,36600,38392,41101,43758,43750,44674
10323,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,NA,NA,NA,NA,NA,NA,NA,NA,3086,3493
10323,r003,All fields -> Computer sciences and mathematics,All fields,Computer sciences and mathematics,,2,1736,1965,1878,2113,2017,2122,2024,3388,NA,NA
10323,r004,All fields -> Computer sciences and mathematics -> Computer sciences,All fields,Computer sciences and mathematics,Computer sciences,3,1502,1654,1621,1818,1736,1856,1746,3050,NA,NA
10323,r005,All fields -> Computer sciences and mathematics -> Mathematics,All fields,Computer sciences and mathematics,Mathematics,3,107,155,132,141,118,113,118,178,NA,NA
10323,r006,All fields -> Computer sciences and mathematics -> Other computer sciences and mathematics,All fields,Computer sciences and mathematics,Other computer sciences and mathematics,3,128,157,125,154,163,154,160,160,NA,NA
10323,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",,2,1645,1613,1675,1685,1783,1571,1823,1873,1797,2484
10323,r008,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Atmospheric science and meteorology (formerly Atmospheric sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",Atmospheric science and meteorology (formerly Atmospheric sciences),3,548,531,516,517,564,288,310,345,327,NA
10323,r009,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Geological and earth sciences (formerly Geological sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",Geological and earth sciences (formerly Geological sciences),3,215,143,211,129,141,45,39,44,287,NA
10323,r010,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Ocean sciences and marine sciences (formerly Oceanography)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)",Ocean sciences and marine sciences (formerly Oceanography),3,331,365,294,331,390,359,387,476,606,NA
10323,r011,"All fields -> Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences) -> Other geosciences, atmospheric sciences, and ocean sciences (formerly Other environmental sciences)",All fields,"Geosciences, atmospheric sciences, and ocean sciences (formerly Environmental sciences)","Other geosciences, atmospheric sciences, and ocean sciences (formerly Other environmental sciences)",3,551,573,654,708,688,879,1086,1007,576,NA
10323,r012,All fields -> Life sciences,All fields,Life sciences,,2,14345,14932,15415,16468,17516,18818,19423,21720,19169,19323
10323,r013,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,441,491,766,717,769,728,811,731,486,NA
