table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_hierarchy_depth,field_rdt_e_expenditures_all_rdt_e,field_rdt_e_expenditures_r_d_all_r_d,field_rdt_e_expenditures_r_d_basic_research,field_rdt_e_expenditures_r_d_applied_research,field_rdt_e_expenditures_r_d_experimental_development,field_rdt_e_expenditures_operational_system_development,field_federally_funded_rdt_e_expenditures_all_federal_rdt_e,field_federally_funded_rdt_e_expenditures_r_d_all_r_d,field_federally_funded_rdt_e_expenditures_r_d_basic_research,field_federally_funded_rdt_e_expenditures_r_d_applied_research,field_federally_funded_rdt_e_expenditures_r_d_experimental_development,field_federally_funded_rdt_e_expenditures_operational_system_development,field_nonfederally_funded_rdt_e_expenditures_all_nonfederal_rdt_e,field_nonfederally_funded_rdt_e_expenditures_r_d_all_r_d,field_nonfederally_funded_rdt_e_expenditures_r_d_basic_research,field_nonfederally_funded_rdt_e_expenditures_r_d_applied_research,field_nonfederally_funded_rdt_e_expenditures_r_d_experimental_development,field_nonfederally_funded_rdt_e_expenditures_operational_system_development
12492,r001,All DOD agencies,All DOD agencies,,,,,1,"['22,429,339', ' ']","['20,864,136', ' ']","['763,485', ' ']","['2,784,669', 'i']","['17,315,982', ' ']","['1,565,203', ' ']","['22,158,225', ' ']","['20,680,994', ' ']","['763,377', ' ']","['2,757,171', 'i']","['17,160,446', ' ']","['1,477,231', ' ']","['271,113', ' ']","['183,142', ' ']","['107', ' ']","['27,498', ' ']","['155,537', ' ']","['87,971', ' ']"
12492,r002,All DOD agencies -> Defense Information Systems Agency,All DOD agencies,Defense Information Systems Agency,,,,2,"['298,440', '']","['64,816', '']","['0', '']","['0', '']","['64,816', '']","['233,624', '']","['222,456', '']","['63,366', '']","['0', '']","['0', '']","['63,366', '']","['159,090', '']","['75,984', '']","['1,450', '']","['0', '']","['0', '']","['1,450', '']","['74,534', '']"
12492,r003,All DOD agencies -> Department of the Air Force,All DOD agencies,Department of the Air Force,,,,2,"['6,551,871', 'i']","['6,364,822', 'i']","['170,459', 'i']","['1,225,972', 'i']","['4,968,390', 'i']","['187,049', 'i']","['6,551,871', 'i']","['6,364,822', 'i']","['170,459', 'i']","['1,225,972', 'i']","['4,968,390', 'i']","['187,049', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r004,All DOD agencies -> Department of the Air Force -> Materiel Command,All DOD agencies,Department of the Air Force,Materiel Command,,,3,"['6,551,871', 'i']","['6,364,822', 'i']","['170,459', 'i']","['1,225,972', 'i']","['4,968,390', 'i']","['187,049', 'i']","['6,551,871', 'i']","['6,364,822', 'i']","['170,459', 'i']","['1,225,972', 'i']","['4,968,390', 'i']","['187,049', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r005,All DOD agencies -> Department of the Air Force -> Materiel Command -> Air Force Civil Engineer Center,All DOD agencies,Department of the Air Force,Materiel Command,Air Force Civil Engineer Center,,4,"['27,922', 'i']","['27,922', 'i']","['0', 'i']","['0', 'i']","['27,922', 'i']","['0', 'i']","['27,922', 'i']","['27,922', 'i']","['0', 'i']","['0', 'i']","['27,922', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r006,All DOD agencies -> Department of the Air Force -> Materiel Command -> Air Force Life Cycle Management Center,All DOD agencies,Department of the Air Force,Materiel Command,Air Force Life Cycle Management Center,,4,"['2,661,569', 'i']","['2,560,962', 'i']","['0', 'i']","['0', 'i']","['2,560,962', 'i']","['100,606', 'i']","['2,661,569', 'i']","['2,560,962', 'i']","['0', 'i']","['0', 'i']","['2,560,962', 'i']","['100,606', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r007,All DOD agencies -> Department of the Air Force -> Materiel Command -> Air Force Nuclear Weapons Center,All DOD agencies,Department of the Air Force,Materiel Command,Air Force Nuclear Weapons Center,,4,"['556,070', 'i']","['511,311', 'i']","['0', 'i']","['0', 'i']","['511,311', 'i']","['44,759', 'i']","['556,070', 'i']","['511,311', 'i']","['0', 'i']","['0', 'i']","['511,311', 'i']","['44,759', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r008,All DOD agencies -> Department of the Air Force -> Materiel Command -> Air Force Research Laboratory,All DOD agencies,Department of the Air Force,Materiel Command,Air Force Research Laboratory,,4,"['2,681,862', 'i']","['2,670,981', 'i']","['170,459', 'i']","['1,225,972', 'i']","['1,274,549', 'i']","['10,881', 'i']","['2,681,862', 'i']","['2,670,981', 'i']","['170,459', 'i']","['1,225,972', 'i']","['1,274,549', 'i']","['10,881', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r009,All DOD agencies -> Department of the Air Force -> Materiel Command -> Air Force Test Center,All DOD agencies,Department of the Air Force,Materiel Command,Air Force Test Center,,4,"['624,447', 'i']","['593,645', 'i']","['0', 'i']","['0', 'i']","['593,645', 'i']","['30,803', 'i']","['624,447', 'i']","['593,645', 'i']","['0', 'i']","['0', 'i']","['593,645', 'i']","['30,803', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12492,r010,All DOD agencies -> Department of the Army,All DOD agencies,Department of the Army,,,,2,"['6,137,010', ' ']","['5,816,747', ' ']","['273,149', ' ']","['997,694', ' ']","['4,545,904', ' ']","['320,263', ' ']","['6,083,638', ' ']","['5,765,621', ' ']","['273,149', ' ']","['971,580', ' ']","['4,520,892', ' ']","['318,017', ' ']","['53,372', ' ']","['51,126', ' ']","['0', ' ']","['26,114', ' ']","['25,012', ' ']","['2,246', ' ']"
12492,r011,All DOD agencies -> Department of the Army -> Army Cyber Command,All DOD agencies,Department of the Army,Army Cyber Command,,,3,"['477,297', 'i']","['455,350', 'i']","['21,383', 'i']","['78,102', 'i']","['355,865', 'i']","['21,947', 'i']","['477,297', 'i']","['455,350', 'i']","['21,383', 'i']","['78,102', 'i']","['355,865', 'i']","['21,947', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
