table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materialsandsupplies,field_lease_andrental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
1378,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['374,685', '  ']","['214,959', '  ']","['21,644', '  ']","['16,704', '  ']","['5,584', '  ']","['26,696', '  ']","['6,100', '  ']","['13,674', '  ']","['1,928', '  ']","['10,196', '  ']","['57,200', ' ']"
1378,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['250,553', '  ']","['137,103', '  ']","['9,666', '  ']","['10,045', '  ']","['3,802', '  ']","['23,040', '  ']","['3,556', '  ']","['10,138', '  ']","['1,660', '  ']","['6,705', '  ']","['44,838', ' ']"
1378,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,828', '  ']","['2,942', 'i ']","['93', 'i ']","['131', 'i ']","['30', 'i ']","['404', 'i ']","['61', '  ']","['225', 'i ']","['166', 'i ']","['256', 'i ']","['521', ' ']"
1378,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['D', '  ']","['D', '  ']","['16', '  ']","['48', '  ']","['7', '  ']","['78', '  ']","['11', '  ']","['55', '  ']","['0', '  ']","['18', '  ']","['D', '&nbsp;']"
1378,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['1,166', 'i ']","['771', 'i ']","['29', 'i ']","['53', 'i ']","['2', 'i ']","['118', 'i ']","['3', 'i ']","['23', 'i ']","['1', 'i ']","['55', 'i ']","['109', 'i']"
1378,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['188', '  ']","['136', '  ']","['D', '&nbsp;']","['11', '  ']","['2', '  ']","['24', '  ']","['D', '  ']","['3', '  ']","['*', 'i ']","['2', '  ']","['D', ' ']"
1378,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['851', '  ']","['D', '&nbsp;']","['*', 'i ']","['D', '&nbsp;']","['35', 'i ']","['346', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['1', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
1378,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['219', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['10', '  ']","['D', '  ']","['10', 'i ']","['D', '&nbsp;']","['*', '  ']","['*', '  ']","['D', '&nbsp;']"
1378,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['381', '  ']","['251', '  ']","['*', '  ']","['8', '  ']","['D', '  ']","['D', '  ']","['2', '  ']","['D', '  ']","['1', '  ']","['D', '  ']","['D', ' ']"
1378,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['73,575', '  ']","['33,090', '  ']","['3,446', '  ']","['4,651', '  ']","['441', '  ']","['6,394', '  ']","['1,148', '  ']","['3,736', '  ']","['827', 'i ']","['1,713', '  ']","['18,128', ' ']"
1378,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,545', '  ']","['1,576', '  ']","['6', '  ']","['D', '  ']","['49', '  ']","['233', '  ']","['D', '  ']","['147', '  ']","['1', '  ']","['116', '  ']","['D', ' ']"
1378,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['711', '  ']","['D', '  ']","['D', '  ']","['43', '  ']","['D', '  ']","['D', '  ']","['15', '  ']","['D', '  ']","['1', '  ']","['D', '  ']","['D', ' ']"
1378,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['3', '  ']","['103', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['8', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
1378,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['64,628', '  ']","['27,812', '  ']","['3,411', '  ']","['4,238', '  ']","['360', '  ']","['5,771', '  ']","['983', '  ']","['3,246', '  ']","['817', 'i ']","['1,472', '  ']","['16,517', ' ']"
1378,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['2,800', '  ']","['1,625', '  ']","['14', '  ']","['126', '  ']","['6', '  ']","['158', '  ']","['24', '  ']","['D', '  ']","['*', '  ']","['14', '  ']","['D', ' ']"
1378,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '  ']","['1,016', '  ']","['4', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['46', '  ']","['D', '  ']","['1', '  ']","['16', '  ']","['D', ' ']"
1378,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,752', '  ']","['2,113', '  ']","['54', '  ']","['87', '  ']","['144', '  ']","['533', '  ']","['41', '  ']","['192', '  ']","['1', '  ']","['192', '  ']","['396', ' ']"
1378,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,289', '  ']","['801', '  ']","['1', '  ']","['46', '  ']","['6', '  ']","['92', '  ']","['9', '  ']","['76', '  ']","['1', '  ']","['13', '  ']","['244', ' ']"
1378,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['592', '  ']","['339', '  ']","['3', 'i ']","['8', '  ']","['1', '  ']","['116', '  ']","['3', 'i ']","['19', '  ']","['5', '  ']","['8', '  ']","['91', 'i']"
1378,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,239', '  ']","['1,408', '  ']","['20', '  ']","['D', '  ']","['31', '  ']","['292', '  ']","['21', '  ']","['38', '  ']","['12', '  ']","['30', '  ']","['D', ' ']"
1378,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['12,585', '  ']","['7,402', '  ']","['137', '  ']","['703', '  ']","['107', '  ']","['1,654', '  ']","['77', '  ']","['531', '  ']","['21', '  ']","['210', '  ']","['1,743', ' ']"
1378,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['1,565', '  ']","['874', '  ']","['*', '  ']","['116', '  ']","['16', '  ']","['253', '  ']","['6', '  ']","['46', '  ']","['2', '  ']","['7', '  ']","['244', ' ']"
1378,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['3,411', '  ']","['1,673', '  ']","['80', '  ']","['108', '  ']","['11', '  ']","['451', '  ']","['3', '  ']","['247', '  ']","['3', '  ']","['85', '  ']","['749', ' ']"
1378,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['1,959', '  ']","['1,181', '  ']","['1', '  ']","['295', '  ']","['*', '  ']","['211', 'i ']","['1', '  ']","['91', '  ']","['6', '  ']","['9', '  ']","['164', 'i']"
1378,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['5,650', '  ']","['3,674', '  ']","['56', 'i ']","['184', 'i ']","['79', '  ']","['739', '  ']","['67', '  ']","['146', '  ']","['9', 'i ']","['110', '  ']","['586', ' ']"
1378,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['77,385', '  ']","['47,344', '  ']","['5,488', '  ']","['1,891', '  ']","['1,418', '  ']","['4,641', '  ']","['1,526', '  ']","['3,716', '  ']","['421', '  ']","['2,752', '  ']","['8,188', ' ']"
1378,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['13,112', '  ']","['8,016', '  ']","['777', '  ']","['434', '  ']","['159', '  ']","['317', '  ']","['932', '  ']","['560', '  ']","['22', 'i ']","['621', 'i ']","['1,273', ' ']"
1378,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['31,391', '  ']","['20,208', 'i ']","['2,263', 'i ']","['660', '  ']","['345', '  ']","['1,569', 'i ']","['341', 'i ']","['1,691', 'i ']","['112', 'i ']","['1,062', '  ']","['3,142', 'i']"
1378,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['14,885', '  ']","['9,637', '  ']","['208', '  ']","['593', '  ']","['195', '  ']","['1,466', '  ']","['163', '  ']","['345', '  ']","['8', '  ']","['318', '  ']","['1,951', ' ']"
1378,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['2,632', '  ']","['1,557', 'i ']","['72', 'i ']","['87', 'i ']","['16', 'i ']","['216', '  ']","['33', '  ']","['81', 'i ']","['3', 'i ']","['97', '  ']","['470', ' ']"
1378,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['7,533', '  ']","['5,094', '  ']","['32', '  ']","['298', '  ']","['35', '  ']","['879', '  ']","['28', '  ']","['144', '  ']","['D', '  ']","['108', '  ']","['D', ' ']"
1378,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['4,720', '  ']","['2,986', '  ']","['105', '  ']","['208', '  ']","['145', '  ']","['372', '  ']","['102', '  ']","['119', '  ']","['D', '  ']","['113', '  ']","['D', ' ']"
1378,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['17,997', '  ']","['9,483', '  ']","['2,239', '  ']","['205', '  ']","['719', '  ']","['1,289', '  ']","['90', '  ']","['1,120', '  ']","['279', '  ']","['751', '  ']","['1,822', ' ']"
1378,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,771', '  ']","['3,183', '  ']","['32', '  ']","['201', '  ']","['40', '  ']","['317', '  ']","['66', '  ']","['125', '  ']","['4', '  ']","['81', '  ']","['722', ' ']"
