table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_hierarchy_depth,field_all_federal_obligations,field_computer_sciences_and_mathematics,field_environmental_sciences,field_life_sciences,field_physical_sciences,field_psychology,field_social_sciences,field_other_sciences_nec,field_engineering
6299,r001,Millions of dollars,Millions of dollars,,,1,,,,,,,,,
6299,r002,All agencies,All agencies,,,1,85305,5912,5039,42525,8420,3276,1137,5773,13222
6299,r003,All agencies -> Departments,All agencies,Departments,,2,,,,,,,,,
6299,r004,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,3,2388,7,18,1992,100,0.05,153,0,118
6299,r005,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,3,1361,171,484,90,263,0,47,41,265
6299,r006,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,3,8915,2599,386,1085,689,96,131,1105,2826
6299,r007,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,3,189,0,0,0,0,0,189,0,0
6299,r008,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,3,10525,1541,436,509,4474,0,0,383,3181
6299,r009,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,3,44234,338,547,35570,109,2956,248,1923,2543
6299,r010,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,3,225,14,8,71,28,0,0,27,78
6299,r011,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,3,698,3,461,213,1,0,9,1,12
6299,r012,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,3,85,5,1,12,6,2,51,5,2
6299,r013,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,3,5,0,0,0,0,0,5,0,0
6299,r014,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,3,30,0,0,28,0,0,2,0,0
6299,r015,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,3,900,37,35,8,3,18,2,73,726
6299,r016,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,3,50,0,0,0,49,0,0,0,0
6299,r017,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,3,1536,0,0,1231,0,167,0,70,68
6299,r018,All agencies -> Other agencies,All agencies,Other agencies,,2,,,,,,,,,
