table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramurala,field_extramural_industry,field_extramural_industry_administered_ffrdcs,field_extramural_universities_and_colleges,field_extramural_university_administered_ffrdcs,field_extramural_other_nonprofits,field_extramural_nonprofit_administered_ffrdcs,field_extramural_state_local_governments
3950,r016,Alaska -> Department of Commerce,Alaska,Department of Commerce,,2,8128.1,4624.3,0.0,0.0,2863.1,0.0,255.1,0.0,385.6
3950,r017,"Alaska -> Department of Defense, research",Alaska,"Department of Defense, research",,2,10732.4,0.0,1437.7,0.0,7794.7,0.0,1500.0,0.0,0.0
3950,r018,"Alaska -> Department of Defense, total experimental development<sup>b</sup>",Alaska,"Department of Defense, total experimental development<sup>b</sup>",,2,113451.3,37042.0,58086.4,0.0,913.7,0.0,0.0,0.0,17409.1
3950,r019,Alaska -> Department of Energy,Alaska,Department of Energy,,2,4809.7,0.0,0.0,0.0,4560.2,0.0,50.0,0.0,199.5
3950,r020,Alaska -> Department of Health and Human Services,Alaska,Department of Health and Human Services,,2,18841.1,677.7,1002.0,0.0,13795.2,0.0,1611.0,0.0,1755.2
3950,r021,Alaska -> Department of Homeland Security,Alaska,Department of Homeland Security,,2,4226.4,0.0,4226.4,0.0,0.0,0.0,0.0,0.0,0.0
3950,r022,Alaska -> Department of the Interior,Alaska,Department of the Interior,,2,84056.4,68013.8,2767.6,0.0,4532.4,0.0,167.5,0.0,8575.2
3950,r023,Alaska -> Department of Transportation,Alaska,Department of Transportation,,2,2908.9,0.0,127.8,0.0,1506.5,0.0,0.0,0.0,1274.6
3950,r024,Alaska -> National Aeronautics and Space Administration,Alaska,National Aeronautics and Space Administration,,2,18223.3,0.9,3493.7,0.0,14728.7,0.0,0.0,0.0,0.0
3950,r025,Alaska -> National Science Foundation,Alaska,National Science Foundation,,2,54723.1,0.0,437.0,0.0,51106.4,0.0,3123.2,0.0,56.5
3950,r026,Arizona,Arizona,,,1,2001235.9,143412.5,1331118.3,0.0,458738.0,0.0,55919.4,0.0,12047.8
3950,r027,Arizona -> Department of Agriculture,Arizona,Department of Agriculture,,2,31685.2,22115.4,18.6,0.0,8811.2,0.0,740.0,0.0,0.0
3950,r028,Arizona -> Department of Commerce,Arizona,Department of Commerce,,2,1762.5,0.0,37.0,0.0,1650.6,0.0,0.0,0.0,75.0
3950,r029,"Arizona -> Department of Defense, research",Arizona,"Department of Defense, research",,2,96456.8,3789.4,48573.4,0.0,43793.9,0.0,300.1,0.0,0.0
3950,r030,"Arizona -> Department of Defense, total experimental development<sup>b</sup>",Arizona,"Department of Defense, total experimental development<sup>b</sup>",,2,1319589.0,80869.9,1226623.1,0.0,3965.1,0.0,0.0,0.0,8130.9
