table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
10691,r001,All detailed fields,All detailed fields,,,,,1,798534,48.4,501311,49.8,297223,46.0,62750,42.6,32279,42.6
10691,r002,All detailed fields -> Science,All detailed fields,Science,,,,2,538166,50.6,331983,51.0,206183,49.8,36673,42.1,19423,42.0
10691,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,,3,11596,59.3,6949,62.0,4647,55.3,1705,45.0,1068,49.0
10691,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,,4,10310,58.1,6165,60.3,4145,54.8,1201,41.0,755,46.4
10691,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,,4,1286,69.1,784,75.3,502,59.6,504,54.4,313,55.3
10691,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,,3,102700,61.9,43062,66.9,59638,58.3,19585,46.5,8207,46.8
10691,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,,4,5905,53.7,911,58.4,4994,52.9,1756,41.3,843,40.2
10691,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,,4,15569,61.3,7969,64.2,7600,58.2,2064,45.3,754,48.0
10691,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,,4,10836,64.9,5681,69.2,5155,60.2,1553,50.4,571,45.4
10691,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,,4,895,41.6,8,37.5,887,41.6,126,42.9,79,30.4
10691,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,,4,7651,52.7,3852,58.0,3799,47.3,691,43.1,357,47.1
10691,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,,4,4021,61.9,3916,61.9,105,61.9,155,38.1,87,42.5
10691,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,,4,1670,55.7,369,57.7,1301,55.2,507,44.2,218,45.4
