table_id,row_id,_b_degree_b_full_path,_b_degree_b_level_1,_b_degree_b_level_2,_b_degree_b_hierarchy_depth,field_degree_title,field_2017_number,field_2017_percent,field_2018_number,field_2018_percent,field_2019_number,field_2019_percent,field_2020_number,field_2020_percent,field_2021_number,field_2021_percent
7617,r001,All research doctorates ,All research doctorates ,,1,,54552,100.0,55080,100.0,55609,100.0,55224,100.0,52250,100.0
7617,r002,All research doctorates  -> PhD ,All research doctorates ,PhD ,2,Doctor of Philosophy ,53471,98.0,54131,98.3,54707,98.4,54268,98.3,51435,98.4
7617,r003,All research doctorates  -> EdD ,All research doctorates ,EdD ,2,Doctor of Education ,589,1.1,571,1.0,473,0.9,487,0.9,475,0.9
7617,r004,"All research doctorates  -> DSc, ScD",All research doctorates ,"DSc, ScD",2,Doctor of Science ,109,0.2,92,0.2,92,0.2,68,0.1,29,0.1
7617,r005,"All research doctorates  -> DEng, DESc, DES",All research doctorates ,"DEng, DESc, DES",2,Doctor of Engineering or Engineering Science,28,0.1,21,0.05,43,0.1,55,0.1,21,0.05
7617,r006,All research doctorates  -> DA ,All research doctorates ,DA ,2,Doctor of Arts ,4,0.05,5,0.05,1,0.05,1,0.05,0,0.0
7617,r007,All research doctorates  -> DBA ,All research doctorates ,DBA ,2,Doctor of Business Administration ,32,0.1,24,0.05,17,0.05,22,0.05,13,0.05
7617,r008,All research doctorates  -> DMA ,All research doctorates ,DMA ,2,Doctor of Musical Arts ,139,0.3,116,0.2,115,0.2,170,0.3,156,0.3
7617,r009,All research doctorates  -> DDes ,All research doctorates ,DDes ,2,Doctor of Design ,7,0.05,9,0.05,8,0.05,8,0.05,13,0.05
7617,r010,All research doctorates  -> DPH ,All research doctorates ,DPH ,2,Doctor of Public Health ,53,0.1,41,0.1,37,0.1,38,0.1,34,0.1
7617,r011,All research doctorates  -> DHL ,All research doctorates ,DHL ,2,Doctor of Hebrew Letters ,0,0.0,0,0.0,1,0.05,1,0.05,0,0.0
7617,r012,All research doctorates  -> DME ,All research doctorates ,DME ,2,Doctor of Music Education ,3,0.05,0,0.0,1,0.05,2,0.05,2,0.05
7617,r013,All research doctorates  -> DML ,All research doctorates ,DML ,2,Doctor of Modern Languages ,6,0.05,4,0.05,6,0.05,5,0.05,1,0.05
7617,r014,All research doctorates  -> DNSc ,All research doctorates ,DNSc ,2,Doctor of Nursing Science ,10,0.05,0,0.0,2,0.05,5,0.05,0,0.0
7617,r015,All research doctorates  -> ThD ,All research doctorates ,ThD ,2,Doctor of Theology ,23,0.05,11,0.05,11,0.05,3,0.05,7,0.05
7617,r016,All research doctorates  -> DFA ,All research doctorates ,DFA ,2,Doctor of Fine Arts ,4,0.05,3,0.05,2,0.05,1,0.05,5,0.05
7617,r017,"All research doctorates  -> JSD, SJD",All research doctorates ,"JSD, SJD",2,Doctor of Juridical Science ,67,0.1,50,0.1,91,0.2,84,0.2,55,0.1
7617,r018,All research doctorates  -> STD ,All research doctorates ,STD ,2,Doctor of Sacred Theology ,1,0.05,0,0.0,1,0.05,2,0.05,2,0.05
7617,r019,All research doctorates  -> JCD ,All research doctorates ,JCD ,2,Doctor of Canon Law,6,0.05,2,0.05,1,0.05,4,0.05,2,0.05
