table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_level_4,debt_level_hierarchy_depth,field_total,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
971,r001,Cumulative debt,Cumulative debt,,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
971,r002,Cumulative debt -> Mean,Cumulative debt,Mean,,,2,"['$23,132', '']","['$20,700', '']","['$13,611', '']","['$10,156', '']","['$35,522', '']","['$11,071', '']","['$40,709', '']","['$30,803', '']","['$31,915', '']"
971,r003,Cumulative debt -> Mean -> ,Cumulative debt,Mean,,,3,"['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']"
971,r004,Cumulative debt -> No debt,Cumulative debt,No debt,,,2,"['27,583', '55.7']","['6,499', '55.6']","['3,573', '63.2']","['2,575', '73.7']","['3,505', '43.7']","['6,268', '70.1']","['1,710', '39.5']","['2,118', '44.5']","['1,335', '49.9']"
971,r005,"Cumulative debt -> $10,000 or less",Cumulative debt,"$10,000 or less",,,2,"['4,197', '8.5']","['1,089', '9.3']","['488', '8.6']","['253', '7.2']","['623', '7.8']","['805', '9.0']","['342', '7.9']","['422', '8.9']","['175', '6.5']"
971,r006,"Cumulative debt -> $10,001&#8211;$20,000",Cumulative debt,"$10,001&#8211;$20,000",,,2,"['3,135', '6.3']","['845', '7.2']","['404', '7.1']","['177', '5.1']","['540', '6.7']","['441', '4.9']","['227', '5.2']","['359', '7.5']","['142', '5.3']"
971,r007,"Cumulative debt -> $20,001&#8211;$30,000",Cumulative debt,"$20,001&#8211;$30,000",,,2,"['2,616', '5.3']","['662', '5.7']","['337', '6.0']","['127', '3.6']","['435', '5.4']","['376', '4.2']","['236', '5.5']","['340', '7.1']","['103', '3.9']"
971,r008,"Cumulative debt -> $30,001&#8211;$40,000",Cumulative debt,"$30,001&#8211;$40,000",,,2,"['1,726', '3.5']","['451', '3.9']","['200', '3.5']","['65', '1.9']","['330', '4.1']","['203', '2.3']","['179', '4.1']","['208', '4.4']","['90', '3.4']"
971,r009,"Cumulative debt -> $40,001&#8211;$50,000",Cumulative debt,"$40,001&#8211;$50,000",,,2,"['1,400', '2.8']","['330', '2.8']","['137', '2.4']","['49', '1.4']","['278', '3.5']","['163', '1.8']","['174', '4.0']","['158', '3.3']","['111', '4.2']"
971,r010,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",,,2,"['1,123', '2.3']","['243', '2.1']","['102', '1.8']","['42', '1.2']","['245', '3.1']","['113', '1.3']","['164', '3.8']","['135', '2.8']","['79', '3.0']"
971,r011,"Cumulative debt -> $60,001&#8211;$70,000",Cumulative debt,"$60,001&#8211;$70,000",,,2,"['1,003', '2.0']","['226', '1.9']","['88', '1.6']","['31', '0.9']","['233', '2.9']","['103', '1.2']","['111', '2.6']","['139', '2.9']","['72', '2.7']"
971,r012,"Cumulative debt -> $70,001&#8211;$80,000",Cumulative debt,"$70,001&#8211;$80,000",,,2,"['814', '1.6']","['171', '1.5']","['64', '1.1']","['29', '0.8']","['188', '2.3']","['76', '0.8']","['114', '2.6']","['107', '2.2']","['65', '2.4']"
971,r013,"Cumulative debt -> $80,001&#8211;$90,000",Cumulative debt,"$80,001&#8211;$90,000",,,2,"['965', '1.9']","['213', '1.8']","['63', '1.1']","['31', '0.9']","['205', '2.6']","['88', '1.0']","['153', '3.5']","['123', '2.6']","['89', '3.3']"
971,r014,"Cumulative debt -> $90,001 or more",Cumulative debt,"$90,001 or more",,,2,"['4,999', '10.1']","['952', '8.1']","['197', '3.5']","['116', '3.3']","['1,447', '18.0']","['311', '3.5']","['915', '21.2']","['648', '13.6']","['413', '15.4']"
971,r015,Cumulative debt -> Total,Cumulative debt,Total,,,2,"['49,561', '100.0']","['11,681', '100.0']","['5,653', '100.0']","['3,495', '100.0']","['8,029', '100.0']","['8,947', '100.0']","['4,325', '100.0']","['4,757', '100.0']","['2,674', '100.0']"
971,r016,Cumulative debt -> Graduate debt,Cumulative debt,Graduate debt,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
971,r017,Cumulative debt -> Graduate debt -> Mean,Cumulative debt,Graduate debt,Mean,,3,"['$14,789', '']","['$11,695', '']","['$5,302', '']","['$6,022', '']","['$24,872', '']","['$6,050', '']","['$29,419', '']","['$21,223', '']","['$23,782', '']"
971,r018,Cumulative debt -> Graduate debt -> Mean -> ,Cumulative debt,Graduate debt,Mean,,4,"['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']"
971,r019,Cumulative debt -> Graduate debt -> No debt,Cumulative debt,Graduate debt,No debt,,3,"['32,647', '66.2']","['8,205', '70.6']","['4,586', '81.5']","['2,839', '81.9']","['4,079', '51.0']","['7,075', '79.4']","['1,891', '44.0']","['2,538', '53.7']","['1,434', '54.1']"
971,r020,"Cumulative debt -> Graduate debt -> $10,000 or less",Cumulative debt,Graduate debt,"$10,000 or less",,3,"['3,804', '7.7']","['914', '7.9']","['396', '7.0']","['216', '6.2']","['645', '8.1']","['682', '7.7']","['341', '7.9']","['443', '9.4']","['167', '6.3']"
971,r021,"Cumulative debt -> Graduate debt -> $10,001&#8211;$20,000",Cumulative debt,Graduate debt,"$10,001&#8211;$20,000",,3,"['2,204', '4.5']","['484', '4.2']","['181', '3.2']","['102', '2.9']","['467', '5.8']","['336', '3.8']","['237', '5.5']","['260', '5.5']","['137', '5.2']"
971,r022,"Cumulative debt -> Graduate debt -> $20,001&#8211;$30,000",Cumulative debt,Graduate debt,"$20,001&#8211;$30,000",,3,"['1,703', '3.5']","['338', '2.9']","['117', '2.1']","['74', '2.1']","['378', '4.7']","['189', '2.1']","['243', '5.7']","['248', '5.2']","['116', '4.4']"
971,r023,"Cumulative debt -> Graduate debt -> $30,001&#8211;$40,000",Cumulative debt,Graduate debt,"$30,001&#8211;$40,000",,3,"['1,262', '2.6']","['280', '2.4']","['77', '1.4']","['34', '1.0']","['285', '3.6']","['127', '1.4']","['198', '4.6']","['171', '3.6']","['90', '3.4']"
971,r024,"Cumulative debt -> Graduate debt -> $40,001&#8211;$50,000",Cumulative debt,Graduate debt,"$40,001&#8211;$50,000",,3,"['1,071', '2.2']","['238', '2.0']","['53', '0.9']","['27', '0.8']","['248', '3.1']","['101', '1.1']","['157', '3.7']","['145', '3.1']","['102', '3.8']"
