table_id,row_id,subfield_of_study_full_path,subfield_of_study_level_1,subfield_of_study_level_2,subfield_of_study_level_3,subfield_of_study_level_4,subfield_of_study_level_5,subfield_of_study_hierarchy_depth,field_all_doctorate_recipientsa,field_temporary_visa_holders,field_u_s_citizens_and_permanent_residents_total,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
967,r001,All fields,All fields,,,,,1,54664,16323,35791,2540,109,3502,2409,24880,1016,471,864
967,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,12592,3329,8857,606,25,1014,577,6059,286,107,183
967,r003,All fields -> Life sciences -> Agricultural sciences and natural resources ,All fields,Life sciences,Agricultural sciences and natural resources ,,,3,1606,627,902,49,2,62,41,674,19,13,42
967,r004,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources ,Agricultural economics,,4,144,91,50,2,0,4,3,38,0,0,3
967,r005,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",All fields,Life sciences,Agricultural sciences and natural resources ,"Agronomy, horticulture science, plant breeding, plant pathology, plant sciences-other",,4,368,157,202,11,1,17,5,150,5,0,13
967,r006,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Animal nutrition, poultry science",All fields,Life sciences,Agricultural sciences and natural resources ,"Animal nutrition, poultry science",,4,51,20,30,4,0,0,1,24,0,0,1
967,r007,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,"Animal sciences, other",,4,105,36,67,3,0,2,1,55,3,0,3
967,r008,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Environmental science,All fields,Life sciences,Agricultural sciences and natural resources ,Environmental science,,4,222,69,128,7,0,12,9,95,2,1,2
967,r009,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Fishing and fisheries sciences and management,All fields,Life sciences,Agricultural sciences and natural resources ,Fishing and fisheries sciences and management,,4,69,16,49,2,0,1,5,36,2,1,2
967,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Food science, food technology-other",All fields,Life sciences,Agricultural sciences and natural resources ,"Food science, food technology-other",,4,177,102,67,6,0,6,8,43,0,0,4
967,r011,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Forest biology, forest management, wood science, forestry sciences- other",All fields,Life sciences,Agricultural sciences and natural resources ,"Forest biology, forest management, wood science, forestry sciences- other",,4,165,49,101,1,1,10,5,66,1,9,8
967,r012,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resource and environmental policy,All fields,Life sciences,Agricultural sciences and natural resources ,Natural resource and environmental policy,,4,54,8,46,2,0,2,1,37,2,0,2
967,r013,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Natural resources and conservation, wildlife and range management",All fields,Life sciences,Agricultural sciences and natural resources ,"Natural resources and conservation, wildlife and range management",,4,82,26,55,4,0,0,2,48,1,0,0
967,r014,All fields -> Life sciences -> Agricultural sciences and natural resources  -> Soil chemistry and microbiology,All fields,Life sciences,Agricultural sciences and natural resources ,Soil chemistry and microbiology,,4,43,7,32,2,0,2,1,22,0,1,4
967,r015,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Soil sciences, other",All fields,Life sciences,Agricultural sciences and natural resources ,"Soil sciences, other",,4,52,24,28,1,0,3,0,22,2,0,0
967,r016,"All fields -> Life sciences -> Agricultural sciences and natural resources  -> Agricultural sciences, aggregated",All fields,Life sciences,Agricultural sciences and natural resources ,"Agricultural sciences, aggregated",,4,74,22,47,4,0,3,0,38,1,1,0
967,r017,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,,,3,8477,2163,6082,441,14,770,297,4190,207,65,98
967,r018,"All fields -> Life sciences -> Biological and biomedical sciences -> Anatomy, developmental biology",All fields,Life sciences,Biological and biomedical sciences,"Anatomy, developmental biology",,4,139,38,96,17,0,15,3,58,2,1,0
967,r019,"All fields -> Life sciences -> Biological and biomedical sciences -> Bacteriology, parasitology, and virology",All fields,Life sciences,Biological and biomedical sciences,"Bacteriology, parasitology, and virology",,4,138,31,107,3,2,6,4,83,5,1,3
967,r020,All fields -> Life sciences -> Biological and biomedical sciences -> Biochemistry (biological sciences),All fields,Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),,4,815,263,531,46,1,73,23,350,19,9,10
