table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_total
9809,r001,All states,All states,,1,"['885,830,860', '  ']"
9809,r002,All states -> Alabama,All states,Alabama,2,"['1,296,873', '  ']"
9809,r003,All states -> Alaska,All states,Alaska,2,"['1,417,381', '  ']"
9809,r004,All states -> Arizona,All states,Arizona,2,"['22,406,332', '  ']"
9809,r005,All states -> Arkansas,All states,Arkansas,2,"['1,483,162', 'i ']"
9809,r006,All states -> California,All states,California,2,"['159,059,670', '  ']"
9809,r007,All states -> Colorado,All states,Colorado,2,"['25,586,656', '  ']"
9809,r008,All states -> Connecticut,All states,Connecticut,2,"['4,645,251', '  ']"
9809,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']"
9809,r010,All states -> District of Columbia,All states,District of Columbia,2,"['6,974,472', '  ']"
9809,r011,All states -> Florida,All states,Florida,2,"['32,600,107', '  ']"
9809,r012,All states -> Georgia,All states,Georgia,2,"['12,393,273', '  ']"
9809,r013,All states -> Hawaii,All states,Hawaii,2,"['2,816,248', '  ']"
9809,r014,All states -> Idaho,All states,Idaho,2,"['4,665,921', '  ']"
9809,r015,All states -> Illinois,All states,Illinois,2,"['30,612,416', '  ']"
9809,r016,All states -> Indiana,All states,Indiana,2,"['7,699,728', '  ']"
9809,r017,All states -> Iowa,All states,Iowa,2,"['765,587', '  ']"
9809,r018,All states -> Kansas,All states,Kansas,2,"['509,109', '  ']"
9809,r019,All states -> Kentucky,All states,Kentucky,2,"['2,444,136', '  ']"
9809,r020,All states -> Louisiana,All states,Louisiana,2,"['2,213,572', '  ']"
9809,r021,All states -> Maine,All states,Maine,2,"['4,940,974', '  ']"
9809,r022,All states -> Maryland,All states,Maryland,2,"['7,041,992', '  ']"
9809,r023,All states -> Massachusetts,All states,Massachusetts,2,"['62,709,773', '  ']"
9809,r024,All states -> Michigan,All states,Michigan,2,"['37,348,598', '  ']"
9809,r025,All states -> Minnesota,All states,Minnesota,2,"['36,214,865', '  ']"
9809,r026,All states -> Mississippi,All states,Mississippi,2,"['49,560', '  ']"
9809,r027,All states -> Missouri,All states,Missouri,2,"['4,787,144', '  ']"
9809,r028,All states -> Montana,All states,Montana,2,"['749,766', '  ']"
9809,r029,All states -> Nebraska,All states,Nebraska,2,"['1,251,023', '  ']"
9809,r030,All states -> Nevada,All states,Nevada,2,"['1,866,690', '  ']"
9809,r031,All states -> New Hampshire,All states,New Hampshire,2,"['S', '  ']"
9809,r032,All states -> New Jersey,All states,New Jersey,2,"['21,553,621', '  ']"
9809,r033,All states -> New Mexico,All states,New Mexico,2,"['88,398', '  ']"
9809,r034,All states -> New York,All states,New York,2,"['56,300,245', '  ']"
9809,r035,All states -> North Carolina,All states,North Carolina,2,"['5,555,302', '  ']"
9809,r036,All states -> North Dakota,All states,North Dakota,2,"['S', '  ']"
9809,r037,All states -> Ohio,All states,Ohio,2,"['36,281,705', '  ']"
9809,r038,All states -> Oklahoma,All states,Oklahoma,2,"['3,280,096', '  ']"
9809,r039,All states -> Oregon,All states,Oregon,2,"['3,301,428', '  ']"
9809,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['14,604,055', '  ']"
9809,r041,All states -> Rhode Island,All states,Rhode Island,2,"['797,769', '  ']"
9809,r042,All states -> South Carolina,All states,South Carolina,2,"['7,522,723', '  ']"
9809,r043,All states -> South Dakota,All states,South Dakota,2,"['32,377', '  ']"
9809,r044,All states -> Tennessee,All states,Tennessee,2,"['16,535,234', '  ']"
9809,r045,All states -> Texas,All states,Texas,2,"['30,445,180', '  ']"
9809,r046,All states -> Utah,All states,Utah,2,"['8,771,657', '  ']"
9809,r047,All states -> Vermont,All states,Vermont,2,"['281,106', '  ']"
9809,r048,All states -> Virginia,All states,Virginia,2,"['23,175,381', '  ']"
9809,r049,All states -> Washington,All states,Washington,2,"['50,026,534', '  ']"
9809,r050,All states -> West Virginia,All states,West Virginia,2,"['27,343', '  ']"
9809,r051,All states -> Wisconsin,All states,Wisconsin,2,"['128,148,456', '  ']"
9809,r052,All states -> Wyoming,All states,Wyoming,2,"['15,070', '  ']"
