table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5535,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,81874,79584,78704,-2.8,-1.1
5535,r002,"R&D and R&D plant -> Department of Defense, military (051)",R&D and R&D plant,"Department of Defense, military (051)",,,,,2,74105,71662,70974,-3.3,-1.0
5535,r003,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup>",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,,,,3,68679,68189,69089,-0.7,1.3
5535,r004,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,,,4,20221,19049,18642,-5.8,-2.1
5535,r005,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Defense Advanced Research Projects Agency,,5,3571,3500,3529,-2.0,0.8
5535,r006,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Missile Defense Agency,,5,8142,7855,7161,-3.5,-8.8
5535,r007,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Other defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Other defense agencies,,5,8507,7693,7952,-9.6,3.4
5535,r008,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Air Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Air Force,,,4,21732,15855,17061,-27.0,7.6
5535,r009,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Space Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Space Force,,,4,na,5605,5527,-,-1.4
5535,r010,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Army",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Army,,,4,11033,12371,11301,12.1,-8.7
5535,r011,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Navy",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Navy,,,4,15464,15051,16342,-2.7,8.6
5535,r012,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Operational Test and Evaluation",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Operational Test and Evaluation,,,4,228,257,217,12.9,-15.8
5535,r013,"R&D and R&D plant -> Department of Defense, military (051) -> Other military funding<sup>b</sup>",R&D and R&D plant,"Department of Defense, military (051)",Other military funding<sup>b</sup>,,,,3,5427,3474,1886,-36.0,-45.7
5535,r014,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053)",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",,,,,2,7752,7910,7724,2.0,-2.4
