table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
3163,r001,All institutions,All institutions,,1,-,"['679,395', '']","['700,329', '']","['750,544', '']","['769,722', '']","['444,294', '']","['437,036', '']","['456,808', '']","['466,937', '']"
3163,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['55,510', 'i']","['59,511', 'i']","['78,432', 'i']","['85,874', 'i']","['53,795', '']","['57,633', '']","['73,899', '']","['83,057', '']"
3163,r003,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,2,"['34,141', '']","['16,451', '']","['19,251', '']","['25,057', '']","['29,484', '']","['12,108', '']","['15,494', '']","['16,418', '']"
3163,r004,All institutions -> Harvard U.,All institutions,Harvard U.,2,3,"['11,866', '']","['20,679', '']","['22,908', '']","['22,127', '']","['8,433', '']","['17,272', '']","['19,223', '']","['18,465', '']"
3163,r005,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,4,"['18,514', '']","['23,331', '']","['22,075', '']","['20,358', '']","['5,261', '']","['7,405', '']","['6,720', '']","['7,403', '']"
3163,r006,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,5,"['23,522', '']","['21,909', '']","['21,722', '']","['20,296', '']","['13,032', '']","['12,110', '']","['13,083', '']","['12,331', '']"
3163,r007,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,6,"['18,405', '']","['20,517', '']","['18,306', '']","['18,478', '']","['7,138', '']","['7,262', '']","['5,839', '']","['5,874', '']"
3163,r008,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,7,"['9,373', '']","['11,704', '']","['14,581', '']","['17,222', '']","['4,822', '']","['4,402', '']","['6,550', '']","['7,122', '']"
3163,r009,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,8,"['12,770', '']","['16,481', '']","['17,694', '']","['16,551', '']","['5,995', '']","['8,461', '']","['9,141', '']","['7,940', '']"
3163,r010,All institutions -> Brown U.,All institutions,Brown U.,2,9,"['18,807', '']","['14,427', '']","['12,107', '']","['13,225', '']","['11,818', '']","['11,580', '']","['9,140', '']","['9,615', '']"
3163,r011,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,10,"['11,456', '']","['10,573', '']","['13,200', '']","['13,118', '']","['9,893', '']","['9,283', '']","['10,906', '']","['10,515', '']"
3163,r012,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,11,"['7,447', '']","['11,321', '']","['9,308', '']","['12,385', '']","['4,866', '']","['5,466', '']","['3,523', '']","['3,402', '']"
3163,r013,All institutions -> New York U.,All institutions,New York U.,2,12,"['10,101', '']","['9,950', '']","['10,475', '']","['12,002', '']","['7,918', '']","['6,833', '']","['6,697', '']","['7,105', '']"
3163,r014,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,13,"['9,399', '']","['7,671', '']","['9,888', '']","['11,774', '']","['6,889', '']","['5,309', '']","['5,840', '']","['6,786', '']"
3163,r015,All institutions -> Princeton U.,All institutions,Princeton U.,2,14,"['10,166', '']","['9,915', '']","['11,313', '']","['11,703', '']","['5,539', '']","['5,032', '']","['4,687', '']","['5,639', '']"
3163,r016,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,15,"['9,830', '']","['10,342', '']","['12,008', '']","['11,394', '']","['5,122', '']","['5,083', '']","['5,577', '']","['5,481', '']"
3163,r017,All institutions -> Duke U.,All institutions,Duke U.,2,16,"['10,238', '']","['9,306', '']","['9,766', '']","['10,319', '']","['8,478', '']","['7,491', '']","['7,684', '']","['7,549', '']"
3163,r018,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,17,"['9,804', '']","['7,464', '']","['7,847', '']","['9,822', '']","['6,769', '']","['5,412', '']","['5,659', '']","['6,349', '']"
3163,r019,All institutions -> Rice U.,All institutions,Rice U.,2,18,"['6,687', '']","['8,903', '']","['9,435', '']","['9,477', '']","['3,410', '']","['4,113', '']","['4,338', '']","['4,099', '']"
3163,r020,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,19,"['16,687', '']","['14,386', '']","['14,362', '']","['9,036', '']","['10,895', '']","['11,017', '']","['10,979', '']","['7,363', '']"
3163,r021,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,20,"['10,737', '']","['8,882', '']","['9,201', '']","['8,700', '']","['6,269', '']","['5,827', '']","['5,839', '']","['5,726', '']"
3163,r022,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,21,"['7,496', '']","['6,402', '']","['8,376', '']","['8,177', '']","['5,760', '']","['4,826', '']","['5,815', '']","['5,689', '']"
3163,r023,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,22,"['7,185', '']","['7,108', '']","['7,543', '']","['8,058', '']","['2,996', '']","['3,167', '']","['3,375', '']","['4,042', '']"
3163,r024,All institutions -> U. Georgia,All institutions,U. Georgia,2,23,"['6,500', '']","['8,027', '']","['6,745', '']","['7,666', '']","['2,067', '']","['3,207', '']","['1,817', '']","['2,301', '']"
3163,r025,All institutions -> Old Dominion U.,All institutions,Old Dominion U.,2,24,"['4,616', '']","['4,323', '']","['3,994', '']","['7,507', '']","['3,674', '']","['3,123', '']","['3,205', '']","['4,318', '']"
3163,r026,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,25,"['6,173', '']","['7,373', '']","['5,975', '']","['7,432', '']","['3,171', '']","['2,772', '']","['2,308', '']","['3,193', '']"
3163,r027,All institutions -> U. Chicago,All institutions,U. Chicago,2,26,"['6,098', '']","['7,564', '']","['7,414', '']","['6,987', '']","['5,295', '']","['6,326', '']","['6,083', '']","['5,781', '']"
3163,r028,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,27,"['8,150', '']","['7,463', '']","['7,467', '']","['6,652', '']","['4,842', '']","['4,547', '']","['4,957', '']","['4,756', '']"
3163,r029,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,28,"['6,342', '']","['6,583', '']","['7,130', '']","['6,415', '']","['5,417', '']","['5,470', '']","['5,601', '']","['5,053', '']"
3163,r030,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,29,"['6,950', '']","['5,983', '']","['5,825', '']","['6,405', '']","['4,547', '']","['4,086', '']","['3,249', '']","['3,592', '']"
3163,r031,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,30,"['5,394', '']","['5,915', '']","['6,571', '']","['6,367', '']","['3,143', '']","['3,797', '']","['3,611', '']","['2,914', '']"
3163,r032,All institutions -> Florida State U.,All institutions,Florida State U.,2,31,"['4,745', '']","['4,685', '']","['5,542', '']","['6,202', '']","['1,574', '']","['1,883', '']","['1,920', '']","['1,515', '']"
3163,r033,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,32,"['6,088', '']","['6,415', '']","['5,678', '']","['6,102', '']","['5,698', '']","['6,007', '']","['5,102', '']","['5,346', '']"
3163,r034,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,33,"['3,523', '']","['4,600', '']","['5,841', '']","['5,725', '']","['2,882', '']","['3,543', '']","['3,903', '']","['4,347', '']"
3163,r035,All institutions -> U. Notre Dame,All institutions,U. Notre Dame,2,34,"['4,419', '']","['4,343', '']","['4,930', '']","['5,663', '']","['2,816', '']","['2,418', '']","['2,980', '']","['3,129', '']"
3163,r036,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,35,"['5,008', '']","['5,328', '']","['4,478', '']","['5,466', '']","['3,655', '']","['3,662', '']","['2,585', '']","['2,624', '']"
