table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
3519,r001,All detailed fields,All detailed fields,,,,1,690117,47.1,408228,49.6,281889,43.5,66247,40.9,30349,40.8
3519,r002,All detailed fields -> Science,All detailed fields,Science,,,2,453691,50.0,259795,51.7,193896,47.7,38503,40.1,18819,40.2
3519,r003,All detailed fields -> Science -> Agricultural sciences,All detailed fields,Science,Agricultural sciences,,3,9518,55.5,5629,57.8,3889,52.2,1079,42.4,645,43.9
3519,r004,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,91993,58.8,38078,63.8,53915,55.4,21847,44.5,8229,47.4
3519,r005,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5342,51.4,808,57.7,4534,50.2,1912,39.3,755,42.9
3519,r006,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15801,58.9,8635,62.3,7166,54.9,2203,43.4,766,45.8
3519,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,9820,59.8,5241,60.7,4579,58.7,1942,47.8,622,47.1
3519,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,897,36.8,7,42.9,890,36.7,164,34.1,36,25.0
3519,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,6228,50.9,3036,57.1,3192,45.0,721,38.6,400,48.0
3519,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3255,62.0,3157,61.8,98,67.3,87,33.3,91,46.2
3519,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,1687,51.5,392,54.3,1295,50.7,667,41.5,314,43.3
3519,r012,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,5902,56.1,927,59.4,4975,55.4,1785,43.6,579,46.8
3519,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,3510,58.5,939,63.4,2571,56.8,414,44.4,183,44.3
3519,r014,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,4692,70.6,2776,70.5,1916,70.7,285,60.4,99,59.6
3519,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,2663,62.4,581,80.9,2082,57.2,1472,44.2,501,43.9
3519,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,5307,59.3,1370,66.8,3937,56.7,1985,49.0,764,51.3
3519,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,1531,55.7,378,61.6,1153,53.8,570,40.7,233,36.9
3519,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,5500,55.9,362,65.2,5138,55.3,2216,45.0,726,49.4
3519,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,4,3333,84.9,2385,87.7,948,77.7,192,60.4,136,58.8
3519,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,930,60.1,87,79.3,843,58.1,1302,43.2,422,56.6
3519,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,3074,60.1,923,67.1,2151,57.0,1021,44.2,377,46.9
3519,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,4,5297,55.4,2594,57.7,2703,53.2,1640,46.8,723,49.5
3519,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,4,2089,55.3,891,59.0,1198,52.6,406,44.3,168,42.9
3519,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,5135,60.0,2589,61.3,2546,58.6,863,44.6,334,47.9
3519,r025,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,3,101284,31.1,84092,32.1,17192,26.3,878,21.4,510,23.9
3519,r026,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,4,33274,27.1,24628,28.3,8646,23.7,487,18.9,274,20.8
3519,r027,"All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences, general",All detailed fields,Science,Computer and information sciences,"Computer and information sciences, general",4,40650,29.5,33698,30.3,6952,25.7,263,21.7,137,27.7
