table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_intramural_r_d_expenditures,field_type_of_r_d_basic_research,field_type_of_r_d_applied_research,field_type_of_r_d_experimental_development
7684,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,673691209,119427378,505569152,48694679
7684,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,17295499,10118765,1418477,5758257
7684,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,13677498,278100,9361400,4037998
7684,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,3522494,610954,2911540,0
7684,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,170429,0,170429,0
7684,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,81309690,1181742,74472361,5655587
7684,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,11957421,0,11790523,166898
7684,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,27217883,9304764,17603119,310000
7684,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,1894419,0,1894419,0
7684,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,3705656,2502492,1063799,139365
7684,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,50793339,1358100,49274126,161113
7684,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,2016590,300000,1171752,544838
7684,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,2311413,0,123148,2188265
7684,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,7124769,11367,7113402,0
7684,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,554067,0,110813,443254
7684,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,470344,260000,145344,65000
7684,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,3091936,0,3091936,0
7684,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,1294643,5489,1289154,0
7684,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,1946017,0,1946017,0
7684,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,9555840,4395958,5059882,100000
7684,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,10370488,5335257,4089910,945321
7684,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,878718,0,217655,661063
7684,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,1208652,473470,668345,66837
7684,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,237018,19546,217472,0
7684,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,2458490,0,2458490,0
7684,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,2005582,0,876630,1128952
7684,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,6455476,0,6455476,0
7684,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,2846129,0,2719739,126390
7684,r029,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,2128727,10000,2077727,41000
7684,r030,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,2,237064,0,237064,0
7684,r031,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,2,27186,0,11301,15885
7684,r032,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,2,3006539,154725,2452314,399500
7684,r033,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,2,1535533,0,608053,927480
7684,r034,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,2,259432614,69865591,185667839,3899184
7684,r035,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,2,17422714,2357049,15065665,0
7684,r036,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,2,294748,232829,61919,0
7684,r037,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,2,1808996,740712,1068284,0
7684,r038,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,2,2575950,635186,1332844,607920
7684,r039,United States<sup>a</sup> -> Oregon,United States<sup>a</sup>,Oregon,2,16083800,3509204,8904760,3669836
7684,r040,United States<sup>a</sup> -> Pennsylvania,United States<sup>a</sup>,Pennsylvania,2,8172000,3240,557531,7611229
7684,r041,United States<sup>a</sup> -> Rhode Island,United States<sup>a</sup>,Rhode Island,2,8118721,67378,8051343,0
7684,r042,United States<sup>a</sup> -> South Carolina,United States<sup>a</sup>,South Carolina,2,27709617,1380007,25561855,767755
7684,r043,United States<sup>a</sup> -> South Dakota,United States<sup>a</sup>,South Dakota,2,359853,2500,354853,2500
7684,r044,United States<sup>a</sup> -> Tennessee,United States<sup>a</sup>,Tennessee,2,1289255,0,1289255,0
7684,r045,United States<sup>a</sup> -> Texas,United States<sup>a</sup>,Texas,2,2686856,350168,2336688,0
7684,r046,United States<sup>a</sup> -> Utah,United States<sup>a</sup>,Utah,2,5326711,5350,5321361,0
7684,r047,United States<sup>a</sup> -> Vermont,United States<sup>a</sup>,Vermont,2,596129,50306,372253,173570
7684,r048,United States<sup>a</sup> -> Virginia,United States<sup>a</sup>,Virginia,2,16624998,2223527,13409320,992151
7684,r049,United States<sup>a</sup> -> Washington,United States<sup>a</sup>,Washington,2,21349303,119585,14308872,6920846
7684,r050,United States<sup>a</sup> -> West Virginia,United States<sup>a</sup>,West Virginia,2,3378070,0,3211385,166685
7684,r051,United States<sup>a</sup> -> Wisconsin,United States<sup>a</sup>,Wisconsin,2,4401850,0,4401850,0
7684,r052,United States<sup>a</sup> -> Wyoming,United States<sup>a</sup>,Wyoming,2,2753475,1564017,1189458,0
