table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_hierarchy_depth,field_fy_2018,field_fy_2019,field__change
2375,r001,All R&D and R&D plant expenditures,All R&D and R&D plant expenditures,,,1,2542700,2437174,-4.2
2375,r002,All R&D plant expenditures,All R&D plant expenditures,,,1,13836,10291,-25.6
2375,r003,All R&D expenditures,All R&D expenditures,,,1,2537344,2426883,-4.4
2375,r004,All R&D expenditures -> Source of funds,All R&D expenditures,Source of funds,,2,,,
2375,r005,All R&D expenditures -> Source of funds -> Federal government,All R&D expenditures,Source of funds,Federal government,3,532150,560856,5.4
2375,r006,All R&D expenditures -> Source of funds -> State government and other nonfederal sources,All R&D expenditures,Source of funds,State government and other nonfederal sources,3,2005194,1866027,-6.9
2375,r007,Performer,Performer,,,1,,,
2375,r008,Performer -> Intramural<sup>a </sup>,Performer,Intramural<sup>a </sup>,,2,635483,676171,6.4
2375,r009,Performer -> Extramural,Performer,Extramural,,2,1901861,1750712,-7.9
2375,r010,Performer -> Extramural -> Higher education institutions,Performer,Extramural,Higher education institutions,3,1080933,1024317,-5.2
2375,r011,Performer -> Extramural -> Companies and individuals,Performer,Extramural,Companies and individuals,3,444100,438222,-1.3
2375,r012,Performer -> Extramural -> Other,Performer,Extramural,Other,3,376828,288173,-23.5
2375,r013,Intramural by type of R&D,Intramural by type of R&D,,,1,,,
2375,r014,Intramural by type of R&D -> Basic research,Intramural by type of R&D,Basic research,,2,110157,128919,17.0
2375,r015,Intramural by type of R&D -> Applied research,Intramural by type of R&D,Applied research,,2,502823,524336,4.3
2375,r016,Intramural by type of R&D -> Experimental development,Intramural by type of R&D,Experimental development,,2,22502,22916,1.8
2375,r017,R&D project by government function,R&D project by government function,,,1,,,
2375,r018,R&D project by government function -> Agriculture,R&D project by government function,Agriculture,,2,131385,136396,3.8
2375,r019,R&D project by government function -> Energy,R&D project by government function,Energy,,2,397037,323154,-18.6
2375,r020,R&D project by government function -> Environment and natural resources,R&D project by government function,Environment and natural resources,,2,422890,452270,6.9
2375,r021,R&D project by government function -> Health,R&D project by government function,Health,,2,1103232,1082056,-1.9
2375,r022,R&D project by government function -> Transportation,R&D project by government function,Transportation,,2,258419,260025,0.6
2375,r023,R&D project by government function -> Other<sup>b</sup>,R&D project by government function,Other<sup>b</sup>,,2,224383,172982,-22.9
