table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_sciences_and_mathematics,field_engineering,field_environmental_sciences,field_life_sciences,field_physical_sciences,field_psychology,field_social_sciences,field_other_sciences_nec
3942,r001,All agencies surveyed,All agencies surveyed,,,,,1,13077676.4,385120.2,1348776.6,209933.0,9545271.6,118031.4,759370.2,115801.9,595371.3
3942,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,,2,,,,,,,,,
3942,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,,3,558674.3,633.6,31507.9,6486.6,450764.3,10793.0,0.0,58488.8,0.0
3942,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,,4,50927.4,66.2,458.3,224.1,46787.0,3269.5,0.0,122.2,0.0
3942,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Economic Research Service,All agencies surveyed,Departments,Department of Agriculture,Economic Research Service,,4,3680.9,0.0,0.0,0.0,0.0,0.0,0.0,3680.9,0.0
3942,r006,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,,4,15163.2,314.0,1145.8,3320.1,7826.8,106.0,0.0,2450.5,0.0
3942,r007,All agencies surveyed -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies surveyed,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,253.4,253.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3942,r008,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,487536.9,0.0,29903.8,2942.4,396150.5,7417.5,0.0,51122.7,0.0
3942,r009,All agencies surveyed -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies surveyed,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,1112.5,0.0,0.0,0.0,0.0,0.0,0.0,1112.5,0.0
3942,r010,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,,3,788048.4,222186.8,214062.5,39795.1,101373.1,30742.2,3637.2,0.0,176251.6
3942,r011,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,315029.0,177188.4,44185.4,2677.2,84216.6,4134.6,0.0,0.0,2626.8
3942,r012,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,,4,109588.0,8880.2,84554.4,1184.1,3576.4,11364.3,28.6,0.0,0.0
3942,r013,All agencies surveyed -> Departments -> Department of Defense -> Department of the Army,All agencies surveyed,Departments,Department of Defense,Department of the Army,,4,115522.7,35.9,258.6,0.0,0.0,0.0,0.0,0.0,115228.2
3942,r014,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,,4,213029.1,31803.8,81829.3,35933.8,3828.8,3234.4,3606.6,0.0,52792.4
3942,r015,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,,4,34879.6,4278.5,3234.8,0.0,9751.4,12008.8,2.0,0.0,5604.2
3942,r016,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,,3,428308.8,8886.3,384875.0,4644.5,8567.2,21335.8,0.0,0.0,0.0
3942,r017,All agencies surveyed -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies surveyed,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,81578.5,8886.3,43489.2,0.0,8567.2,20635.8,0.0,0.0,0.0
3942,r018,All agencies surveyed -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies surveyed,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,8580.1,0.0,8580.1,0.0,0.0,0.0,0.0,0.0,0.0
