table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_hierarchy_depth,field_all_r_d_employees,field_researchers,field_technicians,field_other_support_personnel
8055,r001,All organizations ,All organizations ,,1,"['152,596', '  ']","['58,657', '  ']","['57,510', '  ']","['36,429', '  ']"
8055,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['82,887', '  ']","['30,816', '  ']","['28,753', '  ']","['23,318', '  ']"
8055,r003,All organizations  -> Science and technology,All organizations ,Science and technology,2,"['57,801', '  ']","['21,427', '  ']","['25,705', '  ']","['10,669', '  ']"
8055,r004,All organizations  -> Other nonprofit organizations ,All organizations ,Other nonprofit organizations ,2,"['11,908', '  ']","['6,414', '  ']","['3,052', '  ']","['2,442', '  ']"
