table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_b_b_hierarchy_depth,field_all_r_d_expenditures_,field_source_of_funds_internal_funds_,field_source_of_funds_federal_government_,field_source_of_funds_state_and_local_government_,field_source_of_funds_businesses_,field_source_of_funds_universities_,field_source_of_funds_foundations_,field_source_of_funds_all_other_nonprofits_,field_source_of_funds_individual_donors_,field_source_of_funds_other_
8046,r001,All organizations ,All organizations ,,1,"['27,973,176', '  ']","['6,030,782', '  ']","['12,277,531', '  ']","['572,084', '  ']","['3,102,636', '  ']","['935,446', '  ']","['2,313,696', '  ']","['772,836', '  ']","['1,390,842', '  ']","['577,322', '  ']"
8046,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['15,197,222', '  ']","['4,042,943', '  ']","['5,673,140', '  ']","['192,952', '  ']","['1,675,542', '  ']","['808,347', '  ']","['970,167', '  ']","['419,736', '  ']","['1,000,664', 'i ']","['413,732', 'i ']"
8046,r003,All organizations  -> Science and technology,All organizations ,Science and technology,2,"['10,400,065', '  ']","['1,433,877', '  ']","['6,142,966', '  ']","['275,608', '  ']","['863,416', '  ']","['118,300', '  ']","['856,559', '  ']","['320,449', '  ']","['246,809', '  ']","['142,081', '  ']"
8046,r004,All organizations  -> Other nonprofit organizations ,All organizations ,Other nonprofit organizations ,2,"['2,375,889', '  ']","['553,963', '  ']","['461,425', '  ']","['103,524', '  ']","['563,679', '  ']","['8,799', '  ']","['486,970', '  ']","['32,651', '  ']","['143,369', '  ']","['21,509', '  ']"
