table_id,row_id,country_or_region_full_path,country_or_region_level_1,country_or_region_level_2,country_or_region_level_3,country_or_region_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
6211,r001,Total,Total,,,1,1642.77,1631.77,1835.81,1691.99,2932.42,2218.45,3123.91,4347.49,3857.17,3765.81,4513.17,4149.37,5924.0,7106.06,9888.77,13639.96,13483.33,17149.0,26498.91,24390.9,44036.83
6211,r002,Total -> North America,Total,North America,,2,1205.59,1188.58,1388.75,1314.32,2064.0,1469.37,2242.36,3125.05,2576.74,2834.38,3111.33,2987.04,3853.92,5188.51,6937.83,9443.5,9452.89,13112.36,18633.84,16849.54,27811.96
6211,r003,Total -> North America -> United States,Total,North America,United States,3,1185.87,1176.8,1372.01,1296.26,2033.6,1444.02,2196.63,3051.26,2508.48,2816.07,3097.86,2889.46,3797.13,5124.56,6853.33,9134.88,9290.27,12806.3,18179.73,16260.6,27359.72
6211,r004,Total -> North America -> Canada,Total,North America,Canada,3,19.72,11.78,16.74,18.06,30.4,25.35,45.73,73.79,68.16,18.31,13.47,97.58,56.79,63.95,84.04,307.92,162.62,305.86,253.96,588.8,438.85
6211,r005,Total -> Asia,Total,Asia,,2,0.6,6.0,18.85,15.95,6.9,18.89,101.79,121.95,160.59,76.27,172.95,203.74,542.55,320.33,510.32,1220.35,1820.05,1659.49,3432.14,3317.16,9351.44
6211,r006,Total -> Asia -> China,Total,Asia,China,3,0.6,6,7.43,NA,NA,2.42,78,21.4,50.9,31.65,158.78,164.64,493.09,188.76,256.99,939.69,1487.46,1247.97,2652.2,2642.19,8314.17
6211,r007,Total -> Asia -> Japan,Total,Asia,Japan,3,NA,NA,11.42,13,0.9,9.9,10.4,10.7,42.48,8,14.16,24.02,33.87,56.46,30.93,92.5,63.13,117.58,158.07,107.26,187.96
6211,r008,Total -> Asia -> India,Total,Asia,India,3,NA,NA,NA,2.13,NA,0.87,5.89,37.5,28.71,16,0.01,NA,6.05,8.34,0.04,43.58,5.1,54.26,12.5,34.69,10.85
6211,r009,Total -> Europe,Total,Europe,,2,416.73,391.74,393.35,345.92,791.95,607.45,738.18,1044.38,1083.45,836.48,1121.54,916.16,1325.76,1527.82,2313.64,2827.84,2012.03,2096.57,4085.33,3971.68,6402.29
6211,r010,Total -> Central America,Total,Central America,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02,0.8,4.12,0.1,NA,2.6,NA,NA
6211,r011,Total -> South America,Total,South America,,2,0.35,NA,NA,NA,NA,NA,NA,NA,1.82,1.37,1.87,6.5,128.57,3.93,8.17,33.82,3.42,14.42,18.53,2.25,1.35
6211,r012,Total -> Africa,Total,Africa,,2,NA,NA,NA,NA,NA,NA,8.63,NA,NA,0.4,NA,NA,NA,0.01,NA,1.47,3.1,0.1,NA,4.66,16.61
6211,r013,Total -> Middle East,Total,Middle East,,2,8.59,14.68,24.3,14.3,68.1,12.68,27,29.75,10.2,8.5,84.62,25.95,69.09,28.27,105.06,67.92,148.93,247.23,235.93,155.56,351.42
6211,r014,Total -> Oceania,Total,Oceania,,2,10.91,30.77,10.56,1.5,1.47,110.06,5.95,26.36,24.37,8.41,20.86,9.98,4.11,32.17,12.95,40.94,42.81,18.83,90.54,90.05,101.76
