table_id,row_id,research_priority_position_and_field_full_path,research_priority_position_and_field_level_1,research_priority_position_and_field_level_2,research_priority_position_and_field_level_3,research_priority_position_and_field_hierarchy_depth,field_1973,field_1977,field_1979,field_1981,field_1983,field_1985,field_1987,field_1989,field_1991,field_1993,field_1995,field_1997,field_1999,field_2001,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017,field_2019
4393,r001,All positions,All positions,,,1,118.0,145.4,155.3,167.1,176.1,190.2,195.9,206.6,210.6,213.8,217.5,232.5,240.2,245.5,259.5,272.8,276.5,294.8,309.0,329.3,326.6,350.4
4393,r002,All positions -> Physical sciences,All positions,Physical sciences,,2,25.5,29.2,28.8,29.9,29.9,32.2,32.8,33.6,33.8,35.0,35.8,37.5,38.7,38.6,39.9,39.6,39.9,43.7,44.9,48.4,46.9,50.5
4393,r003,All positions -> Mathematics and statistics,All positions,Mathematics and statistics,,2,9.7,11.7,12.2,12.4,12.9,13.6,13.8,14.5,15.2,15.5,14.6,15.6,15.2,14.9,16.7,17.4,18.0,18.7,19.0,20.9,20.6,21.7
4393,r004,All positions -> Computer and information sciences,All positions,Computer and information sciences,,2,NA,NA,0.1,0.3,0.5,0.8,1.1,1.5,2.0,2.5,3.1,3.3,3.7,3.8,5.2,5.8,6.9,7.3,8.4,9.1,8.9,10.9
4393,r005,All positions -> Life sciences,All positions,Life sciences,,2,34.9,42.6,47.0,51.3,54.8,58.7,61.2,64.8,66.9,68.2,71.6,77.3,81.9,84.3,90.0,95.5,94.2,102.0,109.8,112.7,112.6,118.8
4393,r006,All positions -> Psychology,All positions,Psychology,,2,12.2,16.2,17.7,20.1,21.0,23.1,23.7,25.0,25.2,25.0,26.1,27.3,29.0,30.4,31.8,35.0,34.5,35.4,36.3,38.7,38.0,39.9
4393,r007,All positions -> Social sciences,All positions,Social sciences,,2,23.4,31.1,33.6,36.9,38.8,41.9,42.1,44.5,44.8,44.4,42.5,44.9,46.2,46.9,48.1,50.0,52.5,54.9,55.9,59.7,59.9,64.4
4393,r008,All positions -> Engineering,All positions,Engineering,,2,12.4,14.8,15.8,16.1,18.1,19.9,21.2,22.8,22.8,23.1,23.8,26.6,25.5,26.6,27.8,29.6,30.4,32.8,34.7,39.7,39.8,44.1
4393,r009,All positions -> Full-time faculty,All positions,Full-time faculty,,2,103.3,125.6,131.2,141.9,148.4,156.9,164.4,169.8,173.1,172.4,171.4,172.9,178.2,180.9,190.6,193.1,199.1,206.9,214.4,227.7,223.4,246.8
4393,r010,All positions -> Full-time faculty -> Physical sciences,All positions,Full-time faculty,Physical sciences,3,20.8,23.6,23.5,24.3,24.2,25.4,26.4,26.2,26.2,25.8,25.6,25.5,26.3,26.1,27.7,26.9,27.5,29.3,29.5,31.1,29.7,33.5
