table_id,row_id,type_of_support_full_path,type_of_support_level_1,type_of_support_level_2,type_of_support_hierarchy_depth,field_fy_2020,field_fy_2021,field_year_to_year_change,field_fy_2021_of_total
10468,r001,All S&E support,All S&E support,,1,39122,43223,10.5,100.0
10468,r002,All S&E support -> R&D,All S&E support,R&D,2,36569,39504,8.0,91.4
10468,r003,All S&E support -> R&D plant,All S&E support,R&D plant,2,400,419,4.6,1.0
10468,r004,All S&E support -> Facilities and equipment for S&E instruction,All S&E support,Facilities and equipment for S&E instruction,2,20,11,-42.7,0.0
10468,r005,All S&E support -> FTTGs,All S&E support,FTTGs,2,1622,1751,7.9,4.1
10468,r006,All S&E support -> Other general S&E support<sup>a</sup>,All S&E support,Other general S&E support<sup>a</sup>,2,511,1538,201.0,3.6
