table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_researchersa,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
12339,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['303', 'i ']","['179', 'i ']","['84', 'i ']","['41', 'i ']"
12339,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['119', 'i ']","['72', 'i ']","['29', 'i ']","['18', 'i ']"
12339,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4', 'i ']","['1', 'i ']","['1', 'i ']","['1', 'i ']"
12339,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['*', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
12339,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['*', 'i ']","['*', '  ']","['*', '  ']","['*', 'i ']"
12339,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['*', 'i ']","['*', 'i ']","['*', '  ']","['0', '  ']"
12339,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', 'i ']","['*', '  ']","['*', '  ']","['*', 'i ']"
12339,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
12339,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['2', 'i ']","['*', 'i ']","['2', 'i ']","['*', 'i ']"
12339,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['45', 'i ']","['30', 'i ']","['7', 'i ']","['8', 'i ']"
12339,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['1', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
12339,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['*', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
12339,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
12339,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['40', 'i ']","['28', 'i ']","['5', 'i ']","['7', 'i ']"
12339,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['3', 'i ']","['1', 'i ']","['1', 'i ']","['1', 'i ']"
12339,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['*', '  ']","['*', '  ']","['*', '  ']","['*', 'i ']"
12339,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['1', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
12339,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['11', 'i ']","['4', 'i ']","['5', 'i ']","['2', 'i ']"
12339,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['*', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
12339,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['1', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
12339,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['12', 'i ']","['9', 'i ']","['2', 'i ']","['1', 'i ']"
12339,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1', '  ']","['1', '  ']","['*', 'i ']","['*', 'i ']"
12339,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['1', 'i ']","['1', 'i ']","['*', '  ']","['*', '  ']"
12339,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['2', 'i ']","['2', 'i ']","['*', 'i ']","['*', 'i ']"
12339,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['7', 'i ']","['6', 'i ']","['1', 'i ']","['*', 'i ']"
12339,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['19', 'i ']","['12', 'i ']","['5', 'i ']","['1', 'i ']"
12339,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['2', '  ']","['1', '  ']","['*', '  ']","['*', 'i ']"
12339,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['9', 'i ']","['6', 'i ']","['3', 'i ']","['1', 'i ']"
12339,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3', 'i ']","['2', 'i ']","['1', '  ']","['*', 'i ']"
12339,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
12339,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['1', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
12339,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['2', 'i ']","['2', 'i ']","['*', '  ']","['*', 'i ']"
12339,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['5', 'i ']","['3', 'i ']","['1', 'i ']","['*', 'i ']"
12339,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['2', 'i ']","['1', 'i ']","['1', 'i ']","['*', 'i ']"
12339,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['9', 'i ']","['6', '  ']","['2', 'i ']","['1', '  ']"
12339,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['4', '  ']","['3', '  ']","['1', 'i ']","['*', '  ']"
12339,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['4', 'i ']","['2', 'i ']","['1', 'i ']","['*', 'i ']"
12339,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['3', 'i ']","['2', 'i ']","['1', 'i ']","['*', '  ']"
12339,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1', '  ']","['1', '  ']","['*', '  ']","['*', 'i ']"
12339,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
12339,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['*', '  ']","['*', '  ']","['*', 'i ']","['*', 'i ']"
12339,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['*', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
