table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_intramural_performersa,field_extramural_performersb_total,field_extramural_performersb_higher_education_institutions,field_extramural_performersb_companies_and_individualsc,field_extramural_performersb_nonprofit_organizationsd,field_extramural_performersb_other_governmentse,field_extramural_performersb_all_otherf
12538,r149,United States<sup>g</sup> -> Kansas -> Water Office,United States<sup>g</sup>,Kansas,Water Office,3,1805720,868633,937087,186607,0,0,750480,0
12538,r150,United States<sup>g</sup> -> Kansas -> Wheat Commission,United States<sup>g</sup>,Kansas,Wheat Commission,3,1321979,0,1321979,1261979,60000,0,0,0
12538,r151,United States<sup>g</sup> -> Kentucky,United States<sup>g</sup>,Kentucky,,2,37765916,4842218,32923698,28970060,3952108,0,1530,0
12538,r152,"United States<sup>g</sup> -> Kentucky -> Economic Development, Cabinet for",United States<sup>g</sup>,Kentucky,"Economic Development, Cabinet for",3,3126802,0,3126802,1648739,1478063,0,0,0
12538,r153,"United States<sup>g</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>g</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,7566970,4794264,2772706,297131,2474045,0,1530,0
12538,r154,United States<sup>g</sup> -> Kentucky -> Horse Racing Commission,United States<sup>g</sup>,Kentucky,Horse Racing Commission,3,140153,0,140153,140153,0,0,0,0
12538,r155,"United States<sup>g</sup> -> Kentucky -> Nature Preserves, Office of Kentucky",United States<sup>g</sup>,Kentucky,"Nature Preserves, Office of Kentucky",3,55409,47954,7455,7455,0,0,0,0
12538,r156,"United States<sup>g</sup> -> Kentucky -> Postsecondary Education, Council on",United States<sup>g</sup>,Kentucky,"Postsecondary Education, Council on",3,11029618,0,11029618,11029618,0,0,0,0
12538,r157,"United States<sup>g</sup> -> Kentucky -> Public Health, Department for ",United States<sup>g</sup>,Kentucky,"Public Health, Department for ",3,7256093,0,7256093,7256093,0,0,0,0
12538,r158,United States<sup>g</sup> -> Kentucky -> Soybean Promotion Board,United States<sup>g</sup>,Kentucky,Soybean Promotion Board,3,502893,0,502893,502893,0,0,0,0
12538,r159,United States<sup>g</sup> -> Kentucky -> Transportation Cabinet,United States<sup>g</sup>,Kentucky,Transportation Cabinet,3,8087978,0,8087978,8087978,0,0,0,0
12538,r160,United States<sup>g</sup> -> Louisiana,United States<sup>g</sup>,Louisiana,,2,31663714,10567296,21096418,17592263,3117754,47934,258811,79656
12538,r161,United States<sup>g</sup> -> Louisiana -> Board of Regents,United States<sup>g</sup>,Louisiana,Board of Regents,3,12395006,0,12395006,12395006,0,0,0,0
12538,r162,United States<sup>g</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>g</sup>,Louisiana,Coastal Protection and Restoration Authority,3,3791442,524674,3266768,625146,2482309,0,79657,79656
12538,r163,"United States<sup>g</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>g</sup>,Louisiana,"Transportation and Development, Department of ",3,8500000,4250000,4250000,3750000,500000,0,0,0
12538,r164,"United States<sup>g</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>g</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,6977266,5792622,1184644,822111,135445,47934,179154,0
12538,r165,United States<sup>g</sup> -> Maine,United States<sup>g</sup>,Maine,,2,47576007,12319129,35256878,3169145,30097800,1888267,101666,0
12538,r166,"United States<sup>g</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>g</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,1697100,1466400,230700,96200,74500,0,60000,0
12538,r167,United States<sup>g</sup> -> Maine -> Aquaculture Innovation Center,United States<sup>g</sup>,Maine,Aquaculture Innovation Center,3,587473,587473,0,0,0,0,0,0
12538,r168,"United States<sup>g</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>g</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,1776000,1659000,117000,50000,0,67000,0,0
12538,r169,"United States<sup>g</sup> -> Maine -> Marine Resources, Department of",United States<sup>g</sup>,Maine,"Marine Resources, Department of",3,2790668,2663978,126690,0,126690,0,0,0
12538,r170,"United States<sup>g</sup> -> Maine -> MDI Biological Laboratory, Center for Biomedical Innovation",United States<sup>g</sup>,Maine,"MDI Biological Laboratory, Center for Biomedical Innovation",3,7615174,5457951,2157223,1685517,0,471706,0,0
12538,r171,United States<sup>g</sup> -> Maine -> Technology Institute,United States<sup>g</sup>,Maine,Technology Institute,3,31923642,0,31923642,648105,29884310,1349561,41666,0
12538,r172,"United States<sup>g</sup> -> Maine -> Transportation, Department of ",United States<sup>g</sup>,Maine,"Transportation, Department of ",3,1185950,484327,701623,689323,12300,0,0,0
12538,r173,United States<sup>g</sup> -> Maryland,United States<sup>g</sup>,Maryland,,2,46489603,622465,45867138,34185779,11431359,0,0,250000
12538,r174,United States<sup>g</sup> -> Maryland -> Energy Administration,United States<sup>g</sup>,Maryland,Energy Administration,3,250000,0,250000,0,0,0,0,250000
12538,r175,"United States<sup>g</sup> -> Maryland -> Health, Department of",United States<sup>g</sup>,Maryland,"Health, Department of",3,15000000,0,15000000,15000000,0,0,0,0
12538,r176,"United States<sup>g</sup> -> Maryland -> Natural Resources, Department of",United States<sup>g</sup>,Maryland,"Natural Resources, Department of",3,670841,0,670841,670841,0,0,0,0
12538,r177,United States<sup>g</sup> -> Maryland -> Technology Development Corporation,United States<sup>g</sup>,Maryland,Technology Development Corporation,3,28682169,0,28682169,17395809,11286360,0,0,0
12538,r178,"United States<sup>g</sup> -> Maryland -> Transportation, Department of",United States<sup>g</sup>,Maryland,"Transportation, Department of",3,1886593,622465,1264128,1119129,144999,0,0,0
12538,r179,United States<sup>g</sup> -> Massachusetts,United States<sup>g</sup>,Massachusetts,,2,48424086,1690736,46733350,15167081,17624471,2067506,93604,11780688
12538,r180,United States<sup>g</sup> -> Massachusetts -> Clean Energy Technology Center,United States<sup>g</sup>,Massachusetts,Clean Energy Technology Center,3,27560771,0,27560771,292585,15775956,0,0,11492230
12538,r181,"United States<sup>g</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>g</sup>,Massachusetts,"Environmental Protection, Department of ",3,2125890,333963,1791927,996986,784941,10000,0,0
12538,r182,"United States<sup>g</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>g</sup>,Massachusetts,"Fish and Game, Department of ",3,262343,26915,235428,0,0,235428,0,0
12538,r183,United States<sup>g</sup> -> Massachusetts -> Gaming Commission,United States<sup>g</sup>,Massachusetts,Gaming Commission,3,1363550,220350,1143200,760200,308000,0,75000,0
12538,r184,United States<sup>g</sup> -> Massachusetts -> MassVentures,United States<sup>g</sup>,Massachusetts,MassVentures,3,400000,200000,200000,200000,0,0,0,0
12538,r185,"United States<sup>g</sup> -> Massachusetts -> Mental Health, Department of",United States<sup>g</sup>,Massachusetts,"Mental Health, Department of",3,2761879,0,2761879,994881,346385,1420613,0,0
12538,r186,"United States<sup>g</sup> -> Massachusetts -> Public Health, Department of ",United States<sup>g</sup>,Massachusetts,"Public Health, Department of ",3,2306457,0,2306457,2097771,184189,0,0,24497
12538,r187,United States<sup>g</sup> -> Massachusetts -> Technology Park Corporation ,United States<sup>g</sup>,Massachusetts,Technology Park Corporation ,3,3143796,0,3143796,2584766,225000,51465,18604,263961
12538,r188,"United States<sup>g</sup> -> Massachusetts -> Transportation, Department of",United States<sup>g</sup>,Massachusetts,"Transportation, Department of",3,7849400,609508,7239892,7239892,0,0,0,0
12538,r189,United States<sup>g</sup> -> Massachusetts -> Water Resources Authority,United States<sup>g</sup>,Massachusetts,Water Resources Authority,3,650000,300000,350000,0,0,350000,0,0
12538,r190,United States<sup>g</sup> -> Michigan,United States<sup>g</sup>,Michigan,,2,22654435,143576,22510859,13783149,1300681,4998043,2428986,0
12538,r191,"United States<sup>g</sup> -> Michigan -> Agriculture and Rural Development, Department of",United States<sup>g</sup>,Michigan,"Agriculture and Rural Development, Department of",3,3846005,35000,3811005,3389805,6039,378099,37062,0
12538,r192,United States<sup>g</sup> -> Michigan -> Economic Development Corporation,United States<sup>g</sup>,Michigan,Economic Development Corporation,3,5000000,0,5000000,5000000,0,0,0,0
12538,r193,"United States<sup>g</sup> -> Michigan -> Environmental, Great Lakes, and Energy, Department of",United States<sup>g</sup>,Michigan,"Environmental, Great Lakes, and Energy, Department of",3,4935956,108576,4827380,87869,566441,4173070,0,0
12538,r194,United States<sup>g</sup> -> Michigan -> Health and Human Services,United States<sup>g</sup>,Michigan,Health and Human Services,3,2644979,0,2644979,2644979,0,0,0,0
12538,r195,"United States<sup>g</sup> -> Michigan -> Transportation, Department of",United States<sup>g</sup>,Michigan,"Transportation, Department of",3,6227495,0,6227495,2660496,728201,446874,2391924,0
12538,r196,United States<sup>g</sup> -> Minnesota,United States<sup>g</sup>,Minnesota,,2,22732170,3138073,19594097,13127427,3758666,170354,2537650,0
12538,r197,"United States<sup>g</sup> -> Minnesota -> Agriculture, Department of",United States<sup>g</sup>,Minnesota,"Agriculture, Department of",3,4966177,1006689,3959488,3214492,179800,170354,394842,0
12538,r198,United States<sup>g</sup> -> Minnesota -> Forest Resources Council,United States<sup>g</sup>,Minnesota,Forest Resources Council,3,15684,0,15684,15684,0,0,0,0
12538,r199,"United States<sup>g</sup> -> Minnesota -> Health, Department of",United States<sup>g</sup>,Minnesota,"Health, Department of",3,250000,150000,100000,100000,0,0,0,0
12538,r200,"United States<sup>g</sup> -> Minnesota -> Midwest Dairy Association, Minnesota Division",United States<sup>g</sup>,Minnesota,"Midwest Dairy Association, Minnesota Division",3,208395,0,208395,208395,0,0,0,0
12538,r201,"United States<sup>g</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>g</sup>,Minnesota,"Natural Resources, Department of",3,2101074,1981384,119690,118276,1414,0,0,0
12538,r202,United States<sup>g</sup> -> Minnesota -> Pollution Control Agency,United States<sup>g</sup>,Minnesota,Pollution Control Agency,3,230894,0,230894,0,230894,0,0,0
12538,r203,"United States<sup>g</sup> -> Minnesota -> Transportation, Department of",United States<sup>g</sup>,Minnesota,"Transportation, Department of",3,14959946,0,14959946,9470580,3346558,0,2142808,0
12538,r204,United States<sup>g</sup> -> Mississippi,United States<sup>g</sup>,Mississippi,,2,10030897,2030108,8000789,5025882,494973,1146667,1333267,0
12538,r205,"United States<sup>g</sup> -> Mississippi -> Agriculture and Commerce, Department of ",United States<sup>g</sup>,Mississippi,"Agriculture and Commerce, Department of ",3,207791,0,207791,207791,0,0,0,0
12538,r206,"United States<sup>g</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>g</sup>,Mississippi,"Environmental Quality, Department of",3,1649886,100727,1549159,1549159,0,0,0,0
12538,r207,United States<sup>g</sup> -> Mississippi -> Gulf States Marine Fisheries Commission,United States<sup>g</sup>,Mississippi,Gulf States Marine Fisheries Commission,3,1064916,65341,999575,613628,47013,0,338934,0
12538,r208,"United States<sup>g</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>g</sup>,Mississippi,"Marine Resources, Department of",3,1927800,1123546,804254,804254,0,0,0,0
12538,r209,"United States<sup>g</sup> -> Mississippi -> Transportation, Department of",United States<sup>g</sup>,Mississippi,"Transportation, Department of",3,2763759,2444,2761315,269855,415460,1081667,994333,0
12538,r210,"United States<sup>g</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>g</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,2416745,738050,1678695,1581195,32500,65000,0,0
12538,r211,United States<sup>g</sup> -> Missouri,United States<sup>g</sup>,Missouri,,2,17210400,4589925,12620475,6846948,5496089,171666,105772,0
12538,r212,"United States<sup>g</sup> -> Missouri -> Agriculture, Department of",United States<sup>g</sup>,Missouri,"Agriculture, Department of",3,1374152,0,1374152,1151775,222377,0,0,0
12538,r213,"United States<sup>g</sup> -> Missouri -> Conservation, Department of",United States<sup>g</sup>,Missouri,"Conservation, Department of",3,7416216,4589925,2826291,2622718,0,160073,43500,0
12538,r214,"United States<sup>g</sup> -> Missouri -> Mental Health, Department of",United States<sup>g</sup>,Missouri,"Mental Health, Department of",3,242500,0,242500,242500,0,0,0,0
12538,r215,"United States<sup>g</sup> -> Missouri -> Natural Resources, Department of",United States<sup>g</sup>,Missouri,"Natural Resources, Department of",3,250591,0,250591,176726,0,11593,62272,0
12538,r216,United States<sup>g</sup> -> Missouri -> Technology Corporation,United States<sup>g</sup>,Missouri,Technology Corporation,3,3806999,0,3806999,0,3806999,0,0,0
12538,r217,"United States<sup>g</sup> -> Missouri -> Transportation, Department of",United States<sup>g</sup>,Missouri,"Transportation, Department of",3,3342278,0,3342278,1875565,1466713,0,0,0
12538,r218,United States<sup>g</sup> -> Missouri -> Wine and Grape Board,United States<sup>g</sup>,Missouri,Wine and Grape Board,3,777664,0,777664,777664,0,0,0,0
12538,r219,United States<sup>g</sup> -> Montana,United States<sup>g</sup>,Montana,,2,9956071,3806428,6149643,5275871,9055,412189,452528,0
12538,r220,"United States<sup>g</sup> -> Montana -> Agriculture, Department of",United States<sup>g</sup>,Montana,"Agriculture, Department of",3,3466168,0,3466168,3466168,0,0,0,0
12538,r221,"United States<sup>g</sup> -> Montana -> Environmental Quality, Department of",United States<sup>g</sup>,Montana,"Environmental Quality, Department of",3,63976,63976,0,0,0,0,0,0
12538,r222,"United States<sup>g</sup> -> Montana -> Fish, Wildlife and Parks, Department of",United States<sup>g</sup>,Montana,"Fish, Wildlife and Parks, Department of",3,4472983,3277294,1195689,1195689,0,0,0,0
12538,r223,"United States<sup>g</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>g</sup>,Montana,"Natural Resources and Conservation, Department of",3,68874,18077,50797,50797,0,0,0,0
12538,r224,"United States<sup>g</sup> -> Montana -> Transportation, Department of",United States<sup>g</sup>,Montana,"Transportation, Department of",3,1884070,447081,1436989,563217,9055,412189,452528,0
12538,r225,United States<sup>g</sup> -> Nebraska,United States<sup>g</sup>,Nebraska,,2,29171378,74500,29096878,25871076,3093032,112770,20000,0
12538,r226,"United States<sup>g</sup> -> Nebraska -> Agriculture, Department of",United States<sup>g</sup>,Nebraska,"Agriculture, Department of",3,1196095,0,1196095,951293,132032,112770,0,0
12538,r227,United States<sup>g</sup> -> Nebraska -> Corn Board,United States<sup>g</sup>,Nebraska,Corn Board,3,762728,0,762728,762728,0,0,0,0
12538,r228,United States<sup>g</sup> -> Nebraska -> Dry Bean Commission,United States<sup>g</sup>,Nebraska,Dry Bean Commission,3,343193,0,343193,343193,0,0,0,0
12538,r229,"United States<sup>g</sup> -> Nebraska -> Economic Development, Department of",United States<sup>g</sup>,Nebraska,"Economic Development, Department of",3,4733801,0,4733801,1842801,2891000,0,0,0
12538,r230,United States<sup>g</sup> -> Nebraska -> Game and Parks Commission,United States<sup>g</sup>,Nebraska,Game and Parks Commission,3,2018739,0,2018739,2018739,0,0,0,0
12538,r231,United States<sup>g</sup> -> Nebraska -> Grain Sorghum Board,United States<sup>g</sup>,Nebraska,Grain Sorghum Board,3,3000,0,3000,3000,0,0,0,0
12538,r232,"United States<sup>g</sup> -> Nebraska -> Health and Human Services, Department of",United States<sup>g</sup>,Nebraska,"Health and Human Services, Department of",3,18879659,0,18879659,18879659,0,0,0,0
12538,r233,"United States<sup>g</sup> -> Nebraska -> Midwest Dairy Association, Nebraska Division",United States<sup>g</sup>,Nebraska,"Midwest Dairy Association, Nebraska Division",3,25740,0,25740,25740,0,0,0,0
12538,r234,"United States<sup>g</sup> -> Nebraska -> Natural Resources, Department of",United States<sup>g</sup>,Nebraska,"Natural Resources, Department of",3,50000,0,50000,0,50000,0,0,0
12538,r235,United States<sup>g</sup> -> Nebraska -> Pea And Lentil Commission,United States<sup>g</sup>,Nebraska,Pea And Lentil Commission,3,30372,0,30372,30372,0,0,0,0
12538,r236,"United States<sup>g</sup> -> Nebraska -> Transportation, Department of",United States<sup>g</sup>,Nebraska,"Transportation, Department of",3,1088051,74500,1013551,1013551,0,0,0,0
12538,r237,United States<sup>g</sup> -> Nebraska -> Wheat Board,United States<sup>g</sup>,Nebraska,Wheat Board,3,40000,0,40000,0,20000,0,20000,0
12538,r238,United States<sup>g</sup> -> Nevada,United States<sup>g</sup>,Nevada,,2,4072717,256192,3816525,2867745,69300,0,879480,0
12538,r239,"United States<sup>g</sup> -> Nevada -> Agriculture, Department of",United States<sup>g</sup>,Nevada,"Agriculture, Department of",3,204134,204134,0,0,0,0,0,0
12538,r240,"United States<sup>g</sup> -> Nevada -> Conservation and Natural Resources, Department of",United States<sup>g</sup>,Nevada,"Conservation and Natural Resources, Department of",3,198678,52058,146620,10940,0,0,135680,0
12538,r241,"United States<sup>g</sup> -> Nevada -> Economic Development, Governor's office of",United States<sup>g</sup>,Nevada,"Economic Development, Governor's office of",3,2190905,0,2190905,2190905,0,0,0,0
12538,r242,"United States<sup>g</sup> -> Nevada -> Transportation, Department of",United States<sup>g</sup>,Nevada,"Transportation, Department of",3,1479000,0,1479000,665900,69300,0,743800,0
12538,r243,United States<sup>g</sup> -> New Hampshire,United States<sup>g</sup>,New Hampshire,,2,2521016,89546,2431470,279470,1464456,0,687544,0
12538,r244,"United States<sup>g</sup> -> New Hampshire -> Agriculture, Markets and Food, Department of",United States<sup>g</sup>,New Hampshire,"Agriculture, Markets and Food, Department of",3,86551,0,86551,66591,0,0,19960,0
12538,r245,"United States<sup>g</sup> -> New Hampshire -> Environmental Services, Department of",United States<sup>g</sup>,New Hampshire,"Environmental Services, Department of",3,1563535,0,1563535,107877,1360958,0,94700,0
12538,r246,"United States<sup>g</sup> -> New Hampshire -> Transportation, Department of",United States<sup>g</sup>,New Hampshire,"Transportation, Department of",3,870930,89546,781384,105002,103498,0,572884,0
12538,r247,United States<sup>g</sup> -> New Jersey,United States<sup>g</sup>,New Jersey,,2,99832733,3917853,95914880,52920552,1556739,41432589,5000,0
12538,r248,"United States<sup>g</sup> -> New Jersey -> Children and Families, Department of",United States<sup>g</sup>,New Jersey,"Children and Families, Department of",3,330877,132600,198277,78277,0,120000,0,0
12538,r249,"United States<sup>g</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>g</sup>,New Jersey,"Community Affairs, Department of ",3,15489,14769,720,0,720,0,0,0
12538,r250,"United States<sup>g</sup> -> New Jersey -> Corrections, Department of",United States<sup>g</sup>,New Jersey,"Corrections, Department of",3,498425,498425,0,0,0,0,0,0
12538,r251,"United States<sup>g</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>g</sup>,New Jersey,"Environmental Protection, Department of",3,7878841,2469745,5409096,3993634,708327,702135,5000,0
12538,r252,"United States<sup>g</sup> -> New Jersey -> Health, Department of",United States<sup>g</sup>,New Jersey,"Health, Department of",3,79121918,0,79121918,42649797,0,36472121,0,0
12538,r253,United States<sup>g</sup> -> New Jersey -> Pinelands Commission,United States<sup>g</sup>,New Jersey,Pinelands Commission,3,797409,709097,88312,0,88312,0,0,0
12538,r254,"United States<sup>g</sup> -> New Jersey -> Secretary of Higher Education, Office of",United States<sup>g</sup>,New Jersey,"Secretary of Higher Education, Office of",3,8500000,0,8500000,4500000,0,4000000,0,0
12538,r255,"United States<sup>g</sup> -> New Jersey -> State Parole Board, New Jersey",United States<sup>g</sup>,New Jersey,"State Parole Board, New Jersey",3,93217,93217,0,0,0,0,0,0
12538,r256,"United States<sup>g</sup> -> New Jersey -> Transportation, Department of",United States<sup>g</sup>,New Jersey,"Transportation, Department of",3,2596557,0,2596557,1698844,759380,138333,0,0
12538,r257,United States<sup>g</sup> -> New Mexico,United States<sup>g</sup>,New Mexico,,2,2337788,781067,1556721,813963,312327,30000,400431,0
12538,r258,"United States<sup>g</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>g</sup>,New Mexico,"Game and Fish, Department of",3,1501778,475000,1026778,722336,274442,30000,0,0
12538,r259,"United States<sup>g</sup> -> New Mexico -> Transportation, Department of",United States<sup>g</sup>,New Mexico,"Transportation, Department of",3,770937,306067,464870,64439,0,0,400431,0
12538,r260,United States<sup>g</sup> -> New Mexico -> Western State Air Resources Council,United States<sup>g</sup>,New Mexico,Western State Air Resources Council,3,65073,0,65073,27188,37885,0,0,0
12538,r261,United States<sup>g</sup> -> New York,United States<sup>g</sup>,New York,,2,486576578,286453348,200123230,126493029,37796428,26242293,279491,9311989
12538,r262,"United States<sup>g</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>g</sup>,New York,"Agriculture and Markets, Department of ",3,6775611,2582000,4193611,4193611,0,0,0,0
12538,r263,"United States<sup>g</sup> -> New York -> Economic Development, Department of",United States<sup>g</sup>,New York,"Economic Development, Department of",3,98660735,0,98660735,89001142,0,9659593,0,0
12538,r264,United States<sup>g</sup> -> New York -> Energy Research and Development Authority,United States<sup>g</sup>,New York,Energy Research and Development Authority,3,55115891,8551208,46564683,2556995,34695699,0,0,9311989
12538,r265,"United States<sup>g</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>g</sup>,New York,"Environmental Conservation, Department of ",3,11196566,4262602,6933964,4848213,1800000,11241,274510,0
12538,r266,"United States<sup>g</sup> -> New York -> Health, Department of ",United States<sup>g</sup>,New York,"Health, Department of ",3,42199899,26751347,15448552,7686296,1222323,6534952,4981,0
12538,r267,"United States<sup>g</sup> -> New York -> Mental Health, Office of ",United States<sup>g</sup>,New York,"Mental Health, Office of ",3,170362799,149760923,20601876,16626296,78406,3897174,0,0
12538,r268,"United States<sup>g</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>g</sup>,New York,"People with Developmental Disabilities, Office of",3,2317096,2317096,0,0,0,0,0,0
12538,r269,United States<sup>g</sup> -> New York -> Power Authority,United States<sup>g</sup>,New York,Power Authority,3,9265322,2975989,6289333,150000,0,6139333,0,0
12538,r270,United States<sup>g</sup> -> New York -> Roswell Park Comprehensive Cancer Center,United States<sup>g</sup>,New York,Roswell Park Comprehensive Cancer Center,3,76048189,76048189,0,0,0,0,0,0
12538,r271,United States<sup>g</sup> -> New York -> State Museum,United States<sup>g</sup>,New York,State Museum,3,11121948,10729590,392358,392358,0,0,0,0
12538,r272,United States<sup>g</sup> -> New York -> Thoroughbred Breeding and Development Fund Corp,United States<sup>g</sup>,New York,Thoroughbred Breeding and Development Fund Corp,3,365189,0,365189,365189,0,0,0,0
12538,r273,"United States<sup>g</sup> -> New York -> Transportation, Department of ",United States<sup>g</sup>,New York,"Transportation, Department of ",3,3147333,2474404,672929,672929,0,0,0,0
12538,r274,United States<sup>g</sup> -> North Carolina,United States<sup>g</sup>,North Carolina,,2,36106613,16335642,19770971,11297102,8030154,337015,106700,0
12538,r275,"United States<sup>g</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>g</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,15422911,13922911,1500000,1300000,200000,0,0,0
12538,r276,United States<sup>g</sup> -> North Carolina -> Biotechnology Center,United States<sup>g</sup>,North Carolina,Biotechnology Center,3,7770931,0,7770931,2170931,5600000,0,0,0
12538,r277,"United States<sup>g</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>g</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,2135087,1762688,372399,99975,151733,13991,106700,0
12538,r278,"United States<sup>g</sup> -> North Carolina -> Science Technology & Innovation, Office of",United States<sup>g</sup>,North Carolina,"Science Technology & Innovation, Office of",3,2048421,0,2048421,0,2048421,0,0,0
12538,r279,"United States<sup>g</sup> -> North Carolina -> Transportation, Department of",United States<sup>g</sup>,North Carolina,"Transportation, Department of",3,8572434,650043,7922391,7696367,0,226024,0,0
12538,r280,United States<sup>g</sup> -> North Carolina -> Wine and Grape Growers Council,United States<sup>g</sup>,North Carolina,Wine and Grape Growers Council,3,156829,0,156829,29829,30000,97000,0,0
12538,r281,United States<sup>g</sup> -> North Dakota,United States<sup>g</sup>,North Dakota,,2,25822123,981502,24840621,14469584,7382680,461683,2526674,0
12538,r282,"United States<sup>g</sup> -> North Dakota -> Agriculture, Department of",United States<sup>g</sup>,North Dakota,"Agriculture, Department of",3,924605,0,924605,0,890994,33611,0,0
12538,r283,United States<sup>g</sup> -> North Dakota -> Dry Pea and Lentil Commission,United States<sup>g</sup>,North Dakota,Dry Pea and Lentil Commission,3,257308,0,257308,257308,0,0,0,0
12538,r284,"United States<sup>g</sup> -> North Dakota -> Game and Fish, Department of",United States<sup>g</sup>,North Dakota,"Game and Fish, Department of",3,659780,52550,607230,446489,0,160741,0,0
12538,r285,United States<sup>g</sup> -> North Dakota -> Historical Society of North Dakota,United States<sup>g</sup>,North Dakota,Historical Society of North Dakota,3,1034581,893850,140731,0,0,140731,0,0
12538,r286,United States<sup>g</sup> -> North Dakota -> Industrial Commission,United States<sup>g</sup>,North Dakota,Industrial Commission,3,18378646,0,18378646,10873069,6491686,0,1013891,0
12538,r287,"United States<sup>g</sup> -> North Dakota -> Midwest Dairy Association, North Dakota Division",United States<sup>g</sup>,North Dakota,"Midwest Dairy Association, North Dakota Division",3,6435,0,6435,6435,0,0,0,0
12538,r288,United States<sup>g</sup> -> North Dakota -> Soybean Council,United States<sup>g</sup>,North Dakota,Soybean Council,3,1531730,0,1531730,1531730,0,0,0,0
12538,r289,"United States<sup>g</sup> -> North Dakota -> Transportation, Department of",United States<sup>g</sup>,North Dakota,"Transportation, Department of",3,1820328,35102,1785226,272443,0,0,1512783,0
12538,r290,United States<sup>g</sup> -> North Dakota -> Wheat Commission,United States<sup>g</sup>,North Dakota,Wheat Commission,3,1208710,0,1208710,1082110,0,126600,0,0
12538,r291,United States<sup>g</sup> -> Ohio,United States<sup>g</sup>,Ohio,,2,117471257,641094,116830163,38256245,78180697,127565,265656,0
12538,r292,"United States<sup>g</sup> -> Ohio -> Development, Department of",United States<sup>g</sup>,Ohio,"Development, Department of",3,88778286,0,88778286,12933020,75845266,0,0,0
12538,r293,"United States<sup>g</sup> -> Ohio -> Education & Workforce, Department of",United States<sup>g</sup>,Ohio,"Education & Workforce, Department of",3,166000,25000,141000,141000,0,0,0,0
12538,r294,"United States<sup>g</sup> -> Ohio -> Mental Health and Addictions Services, Department of",United States<sup>g</sup>,Ohio,"Mental Health and Addictions Services, Department of",3,20000000,0,20000000,20000000,0,0,0,0
12538,r295,"United States<sup>g</sup> -> Ohio -> Natural Resources, Department of",United States<sup>g</sup>,Ohio,"Natural Resources, Department of",3,2230912,616094,1614818,1580185,22366,12267,0,0
12538,r296,"United States<sup>g</sup> -> Ohio -> Transportation, Department of",United States<sup>g</sup>,Ohio,"Transportation, Department of",3,5432652,0,5432652,2887406,2313065,115298,116883,0
12538,r297,United States<sup>g</sup> -> Ohio -> Water Development Authority,United States<sup>g</sup>,Ohio,Water Development Authority,3,863407,0,863407,714634,0,0,148773,0
12538,r298,United States<sup>g</sup> -> Oklahoma,United States<sup>g</sup>,Oklahoma,,2,28885260,1434856,27450404,17955918,3764509,4062147,1667830,0
12538,r299,"United States<sup>g</sup> -> Oklahoma -> Advancement of Science and Technology, Center for the ",United States<sup>g</sup>,Oklahoma,"Advancement of Science and Technology, Center for the ",3,8294382,0,8294382,4334873,3719509,240000,0,0
12538,r300,"United States<sup>g</sup> -> Oklahoma -> Agriculture, Food, and Forestry, Department of",United States<sup>g</sup>,Oklahoma,"Agriculture, Food, and Forestry, Department of",3,426689,0,426689,426689,0,0,0,0
12538,r301,United States<sup>g</sup> -> Oklahoma -> Grand River Dam Authority,United States<sup>g</sup>,Oklahoma,Grand River Dam Authority,3,455000,250000,205000,160000,45000,0,0,0
