table_id,row_id,_b_source_of_foreign_funding_b_full_path,_b_source_of_foreign_funding_b_level_1,_b_source_of_foreign_funding_b_level_2,_b_source_of_foreign_funding_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
12633,r001,All foreign funds,All foreign funds,,1,1619058,43559,2.7
12633,r002,All foreign funds -> Foreign government,All foreign funds,Foreign government,2,315926,3931,1.2
12633,r003,All foreign funds -> Business,All foreign funds,Business,2,756578,29766,3.9
12633,r004,All foreign funds -> Nonprofit organizations,All foreign funds,Nonprofit organizations,2,402698,13696,3.4
12633,r005,All foreign funds -> Higher education institutions,All foreign funds,Higher education institutions,2,97835,2912,3.0
12633,r006,All foreign funds -> All other sources,All foreign funds,All other sources,2,46021,2375,5.2
