table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposed,field_2017_18_change_,field_2018_19_change_
1317,r001,R&D and R&D plant,R&D and R&D plant,,,1,289,322,117,11.4,-63.7
1317,r002,R&D and R&D plant -> Agency for International Development (151),R&D and R&D plant,Agency for International Development (151),,2,234,205,0,-12.4,-100.0
1317,r003,R&D and R&D plant -> Department of State (151),R&D and R&D plant,Department of State (151),,2,42,44,44,4.8,0.0
1317,r004,R&D and R&D plant -> International Security Assistance (152),R&D and R&D plant,International Security Assistance (152),,2,13,73,73,461.5,0.0
1317,r005,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,289,322,117,11.4,-63.7
1317,r006,R&D and R&D plant -> R&D -> Agency for International Development (151),R&D and R&D plant,R&D,Agency for International Development (151),3,234,205,0,-12.4,-100.0
1317,r007,R&D and R&D plant -> R&D -> Department of State (151),R&D and R&D plant,R&D,Department of State (151),3,42,44,44,4.8,0.0
1317,r008,R&D and R&D plant -> R&D -> International Security Assistance (152),R&D and R&D plant,R&D,International Security Assistance (152),3,13,73,73,461.5,0.0
