table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_intramural_performersa,field_extramural_performersb_total,field_extramural_performersb_academic_institutions,field_extramural_performersb_companies_and_individualsc,field_extramural_performersb_otherd
7699,r001,United States<sup>e</sup>,United States<sup>e</sup>,,,1,2471471226,673691209,1797780017,960494009,508757034,328528974
7699,r002,United States<sup>e</sup> -> Alabama,United States<sup>e</sup>,Alabama,,2,29812345,17295499,12516846,6296012,120834,6100000
7699,r003,"United States<sup>e</sup> -> Alabama -> Commerce, Department of",United States<sup>e</sup>,Alabama,"Commerce, Department of",3,3000000,0,3000000,1000000,0,2000000
7699,r004,"United States<sup>e</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>e</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,2300326,707371,1592955,1592955,0,0
7699,r005,"United States<sup>e</sup> -> Alabama -> Economic & Community Affairs, Department of ",United States<sup>e</sup>,Alabama,"Economic & Community Affairs, Department of ",3,533590,0,533590,412756,120834,0
7699,r006,"United States<sup>e</sup> -> Alabama -> Education, Department of",United States<sup>e</sup>,Alabama,"Education, Department of",3,13196000,12449000,747000,247000,0,500000
7699,r007,"United States<sup>e</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>e</sup>,Alabama,"Forensic Sciences, Department of",3,272635,272635,0,0,0,0
7699,r008,United States<sup>e</sup> -> Alabama -> Geological Survey,United States<sup>e</sup>,Alabama,Geological Survey,3,2690719,2690719,0,0,0,0
7699,r009,"United States<sup>e</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>e</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,1175774,1175774,0,0,0,0
7699,r010,United States<sup>e</sup> -> Alabama -> Supercomputer Authority,United States<sup>e</sup>,Alabama,Supercomputer Authority,3,4432300,0,4432300,832300,0,3600000
7699,r011,"United States<sup>e</sup> -> Alabama -> Transportation, Department of",United States<sup>e</sup>,Alabama,"Transportation, Department of",3,2211001,0,2211001,2211001,0,0
7699,r012,United States<sup>e</sup> -> Alaska,United States<sup>e</sup>,Alaska,,2,19671388,13677498,5993890,1284854,4013636,695400
7699,r013,"United States<sup>e</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>e</sup>,Alaska,"Environmental Conservation, Department of ",3,866695,38918,827777,86454,741323,0
7699,r014,United States<sup>e</sup> -> Alaska -> Housing Finance Corporation,United States<sup>e</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000,0,0,500000
7699,r015,"United States<sup>e</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>e</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,9086400,9086400,0,0,0,0
7699,r016,United States<sup>e</sup> -> Alaska -> Railroad Corporation,United States<sup>e</sup>,Alaska,Railroad Corporation,3,6685193,3999080,2686113,0,2686113,0
7699,r017,United States<sup>e</sup> -> Alaska -> Seafood Marketing Institute,United States<sup>e</sup>,Alaska,Seafood Marketing Institute,3,26000,0,26000,26000,0,0
7699,r018,"United States<sup>e</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>e</sup>,Alaska,"Transportation and Public Facilities, Department of",3,2507100,553100,1954000,1172400,586200,195400
7699,r019,United States<sup>e</sup> -> Arizona,United States<sup>e</sup>,Arizona,,2,15011508,3522494,11489014,6118524,1195026,4175464
7699,r020,"United States<sup>e</sup> -> Arizona -> Agriculture, Department of",United States<sup>e</sup>,Arizona,"Agriculture, Department of",3,1167546,0,1167546,1095860,71686,0
7699,r021,United States<sup>e</sup> -> Arizona -> Game and Fish Department,United States<sup>e</sup>,Arizona,Game and Fish Department,3,1585868,1205047,380821,371021,0,9800
7699,r022,"United States<sup>e</sup> -> Arizona -> Health Services, Department of",United States<sup>e</sup>,Arizona,"Health Services, Department of",3,8467153,0,8467153,4436167,0,4030986
7699,r023,"United States<sup>e</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>e</sup>,Arizona,"Juvenile Corrections, Department of ",3,610954,610954,0,0,0,0
7699,r024,"United States<sup>e</sup> -> Arizona -> Transportation, Department of",United States<sup>e</sup>,Arizona,"Transportation, Department of",3,3179987,1706493,1473494,215476,1123340,134678
7699,r025,United States<sup>e</sup> -> Arkansas,United States<sup>e</sup>,Arkansas,,2,9908767,170429,9738338,7506063,603235,1629040
7699,r026,"United States<sup>e</sup> -> Arkansas -> Agriculture, Department of",United States<sup>e</sup>,Arkansas,"Agriculture, Department of",3,152420,0,152420,152420,0,0
7699,r027,United States<sup>e</sup> -> Arkansas -> Beef Council,United States<sup>e</sup>,Arkansas,Beef Council,3,60406,0,60406,60406,0,0
7699,r028,United States<sup>e</sup> -> Arkansas -> Corn and Grain Sorghum Promotion Board,United States<sup>e</sup>,Arkansas,Corn and Grain Sorghum Promotion Board,3,992000,0,992000,992000,0,0
