table_id,row_id,_b_occupation_category_b_full_path,_b_occupation_category_b_level_1,_b_occupation_category_b_level_2,_b_occupation_category_b_hierarchy_depth,field_type_of_nonprofit_organizationa_fy_2020_all_organizations_,field_type_of_nonprofit_organizationa_fy_2020_healthcare,field_type_of_nonprofit_organizationa_fy_2020_science_and_technology,field_type_of_nonprofit_organizationa_fy_2020_other_nonprofit_organizations_,field_type_of_nonprofit_organizationa_fy_2021_all_organizations_,field_type_of_nonprofit_organizationa_fy_2021_healthcare,field_type_of_nonprofit_organizationa_fy_2021_science_and_technology,field_type_of_nonprofit_organizationa_fy_2021_other_nonprofit_organizations_,field_type_of_nonprofit_organizationa_fy_2022_all_organizations_,field_type_of_nonprofit_organizationa_fy_2022_healthcare,field_type_of_nonprofit_organizationa_fy_2022_science_and_technology,field_type_of_nonprofit_organizationa_fy_2022_other_nonprofit_organizations_
12377,r001,All full-time equivalent R&D employees ,All full-time equivalent R&D employees ,,1,"['140,757', '  ']","['80,172', '  ']","['48,678', '  ']","['11,907', '  ']","['137,947', '  ']","['79,603', '  ']","['46,504', '  ']","['11,839', '  ']","['136,206', '  ']","['79,210', '  ']","['47,168', '  ']","['9,828', '  ']"
12377,r002,All full-time equivalent R&D employees  -> Researchers,All full-time equivalent R&D employees ,Researchers,2,"['55,655', '  ']","['28,972', '  ']","['20,270', '  ']","['6,414', '  ']","['56,068', '  ']","['28,849', '  ']","['21,096', '  ']","['6,124', '  ']","['60,574', '  ']","['32,767', '  ']","['22,152', '  ']","['5,655', '  ']"
12377,r003,All full-time equivalent R&D employees  -> Technicians,All full-time equivalent R&D employees ,Technicians,2,"['49,391', '  ']","['28,205', '  ']","['18,135', '  ']","['3,052', '  ']","['49,530', '  ']","['31,083', '  ']","['15,709', '  ']","['2,739', '  ']","['48,256', '  ']","['30,420', '  ']","['15,554', '  ']","['2,282', '  ']"
12377,r004,All full-time equivalent R&D employees  -> Other support personnel,All full-time equivalent R&D employees ,Other support personnel,2,"['35,710', '  ']","['22,996', '  ']","['10,273', '  ']","['2,441', '  ']","['32,348', '  ']","['19,672', '  ']","['9,699', '  ']","['2,977', '  ']","['27,376', '  ']","['16,023', '  ']","['9,462', '  ']","['1,891', '  ']"
