table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_alabama,field_alaska,field_arizona,field_arkansas,field_california,field_colorado,field_connecticut,field_delaware,field_district_of_columbia,field_florida,field_georgia,field_hawaii,field_idaho,field_illinois,field_indiana,field_iowa,field_kansas,field_kentucky,field_louisiana,field_maine,field_maryland,field_massachusetts,field_michigan,field_minnesota,field_mississippi,field_missouri,field_montana
733,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['48,789', '&nbsp;']","['296,677', '&nbsp;']","['875', '&nbsp;']","['32', 'e']","['4,450', '&nbsp;']","['271', '&nbsp;']","['95,020', '&nbsp;']","['3,665', '&nbsp;']","['6,441', '&nbsp;']","['2,049', '&nbsp;']","['198', '&nbsp;']","['3,788', '&nbsp;']","['3,821', '&nbsp;']","['123', 'i']","['1,304', '&nbsp;']","['11,467', '&nbsp;']","['5,346', '&nbsp;']","['1,916', '&nbsp;']","['1,515', '&nbsp;']","['763', '&nbsp;']","['325', '&nbsp;']","['259', '&nbsp;']","['2,825', '&nbsp;']","['17,719', '&nbsp;']","['15,620', '&nbsp;']","['6,290', '&nbsp;']","['186', '&nbsp;']","['3,737', '&nbsp;']","['200', 'i']"
733,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['24,944', '&nbsp;']","['195,792', '&nbsp;']","['529', '&nbsp;']","['7', 'e']","['3,688', '&nbsp;']","['202', '&nbsp;']","['54,764', '&nbsp;']","['2,613', '&nbsp;']","['5,850', '&nbsp;']","['1,876', '&nbsp;']","['45', '&nbsp;']","['2,048', '&nbsp;']","['2,113', '&nbsp;']","['82', 'i']","['1,251', '&nbsp;']","['9,272', '&nbsp;']","['5,059', '&nbsp;']","['1,763', '&nbsp;']","['1,100', '&nbsp;']","['643', '&nbsp;']","['193', '&nbsp;']","['211', '&nbsp;']","['1,759', '&nbsp;']","['12,710', '&nbsp;']","['14,891', '&nbsp;']","['5,180', '&nbsp;']","['144', '&nbsp;']","['2,800', '&nbsp;']","['150', 'i']"
733,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,307', '&nbsp;']","['4,644', '&nbsp;']","['6', 'e']","['2', 'e']","['5', '&nbsp;']","['41', '&nbsp;']","['120', '&nbsp;']","['27', '&nbsp;']","['22', '&nbsp;']","['1,217', '&nbsp;']","['*', 'e']","['20', '&nbsp;']","['19', '&nbsp;']","['1', 'e']","['60', '&nbsp;']","['319', '&nbsp;']","['85', '&nbsp;']","['439', '&nbsp;']","['20', '&nbsp;']","['17', '&nbsp;']","['5', 'e']","['1', 'e']","['48', '&nbsp;']","['18', '&nbsp;']","['185', '&nbsp;']","['367', '&nbsp;']","['8', '&nbsp;']","['25', '&nbsp;']","['*', 'e']"
733,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['126', '&nbsp;']","['885', '&nbsp;']","['*', 'e']","['*', 'e']","['*', 'e']","['*', 'e']","['20', '&nbsp;']","['20', '&nbsp;']","['3', '&nbsp;']","['*', 'e']","['*', 'e']","['11', '&nbsp;']","['D', '&nbsp;']","['*', 'e']","['*', 'e']","['123', 'i']","['*', 'i']","['*', 'e']","['*', 'e']","['25', '&nbsp;']","['*', 'e']","['*', 'e']","['*', 'e']","['15', '&nbsp;']","['*', 'e']","['1', '&nbsp;']","['*', 'e']","['24', '&nbsp;']","['*', 'e']"
733,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['880', '&nbsp;']","['715', '&nbsp;']","['6', '&nbsp;']","['*', 'e']","['*', 'e']","['*', 'e']","['122', '&nbsp;']","['1', 'e']","['1', 'e']","['*', 'e']","['*', 'e']","['5', 'i']","['73', '&nbsp;']","['*', 'e']","['*', 'e']","['7', '&nbsp;']","['1', 'e']","['2', 'i']","['*', 'e']","['1', 'e']","['*', 'e']","['1', 'e']","['1', 'e']","['57', '&nbsp;']","['13', '&nbsp;']","['9', '&nbsp;']","['1', 'e']","['1', 'e']","['*', 'e']"
733,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['402', '&nbsp;']","['188', '&nbsp;']","['2', '&nbsp;']","['*', 'e']","['*', 'e']","['4', '&nbsp;']","['10', '&nbsp;']","['1', 'e']","['*', 'e']","['*', 'e']","['0', '&nbsp;']","['1', 'e']","['7', '&nbsp;']","['*', 'e']","['*', 'e']","['3', 'i']","['1', 'e']","['3', '&nbsp;']","['1', 'i']","['1', 'e']","['1', '&nbsp;']","['*', 'e']","['*', 'e']","['4', '&nbsp;']","['2', 'i']","['41', '&nbsp;']","['1', '&nbsp;']","['2', 'i']","['*', 'e']"
733,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['229', '&nbsp;']","['763', '&nbsp;']","['10', 'i']","['*', 'e']","['*', 'i']","['26', '&nbsp;']","['6', 'i']","['*', 'i']","['4', 'i']","['1', '&nbsp;']","['0', '&nbsp;']","['16', 'i']","['52', '&nbsp;']","['*', 'e']","['*', 'e']","['8', 'i']","['2', 'i']","['*', 'e']","['3', '&nbsp;']","['22', '&nbsp;']","['6', 'i']","['11', '&nbsp;']","['1', 'i']","['13', '&nbsp;']","['9', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']","['2', 'i']","['*', 'i']"
733,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['639', '&nbsp;']","['189', 'i']","['*', 'e']","['*', 'e']","['2', 'i']","['*', 'e']","['46', 'i']","['7', '&nbsp;']","['*', 'e']","['*', 'e']","['*', 'e']","['3', 'i']","['2', 'i']","['*', 'e']","['*', 'e']","['6', 'i']","['2', 'i']","['3', 'i']","['1', 'e']","['1', 'e']","['1', 'i']","['*', 'e']","['1', 'e']","['3', 'i']","['9', 'i']","['15', '&nbsp;']","['*', 'e']","['1', 'e']","['*', 'e']"
733,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['118', '&nbsp;']","['200', '&nbsp;']","['*', 'e']","['*', 'e']","['*', 'e']","['*', 'e']","['17', '&nbsp;']","['11', '&nbsp;']","['*', 'e']","['*', 'i']","['0', '&nbsp;']","['1', 'i']","['1', '&nbsp;']","['0', '&nbsp;']","['*', 'e']","['4', '&nbsp;']","['6', '&nbsp;']","['*', 'e']","['3', '&nbsp;']","['3', '&nbsp;']","['*', 'e']","['*', 'i']","['*', 'e']","['*', 'e']","['1', 'i']","['*', 'e']","['1', '&nbsp;']","['1', 'i']","['*', 'e']"
733,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,689', '&nbsp;']","['58,769', '&nbsp;']","['78', '&nbsp;']","['*', 'e']","['300', '&nbsp;']","['44', '&nbsp;']","['12,364', '&nbsp;']","['345', '&nbsp;']","['4,036', '&nbsp;']","['543', '&nbsp;']","['21', '&nbsp;']","['417', '&nbsp;']","['357', '&nbsp;']","['65', 'i']","['19', '&nbsp;']","['3,959', '&nbsp;']","['2,878', '&nbsp;']","['124', '&nbsp;']","['182', '&nbsp;']","['298', '&nbsp;']","['25', 'i']","['10', '&nbsp;']","['514', '&nbsp;']","['7,656', '&nbsp;']","['597', '&nbsp;']","['355', '&nbsp;']","['32', 'i']","['1,319', '&nbsp;']","['27', '&nbsp;']"
