table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_sciences,field_mathematics,field_other_computer_sciences_and_mathematics
6355,r001,All agencies,All agencies,,,,,1,5912385.2,4280495.2,681446.8,950443.2
6355,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,
6355,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,7353.4,2207.8,5145.6,0.0
6355,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1665.5,1665.5,0.0,0.0
6355,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,689.6,542.3,147.3,0.0
6355,r006,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,4998.3,0.0,4998.3,0.0
6355,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,171181.1,149622.9,8843.1,12715.1
6355,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,159217.4,144862.1,2581.0,11774.3
6355,r009,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,5582.0,3721.0,1861.0,0.0
6355,r010,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,6381.7,1039.8,4401.1,940.8
6355,r011,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,2598689.2,2306533.1,67955.1,224201.0
6355,r012,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1069719.7,939828.4,8866.7,121024.5
6355,r013,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,857476.8,820070.3,7932.4,29474.1
6355,r014,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,232546.2,190029.8,11062.7,31453.8
6355,r015,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,269368.9,237628.3,15337.4,16403.3
6355,r016,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,169577.6,118976.3,24755.9,25845.4
6355,r017,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,1541329.3,787288.6,44319.1,709721.5
6355,r018,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,28152.0,28152.0,0.0,0.0
6355,r019,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,698321.5,683288.3,2194.7,12838.4
6355,r020,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,681075.8,681075.8,0.0,0.0
6355,r021,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,17245.6,2212.5,2194.7,12838.4
6355,r022,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,36912.0,36912.0,0.0,0.0
6355,r023,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,777943.8,38936.3,42124.4,696883.1
6355,r024,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,338112.5,34988.8,303123.7,0.0
6355,r025,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,43388.9,34988.8,8400.1,0.0
6355,r026,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,294723.6,0.0,294723.6,0.0
6355,r027,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,13557.9,11438.3,0.0,2119.6
6355,r028,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,10542.0,8422.5,0.0,2119.6
6355,r029,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,2870.8,2870.8,0.0,0.0
6355,r030,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,,4,145.1,145.1,0.0,0.0
6355,r031,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,3051.9,3051.9,0.0,0.0
6355,r032,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,3051.9,3051.9,0.0,0.0
6355,r033,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,5485.4,4454.8,160.1,870.5
6355,r034,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,5485.4,4454.8,160.1,870.5
6355,r035,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,37039.1,32052.9,4986.2,0.0
6355,r036,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,16494.3,11508.1,4986.2,0.0
6355,r037,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,20235.2,20235.2,0.0,0.0
6355,r038,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,309.6,309.6,0.0,0.0
6355,r039,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,
6355,r040,All agencies -> Other agencies -> Administrative Office of the U.S. Courts,All agencies,Other agencies,Administrative Office of the U.S. Courts,,,3,5045.5,5045.5,0.0,0.0
6355,r041,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,8775.0,4826.9,3132.7,815.4
6355,r042,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,,3,300.0,300.0,0.0,0.0
6355,r043,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,1182465.2,938683.8,243781.3,0.0
