table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_high_hispanic_enrollment_institution
3278,r035,"Science, all institutions -> Top 50 U.S. institutions -> New Mexico State U., Las Cruces","Science, all institutions",Top 50 U.S. institutions,"New Mexico State U., Las Cruces",3,47,Yes
3278,r036,"Science, all institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Cayey","Science, all institutions",Top 50 U.S. institutions,"U. Puerto Rico, Cayey",3,46,Yes
3278,r037,"Science, all institutions -> Top 50 U.S. institutions -> California State U., Long Beach","Science, all institutions",Top 50 U.S. institutions,"California State U., Long Beach",3,44,Yes
3278,r038,"Science, all institutions -> Top 50 U.S. institutions -> U. Illinois, Urbana-Champaign","Science, all institutions",Top 50 U.S. institutions,"U. Illinois, Urbana-Champaign",3,44,No
3278,r039,"Science, all institutions -> Top 50 U.S. institutions -> U. Michigan, Ann Arbor","Science, all institutions",Top 50 U.S. institutions,"U. Michigan, Ann Arbor",3,42,No
3278,r040,"Science, all institutions -> Top 50 U.S. institutions -> U. Washington, Seattle","Science, all institutions",Top 50 U.S. institutions,"U. Washington, Seattle",3,42,No
3278,r041,"Science, all institutions -> Top 50 U.S. institutions -> Princeton U.","Science, all institutions",Top 50 U.S. institutions,Princeton U.,3,40,No
3278,r042,"Science, all institutions -> Top 50 U.S. institutions -> California State U., Northridge","Science, all institutions",Top 50 U.S. institutions,"California State U., Northridge",3,39,Yes
3278,r043,"Science, all institutions -> Top 50 U.S. institutions -> Rutgers, State U. New Jersey, New Brunswick","Science, all institutions",Top 50 U.S. institutions,"Rutgers, State U. New Jersey, New Brunswick",3,39,No
3278,r044,"Science, all institutions -> Top 50 U.S. institutions -> California State Polytechnic U., Pomona","Science, all institutions",Top 50 U.S. institutions,"California State Polytechnic U., Pomona",3,36,Yes
3278,r045,"Science, all institutions -> Top 50 U.S. institutions -> U. Pennsylvania","Science, all institutions",Top 50 U.S. institutions,U. Pennsylvania,3,36,No
3278,r046,"Science, all institutions -> Top 50 U.S. institutions -> Duke U.","Science, all institutions",Top 50 U.S. institutions,Duke U.,3,35,No
3278,r047,"Science, all institutions -> Top 50 U.S. institutions -> Yale U.","Science, all institutions",Top 50 U.S. institutions,Yale U.,3,35,No
3278,r048,"Science, all institutions -> Top 50 U.S. institutions -> Cornell U.","Science, all institutions",Top 50 U.S. institutions,Cornell U.,3,34,No
3278,r049,"Science, all institutions -> Top 50 U.S. institutions -> U. Chicago","Science, all institutions",Top 50 U.S. institutions,U. Chicago,3,34,No
3278,r050,"Science, all institutions -> Top 50 U.S. institutions -> U. Maryland, College Park","Science, all institutions",Top 50 U.S. institutions,"U. Maryland, College Park",3,34,No
3278,r051,"Science, all institutions -> Top 50 U.S. institutions -> U. Southern California","Science, all institutions",Top 50 U.S. institutions,U. Southern California,3,33,No
3278,r052,"Science, all institutions -> Top 50 U.S. institutions -> California State U., Fullerton","Science, all institutions",Top 50 U.S. institutions,"California State U., Fullerton",3,32,Yes
