table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorate_holders,field_female,field_male,field_hispanic_or_latinoa,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_other_race_and_ethnicity
3385,r001,Number of early career doctorate holders,Number of early career doctorate holders,,,,,1,186700,89400,97300,13600,37600,10100,120800,4700
3385,r002,Number of early career doctorate holders -> Percent of early career doctorate holders,Number of early career doctorate holders,Percent of early career doctorate holders,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3385,r003,Number of early career doctorate holders -> Position type<sup>b</sup>,Number of early career doctorate holders,Position type<sup>b</sup>,,,,2,,,,,,,,
3385,r004,Number of early career doctorate holders -> Position type<sup>b</sup> -> Faculty,Number of early career doctorate holders,Position type<sup>b</sup>,Faculty,,,3,67.3,71.9,63.0,68.8,51.6,74.5,71.1,72.5
3385,r005,Number of early career doctorate holders -> Position type<sup>b</sup> -> Faculty -> Tenured or tenure-track faculty,Number of early career doctorate holders,Position type<sup>b</sup>,Faculty,Tenured or tenure-track faculty,,4,46.0,46.0,46.0,47.8,40.1,44.0,47.7,47.9
3385,r006,Number of early career doctorate holders -> Position type<sup>b</sup> -> Faculty -> Non-tenure track or other faculty,Number of early career doctorate holders,Position type<sup>b</sup>,Faculty,Non-tenure track or other faculty,,4,21.3,25.9,17.1,21.0,11.6,30.5,23.5,24.7
3385,r007,Number of early career doctorate holders -> Position type<sup>b</sup> -> Postdoctoral scholar,Number of early career doctorate holders,Position type<sup>b</sup>,Postdoctoral scholar,,,3,19.5,14.8,23.9,22.9,37.6,8.1,14.8,10.2
3385,r008,"Number of early career doctorate holders -> Position type<sup>b</sup> -> Research scientist, nonfaculty researcher, or other position",Number of early career doctorate holders,Position type<sup>b</sup>,"Research scientist, nonfaculty researcher, or other position",,,3,13.2,13.3,13.1,8.2,10.8,17.4,14.0,17.3
3385,r009,Number of early career doctorate holders -> Employment setting,Number of early career doctorate holders,Employment setting,,,,2,,,,,,,,
3385,r010,Number of early career doctorate holders -> Employment setting -> Academic institution<sup>c</sup>,Number of early career doctorate holders,Employment setting,Academic institution<sup>c</sup>,,,3,95.8,98.1,93.7,97.7,93.4,99.4,96.0,96.6
3385,r011,Number of early career doctorate holders -> Employment setting -> Academic institution<sup>c</sup> -> Non-medical school or center,Number of early career doctorate holders,Employment setting,Academic institution<sup>c</sup>,Non-medical school or center,,4,95.8,98.1,93.7,97.7,93.4,99.4,96.0,96.6
3385,r012,Number of early career doctorate holders -> Employment setting -> Academic institution<sup>c</sup> -> Non-medical school or center -> Very high research activity universities,Number of early career doctorate holders,Employment setting,Academic institution<sup>c</sup>,Non-medical school or center,Very high research activity universities,5,44.4,40.9,47.7,47.9,56.5,33.6,41.2,43.9
3385,r013,Number of early career doctorate holders -> Employment setting -> Academic institution<sup>c</sup> -> Non-medical school or center -> High research activity universities,Number of early career doctorate holders,Employment setting,Academic institution<sup>c</sup>,Non-medical school or center,High research activity universities,5,14.7,15.3,14.2,17.1,12.1,10.1,15.7,14.4
3385,r014,Number of early career doctorate holders -> Employment setting -> Academic institution<sup>c</sup> -> Non-medical school or center -> All other colleges and universities,Number of early career doctorate holders,Employment setting,Academic institution<sup>c</sup>,Non-medical school or center,All other colleges and universities,5,36.7,41.9,31.8,32.7,24.8,55.8,39.1,38.4
3385,r015,Number of early career doctorate holders -> Employment setting -> FFRDC,Number of early career doctorate holders,Employment setting,FFRDC,,,3,4.2,1.9,6.3,2.3,6.6,0.6,4.0,3.4
3385,r016,Number of early career doctorate holders -> Field of doctoral degree,Number of early career doctorate holders,Field of doctoral degree,,,,2,,,,,,,,
3385,r017,Number of early career doctorate holders -> Field of doctoral degree -> S&E,Number of early career doctorate holders,Field of doctoral degree,S&E,,,3,60.3,50.3,69.5,62.0,75.0,42.2,57.4,50.9
3385,r018,"Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Biological, agricultural, and environmental life sciences",Number of early career doctorate holders,Field of doctoral degree,S&E,"Biological, agricultural, and environmental life sciences",,4,15.5,14.6,16.2,20.4,21.4,5.9,13.9,14.6
3385,r019,"Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Biological, agricultural, and environmental life sciences -> Agricultural and environmental life sciences",Number of early career doctorate holders,Field of doctoral degree,S&E,"Biological, agricultural, and environmental life sciences",Agricultural and environmental life sciences,5,2.1,1.9,2.3,2.5,2.7,1.0,2.0,2.6
3385,r020,"Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Biological, agricultural, and environmental life sciences -> Biological and biomedical sciences",Number of early career doctorate holders,Field of doctoral degree,S&E,"Biological, agricultural, and environmental life sciences",Biological and biomedical sciences,5,13.4,12.7,14.0,17.9,18.7,4.9,11.9,12.1
3385,r021,Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Engineering,Number of early career doctorate holders,Field of doctoral degree,S&E,Engineering,,4,9.2,4.4,13.7,6.4,17.3,6.9,7.3,7.0
3385,r022,Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Mathematics and computer sciences,Number of early career doctorate holders,Field of doctoral degree,S&E,Mathematics and computer sciences,,4,6.5,3.8,8.9,5.2,10.2,2.2,5.9,3.1
3385,r023,Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Mathematics and computer sciences -> Computer and information sciences,Number of early career doctorate holders,Field of doctoral degree,S&E,Mathematics and computer sciences,Computer and information sciences,5,3.1,1.5,4.7,2.1,6.2,1.6,2.5,
3385,r024,Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Mathematics and computer sciences -> Mathematics and statistics,Number of early career doctorate holders,Field of doctoral degree,S&E,Mathematics and computer sciences,Mathematics and statistics,5,3.3,2.3,4.3,3.2,4.0,,3.4,S
