table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
2743,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['2,564', '  ']","['1,846', '  ']","['717', '  ']","['1,766', '  ']","['1,298', '  ']","['468', '  ']","['797', '  ']","['548', '  ']","['249', '  ']"
2743,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['1,432', '  ']","['1,068', '  ']","['364', '  ']","['981', '  ']","['737', '  ']","['244', '  ']","['450', '  ']","['330', '  ']","['120', '  ']"
2743,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['37', '  ']","['21', '  ']","['16', '  ']","['24', '  ']","['14', '  ']","['10', '  ']","['13', '  ']","['7', '  ']","['6', '  ']"
2743,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['9', '  ']","['5', '  ']","['4', '  ']","['6', '  ']","['4', '  ']","['2', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
2743,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['10', '  ']","['5', '  ']","['4', '  ']","['8', '  ']","['4', '  ']","['4', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
2743,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '  ']","['2', '  ']","['*', '  ']","['3', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
2743,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['7', '  ']","['6', '  ']","['2', '  ']","['6', '  ']","['4', '  ']","['1', '  ']","['2', '  ']","['1', '  ']","['*', '  ']"
2743,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['3', '  ']","['3', '  ']","['1', '  ']","['3', '  ']","['2', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
2743,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['8', '  ']","['6', '  ']","['2', '  ']","['7', '  ']","['5', '  ']","['2', '  ']","['2', '  ']","['1', '  ']","['1', '  ']"
2743,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['268', '  ']","['140', '  ']","['128', '  ']","['189', '  ']","['101', '  ']","['88', '  ']","['79', '  ']","['39', '  ']","['41', '  ']"
2743,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['18', '  ']","['12', '  ']","['6', '  ']","['13', '  ']","['9', '  ']","['4', '  ']","['5', '  ']","['3', '  ']","['2', '  ']"
2743,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['13', '  ']","['9', '  ']","['3', '  ']","['7', '  ']","['5', '  ']","['2', '  ']","['5', '  ']","['4', '  ']","['1', '  ']"
2743,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['10', '  ']","['6', '  ']","['4', '  ']","['8', '  ']","['5', '  ']","['3', '  ']","['2', 'i ']","['1', 'i ']","['1', 'i ']"
2743,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['191', '  ']","['90', '  ']","['101', '  ']","['138', '  ']","['67', '  ']","['70', '  ']","['53', '  ']","['22', '  ']","['31', '  ']"
2743,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['18', '  ']","['9', '  ']","['9', '  ']","['12', '  ']","['6', '  ']","['6', '  ']","['6', '  ']","['3', '  ']","['3', '  ']"
2743,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['19', '  ']","['14', '  ']","['5', '  ']","['11', '  ']","['8', '  ']","['3', '  ']","['8', '  ']","['6', '  ']","['2', '  ']"
2743,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['29', '  ']","['23', '  ']","['6', '  ']","['25', '  ']","['20', '  ']","['5', '  ']","['4', '  ']","['3', '  ']","['1', '  ']"
