table_id,row_id,_b_federal_agency_b_full_path,_b_federal_agency_b_level_1,_b_federal_agency_b_level_2,_b_federal_agency_b_hierarchy_depth,field_r_d_expenditures
10203,r001,All other federal agencies,All other federal agencies,,1,3634675
10203,r002,All other federal agencies -> Agency for International Development,All other federal agencies,Agency for International Development,2,199750
10203,r003,All other federal agencies -> Appalachian Regional Commission,All other federal agencies,Appalachian Regional Commission,2,1416
10203,r004,All other federal agencies -> Central Intelligence Agency,All other federal agencies,Central Intelligence Agency,2,1927
10203,r005,All other federal agencies -> Consumer Financial Protection Bureau,All other federal agencies,Consumer Financial Protection Bureau,2,24
10203,r006,All other federal agencies -> Consumer Product Safety Commission,All other federal agencies,Consumer Product Safety Commission,2,1131
10203,r007,All other federal agencies -> Corporation for National and Community Service,All other federal agencies,Corporation for National and Community Service,2,5998
10203,r008,All other federal agencies -> Delta Regional Authority,All other federal agencies,Delta Regional Authority,2,56
10203,r009,All other federal agencies -> Department of Agriculture<sup>a</sup>,All other federal agencies,Department of Agriculture<sup>a</sup>,2,11
10203,r010,All other federal agencies -> Department of Commerce,All other federal agencies,Department of Commerce,2,793601
10203,r011,All other federal agencies -> Department of Defense<sup>a</sup>,All other federal agencies,Department of Defense<sup>a</sup>,2,3101
10203,r012,All other federal agencies -> Department of Education,All other federal agencies,Department of Education,2,638700
10203,r013,All other federal agencies -> Department of Health and Human Services<sup>a</sup>,All other federal agencies,Department of Health and Human Services<sup>a</sup>,2,1785
10203,r014,All other federal agencies -> Department of Homeland Security,All other federal agencies,Department of Homeland Security,2,163987
10203,r015,All other federal agencies -> Department of Housing and Urban Development,All other federal agencies,Department of Housing and Urban Development,2,18265
10203,r016,All other federal agencies -> Department of Justice,All other federal agencies,Department of Justice,2,119191
10203,r017,All other federal agencies -> Department of Labor,All other federal agencies,Department of Labor,2,37932
10203,r018,All other federal agencies -> Department of State,All other federal agencies,Department of State,2,53033
10203,r019,All other federal agencies -> Department of the Interior,All other federal agencies,Department of the Interior,2,328902
10203,r020,All other federal agencies -> Department of the Treasury,All other federal agencies,Department of the Treasury,2,30995
10203,r021,All other federal agencies -> Department of Transportation,All other federal agencies,Department of Transportation,2,490920
10203,r022,All other federal agencies -> Department of Veterans Affairs,All other federal agencies,Department of Veterans Affairs,2,105035
10203,r023,All other federal agencies -> Election Assistance Commission,All other federal agencies,Election Assistance Commission,2,103
10203,r024,All other federal agencies -> Environmental Protection Agency,All other federal agencies,Environmental Protection Agency,2,93621
10203,r025,All other federal agencies -> Executive Office of the President,All other federal agencies,Executive Office of the President,2,5373
10203,r026,All other federal agencies -> Federal Communications Commission,All other federal agencies,Federal Communications Commission,2,1562
10203,r027,All other federal agencies -> Federal Trade Commission,All other federal agencies,Federal Trade Commission,2,635
10203,r028,All other federal agencies -> General Services Administration,All other federal agencies,General Services Administration,2,1044
10203,r029,All other federal agencies -> Institute of Museum and Library Services,All other federal agencies,Institute of Museum and Library Services,2,7304
10203,r030,All other federal agencies -> Institute of Peace,All other federal agencies,Institute of Peace,2,61
10203,r031,All other federal agencies -> Millennium Challenge Corporation,All other federal agencies,Millennium Challenge Corporation,2,2774
10203,r032,All other federal agencies -> National Aeronautics and Space Administration<sup>a</sup>,All other federal agencies,National Aeronautics and Space Administration<sup>a</sup>,2,284
10203,r033,All other federal agencies -> National Archives and Records Administration,All other federal agencies,National Archives and Records Administration,2,1751
10203,r034,All other federal agencies -> National Endowment for the Arts,All other federal agencies,National Endowment for the Arts,2,2200
10203,r035,All other federal agencies -> National Endowment for the Humanities,All other federal agencies,National Endowment for the Humanities,2,17549
10203,r036,All other federal agencies -> National Gallery of Art,All other federal agencies,National Gallery of Art,2,242
10203,r037,All other federal agencies -> Northern Border Regional Commission,All other federal agencies,Northern Border Regional Commission,2,18
10203,r038,All other federal agencies -> Nuclear Regulatory Commission,All other federal agencies,Nuclear Regulatory Commission,2,7907
10203,r039,All other federal agencies -> Office of Personnel Management,All other federal agencies,Office of Personnel Management,2,3241
10203,r040,All other federal agencies -> Office of the Director of National Intelligence,All other federal agencies,Office of the Director of National Intelligence,2,32762
10203,r041,All other federal agencies -> Postal Service,All other federal agencies,Postal Service,2,134
10203,r042,All other federal agencies -> Securities and Exchange Commission,All other federal agencies,Securities and Exchange Commission,2,662
10203,r043,All other federal agencies -> Small Business Administration,All other federal agencies,Small Business Administration,2,29949
10203,r044,All other federal agencies -> Smithsonian Institution,All other federal agencies,Smithsonian Institution,2,2266
10203,r045,All other federal agencies -> Social Security Administration,All other federal agencies,Social Security Administration,2,14449
10203,r046,All other federal agencies -> Tennessee Valley Authority,All other federal agencies,Tennessee Valley Authority,2,2170
10203,r047,All other federal agencies -> Other agencies not listed<sup>b</sup>,All other federal agencies,Other agencies not listed<sup>b</sup>,2,410854
