table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_hierarchy_depth,field_all_u_s_citizen_and_permanent_resident_doctorate_recipients_number_,field_total,field_u_s_citizen_or_permanent_resident_hispanic_or_latino,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_asian,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_black_or_african_american,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_white,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_more_than_one_race,field_u_s_citizen_or_permanent_resident_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizen_or_permanent_resident_ethnicity_not_reported
2822,r001,All fields,All fields,,,1,35274,100.0,8.1,0.3,9.7,7.1,68.7,3.2,1.1,1.8
2822,r002,All fields -> Life sciences,All fields,Life sciences,,2,9052,100.0,8.6,0.3,11.5,6.0,68.0,3.3,1.0,1.3
2822,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,3,822,100.0,6.6,0.6,5.6,4.9,77.4,2.3,1.1,1.6
2822,r004,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,6380,100.0,9.4,0.2,12.7,4.3,67.8,3.6,1.0,1.0
2822,r005,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,1850,100.0,6.5,0.5,10.1,12.1,64.8,2.6,0.9,2.3
2822,r006,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3903,100.0,6.9,0.2,9.4,2.3,75.4,3.6,0.9,1.4
2822,r007,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,3,1781,100.0,8.4,0.2,10.5,3.5,71.6,3.7,0.7,1.5
2822,r008,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,809,100.0,6.4,0.5,3.8,1.9,81.1,3.8,1.1,1.4
2822,r009,All fields -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,3,1313,100.0,5.2,0.1,11.3,0.8,77.1,3.3,0.9,1.4
2822,r010,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1787,100.0,5.8,0.1,14.1,3.9,69.1,3.8,1.5,1.8
2822,r011,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,3,800,100.0,4.8,0.1,16.8,4.6,67.4,3.4,1.5,1.5
2822,r012,All fields -> Mathematics and computer sciences -> Mathematics and statistics ,All fields,Mathematics and computer sciences,Mathematics and statistics ,3,987,100.0,6.6,0.0,12.0,3.2,70.5,4.2,1.5,2.0
2822,r013,All fields -> Psychology and social sciences ,All fields,Psychology and social sciences ,,2,6723,100.0,9.4,0.4,6.6,8.8,67.7,3.6,1.2,2.3
2822,r014,All fields -> Psychology and social sciences  -> Psychology,All fields,Psychology and social sciences ,Psychology,3,3349,100.0,9.6,0.4,5.9,8.5,68.2,3.6,1.0,2.7
2822,r015,All fields -> Psychology and social sciences  -> Anthropology,All fields,Psychology and social sciences ,Anthropology,3,359,100.0,10.9,0.3,5.0,5.6,68.5,5.8,2.2,1.7
2822,r016,All fields -> Psychology and social sciences  -> Economics,All fields,Psychology and social sciences ,Economics,3,491,100.0,6.5,0.0,15.3,4.3,67.2,2.4,1.2,3.1
2822,r017,All fields -> Psychology and social sciences  -> Political science and government,All fields,Psychology and social sciences ,Political science and government,3,504,100.0,8.5,0.0,6.0,4.6,75.2,2.6,1.6,1.6
2822,r018,All fields -> Psychology and social sciences  -> Sociology,All fields,Psychology and social sciences ,Sociology,3,511,100.0,10.0,0.2,4.7,9.2,68.7,4.1,1.0,2.2
2822,r019,All fields -> Psychology and social sciences  -> Other social sciences,All fields,Psychology and social sciences ,Other social sciences,3,1509,100.0,9.3,0.9,6.6,13.1,63.8,3.6,1.2,1.5
2822,r020,All fields -> Engineering,All fields,Engineering,,2,4253,100.0,7.2,0.2,16.9,4.2,65.8,2.9,1.2,1.6
2822,r021,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,212,100.0,6.6,0.5,9.4,2.8,78.3,0.9,0.5,0.9
2822,r022,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,772,100.0,8.4,0.0,22.2,3.5,59.5,3.8,0.9,1.8
2822,r023,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,480,100.0,6.3,0.6,16.9,5.6,65.4,3.1,0.6,1.5
2822,r024,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,200,100.0,4.0,0.0,13.5,5.0,73.0,1.5,1.0,2.0
2822,r025,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,518,100.0,6.8,0.4,24.5,3.5,59.7,2.1,0.8,2.3
2822,r026,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,84,100.0,3.6,0.0,11.9,10.7,69.0,2.4,1.2,1.2
2822,r027,All fields -> Engineering -> Materials science engineering,All fields,Engineering,Materials science engineering,3,501,100.0,7.8,0.2,15.8,5.0,64.1,3.8,2.4,1.0
2822,r028,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,600,100.0,5.8,0.3,12.7,2.7,72.7,2.8,1.7,1.3
2822,r029,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,886,100.0,8.7,0.0,14.3,4.5,66.7,2.9,1.1,1.7
2822,r030,All fields -> Education,All fields,Education,,2,3848,100.0,8.3,0.7,5.4,16.1,64.6,2.8,0.9,1.4
2822,r031,All fields -> Education -> Education administration,All fields,Education,Education administration,3,754,100.0,7.2,1.1,2.7,26.4,59.2,1.7,0.7,1.2
2822,r032,All fields -> Education -> Education research,All fields,Education,Education research,3,1907,100.0,8.4,0.4,6.0,14.1,65.7,3.4,0.9,1.2
2822,r033,All fields -> Education -> Teacher education,All fields,Education,Teacher education,3,87,100.0,4.6,0.0,2.3,17.2,73.6,2.3,0.0,0.0
2822,r034,All fields -> Education -> Teaching fields,All fields,Education,Teaching fields,3,772,100.0,7.9,0.4,6.2,11.1,69.7,2.6,0.9,1.2
2822,r035,All fields -> Education -> Other education,All fields,Education,Other education,3,328,100.0,11.6,2.1,6.7,15.5,56.4,3.0,0.9,3.7
2822,r036,All fields -> Humanities and arts,All fields,Humanities and arts,,2,3988,100.0,8.5,0.3,5.1,4.5,75.4,2.6,1.1,2.6
2822,r037,All fields -> Humanities and arts -> Foreign languages and literature,All fields,Humanities and arts,Foreign languages and literature,3,383,100.0,23.5,0.3,5.0,2.6,64.0,1.8,1.0,1.8
2822,r038,All fields -> Humanities and arts -> History,All fields,Humanities and arts,History,3,741,100.0,7.8,0.4,3.8,4.3,78.1,2.6,0.8,2.2
2822,r039,All fields -> Humanities and arts -> Letters,All fields,Humanities and arts,Letters,3,1188,100.0,6.5,0.3,4.0,3.2,79.6,2.4,1.1,2.8
2822,r040,All fields -> Humanities and arts -> Other humanities and arts,All fields,Humanities and arts,Other humanities and arts,3,1676,100.0,6.7,0.1,6.5,5.9,73.7,3.0,1.3,2.9
2822,r041,All fields -> Other<sup>a</sup>,All fields,Other<sup>a</sup>,,2,1720,100.0,6.5,0.4,11.0,14.3,62.2,2.1,1.4,2.2
2822,r042,All fields -> Other<sup>a</sup> -> Business management and administration,All fields,Other<sup>a</sup>,Business management and administration,3,747,100.0,5.6,0.1,16.6,14.2,59.0,1.5,1.3,1.6
2822,r043,All fields -> Other<sup>a</sup> -> Communication,All fields,Other<sup>a</sup>,Communication,3,349,100.0,6.9,0.3,6.0,10.0,69.6,2.0,1.7,3.4
2822,r044,All fields -> Other<sup>a</sup> -> Non-S&E fields nec,All fields,Other<sup>a</sup>,Non-S&E fields nec,3,624,100.0,7.2,0.8,7.2,16.8,61.7,2.9,1.3,2.1
