table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_historically_black_college_or_university
3283,r001,All institutions ,All institutions ,,,1,9048,-
3283,r002,All institutions  -> Foreign or unknown institutions ,All institutions ,Foreign or unknown institutions ,,2,2525,-
3283,r003,All institutions  -> Top 50 U.S. institutions ,All institutions ,Top 50 U.S. institutions ,,2,2304,-
3283,r004,All institutions  -> Top 50 U.S. institutions  -> Howard U,All institutions ,Top 50 U.S. institutions ,Howard U,3,132,Yes
3283,r005,All institutions  -> Top 50 U.S. institutions  -> Spelman C.,All institutions ,Top 50 U.S. institutions ,Spelman C.,3,116,Yes
3283,r006,"All institutions  -> Top 50 U.S. institutions  -> U. Maryland, Baltimore County",All institutions ,Top 50 U.S. institutions ,"U. Maryland, Baltimore County",3,105,No
3283,r007,"All institutions  -> Top 50 U.S. institutions  -> U. Maryland, College Park",All institutions ,Top 50 U.S. institutions ,"U. Maryland, College Park",3,91,No
3283,r008,All institutions  -> Top 50 U.S. institutions  -> North Carolina Agricultural and Technical State U.,All institutions ,Top 50 U.S. institutions ,North Carolina Agricultural and Technical State U.,3,87,Yes
3283,r009,All institutions  -> Top 50 U.S. institutions  -> Florida A&M U.,All institutions ,Top 50 U.S. institutions ,Florida A&M U.,3,76,Yes
3283,r010,All institutions  -> Top 50 U.S. institutions  -> U. Florida,All institutions ,Top 50 U.S. institutions ,U. Florida,3,72,No
3283,r011,All institutions  -> Top 50 U.S. institutions  -> Morehouse C.,All institutions ,Top 50 U.S. institutions ,Morehouse C.,3,71,Yes
3283,r012,All institutions  -> Top 50 U.S. institutions  -> Hampton U.,All institutions ,Top 50 U.S. institutions ,Hampton U.,3,69,Yes
3283,r013,"All institutions  -> Top 50 U.S. institutions  -> U. North Carolina, Chapel Hill",All institutions ,Top 50 U.S. institutions ,"U. North Carolina, Chapel Hill",3,69,No
3283,r014,All institutions  -> Top 50 U.S. institutions  -> Morgan State U.,All institutions ,Top 50 U.S. institutions ,Morgan State U.,3,63,Yes
3283,r015,All institutions  -> Top 50 U.S. institutions  -> Jackson State U.,All institutions ,Top 50 U.S. institutions ,Jackson State U.,3,55,Yes
3283,r016,All institutions  -> Top 50 U.S. institutions  -> Florida State U.,All institutions ,Top 50 U.S. institutions ,Florida State U.,3,50,No
