table_id,row_id,_b_field_and_research_animal_space_b_full_path,_b_field_and_research_animal_space_b_level_1,_b_field_and_research_animal_space_b_level_2,_b_field_and_research_animal_space_b_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_started_in_fy_2020_or_fy_2021,field_started_in_fy_2022_or_fy_2023,field_planned_to_start_in_fy_2024_or_fy_2025,field_deferred_projects_included_in_institutional_plan,field_deferred_projects_not_included_in_institutional_plan
12854,r001,All research space,All research space,,1,5923.5,7336.0,6396.2,5432.5,5679.5,5929.3,5138.7,4492.6,7261.1,17407.7,12253.4,1419.3
12854,r002,All research space -> Agricultural sciences,All research space,Agricultural sciences,2,143.6,154.1,199.3,154.8,106.8,96.8,313.5,410.0,398.7,2185.1,914.0,63.8
12854,r003,All research space -> Biological and biomedical sciences,All research space,Biological and biomedical sciences,2,2092.9,3256.6,1579.7,1847.3,2047.3,1943.9,1065.0,1091.1,1399.3,5518.2,2002.5,178.5
12854,r004,All research space -> Computer and information sciences,All research space,Computer and information sciences,2,296.0,175.1,64.8,171.6,95.6,223.4,189.5,400.1,465.9,859.1,509.0,50.0
12854,r005,All research space -> Engineering,All research space,Engineering,2,734.9,1121.7,944.8,1164.6,891.2,1368.2,1437.7,997.5,1823.9,2456.2,2822.2,715.4
12854,r006,"All research space -> Geosciences, atmospheric sciences, and ocean sciences",All research space,"Geosciences, atmospheric sciences, and ocean sciences",2,94.9,44.6,225.7,161.7,119.7,92.2,75.6,160.3,349.1,323.4,220.7,81.3
12854,r007,All research space -> Health sciences,All research space,Health sciences,2,1276.9,1332.3,2277.1,1152.1,800.9,1230.1,1302.6,541.0,1548.6,4211.4,3633.2,30.0
12854,r008,All research space -> Mathematics and statistics,All research space,Mathematics and statistics,2,8.9,13.5,12.0,13.2,12.6,22.1,7.1,122.3,45.1,69.4,111.6,1.0
12854,r009,All research space -> Natural resources and conservation,All research space,Natural resources and conservation,2,na,na,na,na,20.4,85.6,7.0,54.7,11.8,93.4,117.2,5.0
12854,r010,All research space -> Physical sciences,All research space,Physical sciences,2,631.5,657.5,593.6,590.0,1287.6,423.4,377.7,425.4,828.2,873.3,1391.1,209.0
12854,r011,All research space -> Psychology,All research space,Psychology,2,57.4,167.3,121.2,15.2,36.3,49.3,22.7,33.9,25.3,140.4,221.1,0.0
12854,r012,All research space -> Social sciences,All research space,Social sciences,2,74.8,136.7,37.2,34.3,5.1,96.5,16.8,118.0,136.9,388.2,112.2,51.8
12854,r013,All research space -> Other fields of S&E,All research space,Other fields of S&E,2,511.6,276.6,340.9,127.7,256.1,297.7,323.4,138.3,228.3,289.5,198.6,33.5
12854,r014,All research space -> Research animal space<sup>a</sup>,All research space,Research animal space<sup>a</sup>,2,757.4,725.1,513.0,992.9,421.0,400.4,335.7,223.9,387.4,na,na,na
