table_id,row_id,company_characteristic_full_path,company_characteristic_level_1,company_characteristic_level_2,company_characteristic_hierarchy_depth,field_2009,field_2014,field_2019
5811,r001,New licenses or options executed,New licenses or options executed,,1,5222,6327,7974
5811,r002,New licenses or options executed -> Startups,New licenses or options executed,Startups,2,800,1131,1481
5811,r003,New licenses or options executed -> Small companies,New licenses or options executed,Small companies,2,2597,3064,4684
5811,r004,New licenses or options executed -> Large companies,New licenses or options executed,Large companies,2,1825,2132,1809
5811,r005,"All licenses, total active","All licenses, total active",,1,33523,42015,49477
