table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2019_actual,field_2020_preliminary,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3372,r001,R&D and R&D plant,R&D and R&D plant,,,,1,590,522,443,-11.5,-15.2
3372,r002,R&D and R&D plant -> Department of Homeland Security (751),R&D and R&D plant,Department of Homeland Security (751),,,2,562,495,416,-11.8,-16.1
3372,r003,R&D and R&D plant -> Department of Justice,R&D and R&D plant,Department of Justice,,,2,28,27,27,-3.6,0.0
3372,r004,R&D and R&D plant -> Department of Justice -> Federal Prison System (753),R&D and R&D plant,Department of Justice,Federal Prison System (753),,3,6,5,5,-16.7,0.0
3372,r005,R&D and R&D plant -> Department of Justice -> Office of Justice Programs (754),R&D and R&D plant,Department of Justice,Office of Justice Programs (754),,3,22,22,22,0.0,0.0
3372,r006,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,590,522,424,-11.5,-18.9
3372,r007,R&D and R&D plant -> R&D -> Department of Homeland Security (751),R&D and R&D plant,R&D,Department of Homeland Security (751),,3,562,495,397,-11.8,-19.9
3372,r008,R&D and R&D plant -> R&D -> Department of Justice,R&D and R&D plant,R&D,Department of Justice,,3,28,27,27,-3.6,0.0
3372,r009,R&D and R&D plant -> R&D -> Department of Justice -> Federal Prison System (753),R&D and R&D plant,R&D,Department of Justice,Federal Prison System (753),4,6,5,5,-16.7,0.0
3372,r010,R&D and R&D plant -> R&D -> Department of Justice -> Office of Justice Programs (754),R&D and R&D plant,R&D,Department of Justice,Office of Justice Programs (754),4,22,22,22,0.0,0.0
