table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_astronomy,field_chemistry,field_physics,field_other_physical_sciences
6418,r001,All agencies surveyed,All agencies surveyed,,,,,1,138566.6,0.0,79627.4,39166.9,19772.3
6418,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,,2,,,,,
6418,r003,All agencies surveyed -> Departments -> Department of Agriculture,All agencies surveyed,Departments,Department of Agriculture,,,3,11654.4,0.0,11504.1,150.3,0.0
6418,r004,All agencies surveyed -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies surveyed,Departments,Department of Agriculture,Agricultural Research Service,,4,4021.3,0.0,3871.0,150.3,0.0
6418,r005,All agencies surveyed -> Departments -> Department of Agriculture -> Forest Service,All agencies surveyed,Departments,Department of Agriculture,Forest Service,,4,353.4,0.0,353.4,0.0,0.0
6418,r006,All agencies surveyed -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies surveyed,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,7279.7,0.0,7279.7,0.0,0.0
6418,r007,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,,3,29832.8,0.0,9783.1,14553.4,5496.2
6418,r008,All agencies surveyed -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies surveyed,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1844.5,0.0,0.0,1844.5,0.0
6418,r009,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,,4,12755.3,0.0,0.0,10039.4,2715.9
6418,r010,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,,4,3055.3,0.0,100.0,175.0,2780.3
6418,r011,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,,4,12177.6,0.0,9683.1,2494.5,0.0
6418,r012,All agencies surveyed -> Departments -> Department of Energy,All agencies surveyed,Departments,Department of Energy,,,3,43488.4,0.0,26474.5,17013.9,0.0
6418,r013,All agencies surveyed -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies surveyed,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,16113.9,0.0,0.0,16113.9,0.0
6418,r014,All agencies surveyed -> Departments -> Department of Energy -> Fossil Energy,All agencies surveyed,Departments,Department of Energy,Fossil Energy,,4,26474.5,0.0,26474.5,0.0,0.0
6418,r015,All agencies surveyed -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies surveyed,Departments,Department of Energy,National Nuclear Security Administration,,4,900.0,0.0,0.0,900.0,0.0
6418,r016,All agencies surveyed -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies surveyed,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,900.0,0.0,0.0,900.0,0.0
6418,r017,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,,3,29051.0,0.0,28872.6,178.5,0.0
6418,r018,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,,4,29051.0,0.0,28872.6,178.5,0.0
6418,r019,All agencies surveyed -> Departments -> Department of Homeland Security,All agencies surveyed,Departments,Department of Homeland Security,,,3,1283.6,0.0,1283.6,0.0,0.0
6418,r020,All agencies surveyed -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies surveyed,Departments,Department of Homeland Security,Science and Technology Directorate,,4,1283.6,0.0,1283.6,0.0,0.0
6418,r021,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,,2,,,,,
6418,r022,All agencies surveyed -> Other agencies -> National Aeronautics and Space Administration,All agencies surveyed,Other agencies,National Aeronautics and Space Administration,,,3,8221.4,0.0,0.0,2110.2,6111.2
6418,r023,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,,3,15035.0,0.0,1709.5,5160.6,8164.9
