table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_energy_companiesb_number_,field_energy_amount,field_environmental_protection_companiesb_number_,field_environmental_protection_amount
2731,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['3,876', '  ']","['63,230', '  ']","['790', 'i ']","['1,949', '  ']","['237', '  ']","['1,763', '  ']"
2731,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['1,764', '  ']","['39,393', '  ']","['290', 'i ']","['1,005', '  ']","['109', '  ']","['786', '  ']"
2731,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['36', '  ']","['242', '  ']","['D', '  ']","['1', '  ']","['4', '  ']","['30', '  ']"
2731,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['377', '  ']","['10,553', '  ']","['16', '  ']","['108', '  ']","['16', '  ']","['73', '  ']"
2731,r005,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['24', '  ']","['192', '  ']","['7', '  ']","['39', '  ']","['4', '  ']","['10', '  ']"
2731,r006,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['241', '  ']","['9,792', '  ']","['4', 'i ']","['46', '  ']","['6', '  ']","['56', '  ']"
2731,r007,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['112', '  ']","['569', '  ']","['5', '  ']","['23', '  ']","['5', '  ']","['6', '  ']"
2731,r008,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['90', '  ']","['83', '  ']","['29', 'i ']","['7', 'i ']","['4', '  ']","['1', 'i ']"
2731,r009,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['19', '  ']","['24', '  ']","['D', '  ']","['1', '  ']","['D', '  ']","['2', '  ']"
2731,r010,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['110', '  ']","['105', '  ']","['D', '  ']","['8', '  ']","['D', '  ']","['*', '  ']"
2731,r011,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['212', '  ']","['1,034', '  ']","['59', '  ']","['166', '  ']","['14', '  ']","['64', '  ']"
2731,r012,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['8', '  ']","['10', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['1', '  ']"
2731,r013,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['7', '  ']","['543', '  ']","['D', '  ']","['0 - 106', '  ']","['D', '  ']","['0 - 46', '  ']"
2731,r014,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['25', '  ']","['173', '  ']","['5', '  ']","['61', '  ']","['3', '  ']","['19', '  ']"
2731,r015,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['174', '  ']","['307', '  ']","['D', '  ']","['0 - 106', '  ']","['D', '  ']","['0 - 46', '  ']"
2731,r016,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['382', '  ']","['9,775', '  ']","['87', 'i ']","['350', '  ']","['39', 'i ']","['511', '  ']"
2731,r017,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['154', '  ']","['2,410', '  ']","['50', 'i ']","['249', '  ']","['D', '&nbsp;']","['0 - 512', 'i ']"
2731,r018,All industries -> Manufacturing industries -> Computer and electronic products -> Other electronic products,All industries,Manufacturing industries,Computer and electronic products,Other electronic products,,4,other 334,"['229', '  ']","['7,365', '  ']","['38', 'i ']","['101', '  ']","['D', '&nbsp;']","['0 - 512', '  ']"
2731,r019,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['91', '  ']","['266', '  ']","['58', 'i ']","['51', '  ']","['D', '  ']","['1', '  ']"
2731,r020,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['187', '  ']","['16,735', '  ']","['27', '  ']","['307', '  ']","['19', '  ']","['82', '  ']"
2731,r021,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['118', '  ']","['2,506', '  ']","['22', '  ']","['263', '  ']","['19', '  ']","['82', '  ']"
2731,r022,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['69', '  ']","['14,229', 'i ']","['5', '  ']","['44', '  ']","['0', '  ']","['0', '  ']"
