table_id,row_id,sector_full_path,sector_level_1,sector_level_2,sector_level_3,sector_level_4,sector_level_5,sector_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6310,r001,Millions of dollars,Millions of dollars,,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6310,r002,U.S. total R&D,U.S. total R&D,,,,,1,"['406,600', '&nbsp;']","['426,215', '&nbsp;']","['433,716', '&nbsp;']","['454,271', '&nbsp;']","['475,969', '&nbsp;']","['494,499', '&nbsp;']","['521,700', '&nbsp;']","['554,012', '&nbsp;']","['604,837', '&nbsp;']","['666,875', '&nbsp;']"
6310,r003,U.S. total R&D -> All business R&D<sup>a</sup>,U.S. total R&D,All business R&D<sup>a</sup>,,,,2,"['278,977', '&nbsp;']","['294,093', '&nbsp;']","['302,250', '&nbsp;']","['322,528', '&nbsp;']","['340,728', '&nbsp;']","['355,821', '&nbsp;']","['374,685', '&nbsp;']","['400,100', '&nbsp;']","['441,036', '&nbsp;']","['492,956', '&nbsp;']"
6310,r004,U.S. total R&D -> All business R&D<sup>a</sup> -> Paid for by the company,U.S. total R&D,All business R&D<sup>a</sup>,Paid for by the company,,,3,"['221,706', '&nbsp;']","['238,768', '&nbsp;']","['247,280', '&nbsp;']","['264,913', '&nbsp;']","['282,570', '&nbsp;']","['296,677', '&nbsp;']","['317,731', '&nbsp;']","['339,036', '&nbsp;']","['377,806', '&nbsp;']","['428,968', '&nbsp;']"
6310,r005,"U.S. total R&D -> All business R&D<sup>a</sup> -> Paid for by the company -> From company-owned, U.S.-located units",U.S. total R&D,All business R&D<sup>a</sup>,Paid for by the company,"From company-owned, U.S.-located units",,4,"['218,187', '&nbsp;']","['235,426', '&nbsp;']","['242,674', '&nbsp;']","['259,908', '&nbsp;']","['277,272', '&nbsp;']","['289,892', '&nbsp;']","['306,611', '&nbsp;']","['319,796', '&nbsp;']","['354,291', '&nbsp;']","['401,851', '&nbsp;']"
6310,r006,U.S. total R&D -> All business R&D<sup>a</sup> -> Paid for by the company -> From foreign-located subsidiaries,U.S. total R&D,All business R&D<sup>a</sup>,Paid for by the company,From foreign-located subsidiaries,,4,"['3,519', '&nbsp;']","['3,342', '&nbsp;']","['4,606', '&nbsp;']","['5,005', '&nbsp;']","['5,298', '&nbsp;']","['6,785', '&nbsp;']","['11,120', '&nbsp;']","['19,240', '&nbsp;']","['23,515', '&nbsp;']","['27,117', '&nbsp;']"
6310,r007,U.S. total R&D -> All business R&D<sup>a</sup> -> Paid for by others,U.S. total R&D,All business R&D<sup>a</sup>,Paid for by others,,,3,"['57,271', '&nbsp;']","['55,324', '&nbsp;']","['54,970', '&nbsp;']","['57,615', '&nbsp;']","['58,158', '&nbsp;']","['59,144', '&nbsp;']","['56,954', '&nbsp;']","['61,065', '&nbsp;']","['63,230', '&nbsp;']","['63,989', '&nbsp;']"
6310,r008,U.S. total R&D -> All business R&D<sup>a</sup> -> Paid for by others -> Federal,U.S. total R&D,All business R&D<sup>a</sup>,Paid for by others,Federal,,4,"['34,199', 'i']","['31,309', 'i']","['30,621', 'i']","['29,362', '&nbsp;']","['26,554', 'i']","['26,990', '&nbsp;']","['23,772', '&nbsp;']","['24,277', 'i']","['24,685', '&nbsp;']","['21,941', '&nbsp;']"
6310,r009,U.S. total R&D -> All business R&D<sup>a</sup> -> Paid for by others -> Domestically located companies,U.S. total R&D,All business R&D<sup>a</sup>,Paid for by others,Domestically located companies,,4,"['11,013', '&nbsp;']","['11,124', '&nbsp;']","['11,624', '&nbsp;']","['13,450', '&nbsp;']","['13,227', '&nbsp;']","['14,595', 'i']","['14,239', '&nbsp;']","['17,494', '&nbsp;']","['19,087', '&nbsp;']","['21,461', '&nbsp;']"
6310,r010,U.S. total R&D -> All business R&D<sup>a</sup> -> Paid for by others -> Foreign-located companies,U.S. total R&D,All business R&D<sup>a</sup>,Paid for by others,Foreign-located companies,,4,"['11,015', '&nbsp;']","['12,007', '&nbsp;']","['12,093', '&nbsp;']","['13,791', '&nbsp;']","['17,246', '&nbsp;']","['16,317', '&nbsp;']","['17,692', '&nbsp;']","['18,404', '&nbsp;']","['18,333', '&nbsp;']","['19,554', '&nbsp;']"
