table_id,row_id,major_field_and_sex_full_path,major_field_and_sex_level_1,major_field_and_sex_level_2,major_field_and_sex_level_3,major_field_and_sex_level_4,major_field_and_sex_level_5,major_field_and_sex_hierarchy_depth,field_all_definite_plans_number_,field_all_definite_plans,field_plans_to_stay_in_the_united_states_all_u_s_plans,field_plans_to_stay_in_the_united_states_academic_employment,field_plans_to_stay_in_the_united_states_industry_employment,field_plans_to_stay_in_the_united_states_postdoctoral_study,field_plans_to_stay_in_the_united_states_othera,field_plans_to_go_abroad,field_location_unknown
1222,r001,All doctorate recipients<sup>b</sup>,All doctorate recipients<sup>b</sup>,,,,,1,,,,,,,,,
1222,r002,All doctorate recipients<sup>b</sup> -> S&E,All doctorate recipients<sup>b</sup>,S&E,,,,2,15154,100.0,96.0,18.8,20.3,44.1,12.8,3.9,0.05
1222,r003,All doctorate recipients<sup>b</sup> -> S&E -> Science ,All doctorate recipients<sup>b</sup>,S&E,Science ,,,3,12581,100.0,95.9,20.6,16.2,46.9,12.1,4.1,0.05
1222,r004,All doctorate recipients<sup>b</sup> -> S&E -> Science  -> Agricultural sciences ,All doctorate recipients<sup>b</sup>,S&E,Science ,Agricultural sciences ,,4,455,100.0,96.9,21.5,21.3,35.8,18.2,3.1,0.0
1222,r005,All doctorate recipients<sup>b</sup> -> S&E -> Science  -> Biological sciences ,All doctorate recipients<sup>b</sup>,S&E,Science ,Biological sciences ,,4,3731,100.0,97.0,10.1,13.8,65.5,7.6,3.0,0.0
1222,r006,All doctorate recipients<sup>b</sup> -> S&E -> Science  -> Computer sciences ,All doctorate recipients<sup>b</sup>,S&E,Science ,Computer sciences ,,4,580,100.0,96.7,24.8,42.4,16.0,13.4,3.3,0.0
1222,r007,"All doctorate recipients<sup>b</sup> -> S&E -> Science  -> Earth, atmospheric, and ocean sciences",All doctorate recipients<sup>b</sup>,S&E,Science ,"Earth, atmospheric, and ocean sciences",,4,471,100.0,92.1,14.6,11.9,49.0,16.6,7.9,0.0
1222,r008,All doctorate recipients<sup>b</sup> -> S&E -> Science  -> Mathematics and statistics,All doctorate recipients<sup>b</sup>,S&E,Science ,Mathematics and statistics,,4,596,100.0,93.6,26.7,21.3,35.7,9.9,6.4,0.0
1222,r009,All doctorate recipients<sup>b</sup> -> S&E -> Science  -> Physical sciences,All doctorate recipients<sup>b</sup>,S&E,Science ,Physical sciences,,4,1895,100.0,93.7,11.0,27.9,48.3,6.5,6.3,0.0
1222,r010,All doctorate recipients<sup>b</sup> -> S&E -> Science  -> Psychology,All doctorate recipients<sup>b</sup>,S&E,Science ,Psychology,,4,2408,100.0,98.2,18.6,9.9,57.0,12.7,1.8,0.05
1222,r011,All doctorate recipients<sup>b</sup> -> S&E -> Science  -> Social sciences ,All doctorate recipients<sup>b</sup>,S&E,Science ,Social sciences ,,4,2445,100.0,94.5,44.7,9.7,19.2,20.9,5.5,0.0
1222,r012,All doctorate recipients<sup>b</sup> -> S&E -> Engineering ,All doctorate recipients<sup>b</sup>,S&E,Engineering ,,,3,2573,100.0,96.9,9.7,40.3,30.5,16.3,3.1,0.0
1222,r013,All doctorate recipients<sup>b</sup> -> Female ,All doctorate recipients<sup>b</sup>,Female ,,,,2,,,,,,,,,
1222,r014,All doctorate recipients<sup>b</sup> -> Female  -> S&E,All doctorate recipients<sup>b</sup>,Female ,S&E,,,3,6877,100.0,96.7,21.1,14.7,48.1,12.8,3.3,0.05
1222,r015,All doctorate recipients<sup>b</sup> -> Female  -> S&E -> Science ,All doctorate recipients<sup>b</sup>,Female ,S&E,Science ,,4,6247,100.0,96.7,21.8,12.7,49.5,12.7,3.3,0.05
