table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total,field_companies_deleteda,field_companies_requiring_action_due_to_merger_or_acquisitionb,field_companies_requiring_action_due_to_analyst_reviewc
2109,r001,Total,Total,,,1,2970,2819,131,20
2109,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,720,640,69,11
2109,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,511,441,61,9
2109,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,209,199,8,2
2109,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,111,107,4,0
2109,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,71,68,3,0
2109,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,40,39,1,0
2109,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,2125,2061,55,9
2109,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,380,365,10,5
2109,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,1745,1696,45,4
2109,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,14,11,3,0
