table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients
3294,r001,All institutions,All institutions,,,1,383
3294,r002,All institutions -> Foreign or unknown institutions,All institutions,Foreign or unknown institutions,,2,32
3294,r003,All institutions -> Top 9 U.S. institutions,All institutions,Top 9 U.S. institutions,,2,73
3294,r004,"All institutions -> Top 9 U.S. institutions -> U. New Mexico, Albuquerque",All institutions,Top 9 U.S. institutions,"U. New Mexico, Albuquerque",3,15
3294,r005,"All institutions -> Top 9 U.S. institutions -> U. Oklahoma, Norman",All institutions,Top 9 U.S. institutions,"U. Oklahoma, Norman",3,14
3294,r006,"All institutions -> Top 9 U.S. institutions -> Oklahoma State U., Stillwater",All institutions,Top 9 U.S. institutions,"Oklahoma State U., Stillwater",3,10
3294,r007,All institutions -> Top 9 U.S. institutions -> U. Arizona,All institutions,Top 9 U.S. institutions,U. Arizona,3,7
3294,r008,"All institutions -> Top 9 U.S. institutions -> New Mexico State U., Las Cruces",All institutions,Top 9 U.S. institutions,"New Mexico State U., Las Cruces",3,6
3294,r009,All institutions -> Top 9 U.S. institutions -> U. North Dakota,All institutions,Top 9 U.S. institutions,U. North Dakota,3,6
3294,r010,All institutions -> Top 9 U.S. institutions -> U. Central Oklahoma,All institutions,Top 9 U.S. institutions,U. Central Oklahoma,3,5
3294,r011,"All institutions -> Top 9 U.S. institutions -> U. Montana, Missoula",All institutions,Top 9 U.S. institutions,"U. Montana, Missoula",3,5
3294,r012,"All institutions -> Top 9 U.S. institutions -> U. Washington, Seattle",All institutions,Top 9 U.S. institutions,"U. Washington, Seattle",3,5
3294,r013,All institutions -> Other U.S. institutions,All institutions,Other U.S. institutions,,2,278
