table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributeda
9688,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['135,412', '  ']","['456', '  ']","['1,387', '  ']","['233', '  ']","['1,505', '  ']","['1,795', '  ']","['2,566', '  ']","['11,639', '  ']","['643', '  ']","['14,314', '  ']","['41', '  ']","['5,241', '  ']","['1,094', '  ']","['356', '  ']","['3,237', '  ']","['1,998', '  ']","['2,662', '  ']","['470', '  ']","['934', '  ']","['8,232', '  ']","['525', '  ']","['345', 'i ']","['260', '  ']","['457', 'i ']"
9688,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['78,389', '  ']","['163', '  ']","['929', '  ']","['138', '  ']","['1,072', '  ']","['1,582', '  ']","['1,289', '  ']","['8,327', '  ']","['390', '  ']","['6,773', '  ']","['28', '  ']","['3,190', '  ']","['1,052', '  ']","['148', '  ']","['2,149', '  ']","['1,522', '  ']","['1,674', '  ']","['310', '  ']","['644', '  ']","['5,200', '  ']","['265', '  ']","['104', '  ']","['161', '  ']","['304', 'i ']"
9688,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,190', '  ']","['0 - 43', '  ']","['110', '  ']","['0 - 47', '  ']","['46', '  ']","['22', '  ']","['33', '  ']","['94', '  ']","['2', '  ']","['33', '  ']","['6', '  ']","['9', '  ']","['3', '  ']","['5', '  ']","['16', '  ']","['3', '  ']","['1', '  ']","['11', '  ']","['10', '  ']","['*', '  ']","['5', '  ']","['20', '  ']","['4', '  ']","['0 - 219', 'i ']"
9688,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['893', '  ']","['0 - 43', '  ']","['0 - 19', '  ']","['0 - 47', '  ']","['36', '  ']","['46', '  ']","['8', '  ']","['51', '  ']","['7', '  ']","['12', '  ']","['*', '  ']","['24', '  ']","['0', '  ']","['*', '  ']","['22', '  ']","['0', '  ']","['0', '  ']","['13', '  ']","['8', '  ']","['0', '  ']","['15', '  ']","['0 - 18', '  ']","['0', '  ']","['0', '  ']"
9688,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['169', '  ']","['0', '  ']","['0 - 19', '  ']","['0', '  ']","['0 - 11', '  ']","['4', '  ']","['2', '  ']","['26', '  ']","['11', '  ']","['2', 'r ']","['0', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['2', '  ']","['1', '  ']","['*', '  ']","['12', '  ']","['*', 'r ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']"
9688,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9688,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['67', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['8', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']"
9688,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['27', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['20', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9688,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['175', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['19', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['11', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']"
9688,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['23,741', '  ']","['120', '  ']","['371', '  ']","['92', '  ']","['174', '  ']","['268', '  ']","['486', '  ']","['2,031', '  ']","['174', '  ']","['493', 'i ']","['9', '  ']","['1,613', '  ']","['19', '  ']","['21', '  ']","['367', '  ']","['258', '  ']","['112', '  ']","['51', '  ']","['63', '  ']","['383', '  ']","['165', '  ']","['66', '  ']","['30', '  ']","['7', 'i ']"
9688,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['997', '  ']","['2', '  ']","['24', '  ']","['1', '  ']","['9', '  ']","['6', '  ']","['3', '  ']","['89', '  ']","['26', '  ']","['11', '  ']","['2', '  ']","['15', '  ']","['1', '  ']","['1', '  ']","['65', '  ']","['2', '  ']","['5', '  ']","['1', '  ']","['8', '  ']","['16', '  ']","['16', '  ']","['0 - 6', '  ']","['9', '  ']","['0 - 8', 'i ']"
9688,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['580', 'i ']","['2', '  ']","['16', '  ']","['0', '  ']","['3', '  ']","['1', '  ']","['3', '  ']","['97', '  ']","['0', '  ']","['9', '  ']","['*', '  ']","['31', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['12', '  ']","['1', '  ']","['2', '  ']","['*', '  ']","['0', '  ']","['6', '  ']","['*', '  ']","['*', '  ']","['*', 'i ']"
9688,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['123', '  ']","['1', '  ']","['12', '  ']","['*', '  ']","['0 - 13', '  ']","['0 - 4', '  ']","['2', '  ']","['1', '  ']","['0 - 25', '  ']","['0 - 22', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['0', '  ']","['0 - 18', '  ']","['*', '  ']","['*', '  ']","['3', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
9688,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['20,936', '  ']","['115', '  ']","['297', '  ']","['89', '  ']","['148', '  ']","['241', '  ']","['474', '  ']","['1,675', '  ']","['124', '  ']","['444', 'i ']","['5', '  ']","['1,526', '  ']","['16', '  ']","['20', '  ']","['190', '  ']","['241', '  ']","['104', '  ']","['43', '  ']","['41', '  ']","['363', '  ']","['140', '  ']","['61', '  ']","['20', '  ']","['0 - 8', 'i ']"
9688,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['871', '  ']","['*', '  ']","['20', '  ']","['1', '  ']","['4', '  ']","['19', '  ']","['4', '  ']","['123', '  ']","['1', '  ']","['10', 'i ']","['*', '  ']","['37', '  ']","['1', '  ']","['*', '  ']","['96', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['2', '  ']","['*', '  ']","['2', '  ']","['0 - 6', '  ']","['2', '  ']","['0 - 8', 'i ']"
9688,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['234', '  ']","['*', '  ']","['2', '  ']","['*', '  ']","['0 - 13', '  ']","['0 - 4', '  ']","['1', '  ']","['45', '  ']","['0 - 25', '  ']","['0 - 22', '  ']","['*', '  ']","['3', '  ']","['1', '  ']","['0', '  ']","['0 - 18', '  ']","['3', '  ']","['2', '  ']","['1', 'i ']","['11', '  ']","['4', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', 'i ']"
