table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total,field_companies_deleteda,field_companies_requiring_action_due_to_merger_or_acquisitionb,field_companies_requiring_action_due_to_analyst_reviewc
9718,r001,Total,Total,,,1,3100,3000,100,
9718,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,800,750,50,
9718,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,600,550,50,
9718,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,200,200,,0
9718,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,na,na,na,na
9718,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,na,na,na,na
9718,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,na,na,na,na
9718,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,2200,2200,40,
9718,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,400,400,,
9718,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,1800,1800,30,
9718,r011,Total -> Cases not in the frame,Total,Cases not in the frame,,2,,,,0
