table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_graduate_students_rank,field_all_graduate_students_total,field_all_graduate_students_science,field_all_graduate_students_engineering,field_all_graduate_students_health,field_full_time_students_rank,field_full_time_students_total,field_full_time_students_science,field_full_time_students_engineering,field_full_time_students_health,field_part_time_students_rank,field_part_time_students_total,field_part_time_students_science,field_part_time_students_engineering,field_part_time_students_health
6046,r001,All institutions<sup>a</sup>,All institutions<sup>a</sup>,,1,-,697813,464646,157729,75438,-,491515,330541,111240,49734,-,206298,134105,46489,25704
6046,r002,All institutions<sup>a</sup> -> Georgia Institute of Technology,All institutions<sup>a</sup>,Georgia Institute of Technology,2,1,15148,11516,3607,25,18,4999,2074,2914,11,1,10149,9442,693,14
6046,r003,All institutions<sup>a</sup> -> Johns Hopkins U.,All institutions<sup>a</sup>,Johns Hopkins U.,2,2,12315,7127,3392,1796,24,4645,2765,1228,652,2,7670,4362,2164,1144
6046,r004,All institutions<sup>a</sup> -> Liberty U.,All institutions<sup>a</sup>,Liberty U.,2,3,10197,8725,20,1452,16,5226,4556,19,651,3,4971,4169,1,801
6046,r005,All institutions<sup>a</sup> -> U. Michigan,All institutions<sup>a</sup>,U. Michigan,2,4,10022,5363,4009,650,1,8592,4812,3170,610,22,1430,551,839,40
6046,r006,All institutions<sup>a</sup> -> Columbia U. in the City of New York,All institutions<sup>a</sup>,Columbia U. in the City of New York,2,5,9531,6212,2511,808,5,6350,4459,1221,670,7,3181,1753,1290,138
6046,r007,All institutions<sup>a</sup> -> U. Southern California,All institutions<sup>a</sup>,U. Southern California,2,6,9120,5571,2777,772,3,6919,4552,1760,607,11,2201,1019,1017,165
6046,r008,All institutions<sup>a</sup> -> New York U.,All institutions<sup>a</sup>,New York U.,2,7,8782,6661,1425,696,4,6593,4931,1215,447,12,2189,1730,210,249
6046,r009,All institutions<sup>a</sup> -> Arizona State U.,All institutions<sup>a</sup>,Arizona State U.,2,8,8716,5538,3033,145,14,5311,3271,1917,123,6,3405,2267,1116,22
6046,r010,"All institutions<sup>a</sup> -> U. Illinois, Urbana-Champaign",All institutions<sup>a</sup>,"U. Illinois, Urbana-Champaign",2,9,8698,5881,2623,194,2,7280,4697,2394,189,23,1418,1184,229,5
6046,r011,All institutions<sup>a</sup> -> Texas A&M U.,All institutions<sup>a</sup>,Texas A&M U.,2,10,7886,4534,2987,365,6,6259,3568,2381,310,18,1627,966,606,55
6046,r012,All institutions<sup>a</sup> -> U. Washington,All institutions<sup>a</sup>,U. Washington,2,11,7882,4858,2064,960,7,5872,3785,1327,760,15,2010,1073,737,200
6046,r013,All institutions<sup>a</sup> -> Purdue U.,All institutions<sup>a</sup>,Purdue U.,2,12,7197,2754,4029,414,25,4598,2099,2220,279,8,2599,655,1809,135
6046,r014,All institutions<sup>a</sup> -> U. Florida,All institutions<sup>a</sup>,U. Florida,2,13,7164,4634,1961,569,17,5137,3253,1449,435,14,2027,1381,512,134
6046,r015,All institutions<sup>a</sup> -> Pennsylvania State U.,All institutions<sup>a</sup>,Pennsylvania State U.,2,14,7065,4510,2333,222,27,4595,2951,1482,162,9,2470,1559,851,60
6046,r016,All institutions<sup>a</sup> -> U. Colorado,All institutions<sup>a</sup>,U. Colorado,2,15,6888,3947,2285,656,10,5672,3407,1708,557,29,1216,540,577,99
