table_id,row_id,stratum_full_path,stratum_level_1,stratum_level_2,stratum_level_3,stratum_hierarchy_depth,field_total
2102,r001,Total,Total,,,1,44978
2102,r002,Total -> Known positive R&D,Total,Known positive R&D,,2,17737
2102,r003,Total -> Known positive R&D -> Certainties,Total,Known positive R&D,Certainties,3,13011
2102,r004,Total -> Known positive R&D -> Noncertainties,Total,Known positive R&D,Noncertainties,3,4726
2102,r005,Total -> Known zero R&D,Total,Known zero R&D,,2,2112
2102,r006,Total -> Known zero R&D -> Certainties,Total,Known zero R&D,Certainties,3,1531
2102,r007,Total -> Known zero R&D -> Noncertainties,Total,Known zero R&D,Noncertainties,3,581
2102,r008,Total -> Unknown R&D,Total,Unknown R&D,,2,25129
2102,r009,Total -> Unknown R&D -> Certainties,Total,Unknown R&D,Certainties,3,6036
2102,r010,Total -> Unknown R&D -> Noncertainties,Total,Unknown R&D,Noncertainties,3,19093
