table_id,row_id,race_and_ethnicity_full_path,race_and_ethnicity_level_1,race_and_ethnicity_level_2,race_and_ethnicity_hierarchy_depth,field_s_e_occupations,field_s_e_highest_degree_holders,field_college_degree_holders,field_u_s_residential_populationa
1603,r001,Total (number),Total (number),,1,6769000,14501000,48223000,238771628
1603,r002,Total (number) -> American Indian or Alaska Native,Total (number),American Indian or Alaska Native,2,0.2,0.3,0.3,0.6
1603,r003,Total (number) -> Asian,Total (number),Asian,2,19.8,15.7,9.3,5.8
1603,r004,Total (number) -> Black or African American,Total (number),Black or African American,2,5.6,6.7,7.9,11.9
1603,r005,Total (number) -> Hispanic or Latino,Total (number),Hispanic or Latino,2,7.5,8.6,8.9,15.6
1603,r006,Total (number) -> Native Hawaiian or Other Pacific Islander,Total (number),Native Hawaiian or Other Pacific Islander,2,0.3,0.3,0.3,0.2
1603,r007,Total (number) -> White,Total (number),White,2,65.0,66.4,71.4,64.1
1603,r008,Total (number) -> More than one race,Total (number),More than one race,2,1.6,2.0,2.0,1.9
