table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_hierarchy_depth,field_all_organizations_,field_organizations_with_r_d_activity,field_organizations_without_r_d_activity
8050,r001,All organizations ,All organizations ,,1,"['1,606,843,515', '  ']","['683,644,278', '  ']","['923,199,238', '  ']"
8050,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['1,257,581,165', '  ']","['612,815,314', '  ']","['644,765,852', '  ']"
8050,r003,All organizations  -> Science and technology,All organizations ,Science and technology,2,"['22,719,223', '  ']","['21,231,041', '  ']","['1,488,182', '  ']"
8050,r004,All organizations  -> Other nonprofit organizations,All organizations ,Other nonprofit organizations,2,"['326,543,127', '  ']","['49,597,923', '  ']","['276,945,204', '  ']"
