table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2019,field_total_2020,field_total_2021,field_total_2022,field_federally_financed_2019,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022
10131,r001,All institutions,All institutions,,1,-,"['2,637,165', '']","['2,924,673', '']","['2,952,940', '']","['3,224,949', '']","['1,794,451', '']","['1,999,926', '']","['1,994,423', '']","['2,184,767', '']"
10131,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['199,773', 'i']","['226,696', 'i']","['270,040', 'i']","['270,237', 'i']","['189,011', '']","['216,738', '']","['258,141', '']","['258,511', '']"
10131,r003,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,2,"['171,110', '']","['192,119', '']","['196,380', '']","['211,839', '']","['105,289', '']","['119,057', '']","['131,071', '']","['131,579', '']"
10131,r004,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,3,"['164,657', '']","['185,400', '']","['146,318', '']","['161,111', '']","['145,305', '']","['162,577', '']","['121,473', '']","['127,768', '']"
10131,r005,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,4,"['96,682', '']","['111,779', '']","['116,877', '']","['124,985', '']","['43,216', '']","['54,491', '']","['62,186', '']","['68,540', '']"
10131,r006,All institutions -> U. Southern California,All institutions,U. Southern California,2,5,"['124,944', '']","['121,116', '']","['115,694', '']","['112,104', '']","['118,059', '']","['115,564', '']","['110,401', '']","['106,239', '']"
10131,r007,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,6,"['106,430', '']","['95,988', '']","['99,600', '']","['104,436', '']","['71,231', '']","['64,385', '']","['63,076', '']","['59,157', '']"
10131,r008,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,7,"['66,125', '']","['139,290', '']","['87,595', '']","['100,730', '']","['56,350', '']","['128,322', '']","['79,109', '']","['88,477', '']"
10131,r009,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,8,"['69,638', '']","['89,490', '']","['73,737', '']","['79,162', '']","['56,256', '']","['76,419', '']","['56,263', '']","['62,351', '']"
10131,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['47,841', '']","['50,541', '']","['50,483', '']","['63,281', '']","['32,963', '']","['34,576', '']","['33,768', '']","['38,622', '']"
10131,r011,"All institutions -> U. Alabama, Huntsville",All institutions,"U. Alabama, Huntsville",2,10,"['29,177', '']","['36,636', '']","['48,967', '']","['60,893', '']","['28,023', '']","['35,309', '']","['45,627', '']","['54,406', '']"
10131,r012,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,11,"['36,195', '']","['41,892', '']","['38,843', '']","['40,488', '']","['21,764', '']","['24,346', '']","['23,657', '']","['27,634', '']"
10131,r013,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,12,"['23,146', '']","['26,765', '']","['32,344', '']","['39,486', '']","['19,037', '']","['20,870', '']","['27,834', '']","['32,390', '']"
10131,r014,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,13,"['23,177', '']","['27,886', '']","['22,324', '']","['38,868', '']","['14,972', '']","['20,261', '']","['15,679', '']","['30,059', '']"
10131,r015,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,14,"['24,725', '']","['25,101', '']","['27,763', '']","['31,786', '']","['22,935', '']","['22,817', '']","['24,889', '']","['26,721', '']"
10131,r016,All institutions -> U. Chicago,All institutions,U. Chicago,2,15,"['26,606', '']","['24,422', '']","['26,205', '']","['31,302', '']","['25,298', '']","['23,454', '']","['25,470', '']","['30,256', '']"
10131,r017,"All institutions -> U. Massachusetts, Amherst",All institutions,"U. Massachusetts, Amherst",2,16,"['27,702', '']","['31,199', '']","['27,336', '']","['30,721', '']","['16,035', '']","['16,804', '']","['15,410', '']","['17,579', '']"
10131,r018,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,17,"['20,372', '']","['28,241', '']","['23,678', '']","['30,295', '']","['13,735', '']","['15,975', '']","['14,687', '']","['19,278', '']"
10131,r019,All institutions -> Cornell U.,All institutions,Cornell U.,2,18,"['29,330', '']","['31,173', '']","['28,125', '']","['29,874', '']","['19,491', '']","['18,829', '']","['19,456', '']","['20,092', '']"
10131,r020,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,19,"['26,968', '']","['26,318', '']","['27,396', '']","['29,513', '']","['16,242', '']","['15,361', '']","['16,523', '']","['16,990', '']"
10131,r021,All institutions -> U. Utah,All institutions,U. Utah,2,20,"['40,967', 'i']","['37,159', 'i']","['33,446', 'i']","['29,132', '']","['25,364', '']","['23,621', '']","['21,958', '']","['26,098', '']"
10131,r022,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,21,"['28,302', '']","['30,370', '']","['46,962', '']","['28,879', '']","['13,478', '']","['16,179', '']","['18,932', '']","['24,372', '']"
10131,r023,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,22,"['22,227', '']","['22,996', '']","['22,629', '']","['28,809', '']","['9,064', '']","['9,283', '']","['9,509', '']","['8,091', '']"
10131,r024,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,23,"['23,536', '']","['30,405', '']","['25,466', '']","['28,642', '']","['9,830', '']","['11,637', '']","['8,484', '']","['9,291', '']"
10131,r025,All institutions -> Princeton U.,All institutions,Princeton U.,2,24,"['19,725', '']","['24,160', '']","['23,518', '']","['28,066', '']","['10,723', '']","['14,612', '']","['14,768', '']","['16,783', '']"
10131,r026,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,25,"['19,362', '']","['21,118', '']","['21,505', '']","['27,623', '']","['15,979', '']","['17,176', '']","['16,182', '']","['17,903', '']"
10131,r027,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,26,"['20,017', '']","['26,286', '']","['24,669', '']","['27,291', '']","['14,945', '']","['20,924', '']","['20,384', '']","['21,875', '']"
10131,r028,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,27,"['23,393', '']","['22,869', '']","['16,691', '']","['27,225', '']","['9,151', '']","['8,892', '']","['6,904', '']","['9,761', '']"
10131,r029,All institutions -> U. Central Florida,All institutions,U. Central Florida,2,28,"['29,865', '']","['29,421', '']","['32,242', '']","['26,882', '']","['18,069', '']","['18,093', '']","['21,437', '']","['17,352', '']"
10131,r030,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,29,"['24,969', '']","['27,986', '']","['26,869', '']","['25,836', '']","['16,374', '']","['18,140', '']","['17,605', '']","['17,137', '']"
10131,r031,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,30,"['21,800', '']","['18,504', '']","['19,178', '']","['25,705', '']","['10,724', '']","['9,988', '']","['12,013', '']","['17,584', '']"
10131,r032,All institutions -> Stanford U.,All institutions,Stanford U.,2,31,"['24,575', '']","['26,512', '']","['23,232', '']","['25,448', '']","['12,782', '']","['15,368', '']","['14,181', '']","['15,804', '']"
